location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18103,2020-01-01,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,5.43,7.61,6.79,5.16,,5.16,16.03,8.7,,9.51,,,6.79,5.43,5.16,19.84,5.16,5.16,3.81,4.62,32.34,,5.16,4.35,5.71,0.588889,-2.388889,5.561111,0.0762,,-2.966667,77.298994
US_IN_18103,2020-01-02,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,,7.67,9.31,5.48,4.11,5.48,12.87,6.3,,12.87,5.48,5.75,4.11,7.39,7.94,24.92,9.04,5.75,,,40.26,,,4.38,,5.283333,0.477778,10.044444,0.0,,-0.238889,67.815432
US_IN_18103,2020-01-03,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,5.45,9.81,9.81,9.54,10.63,6.54,19.89,8.99,5.45,10.9,4.9,3.81,5.99,4.09,9.26,30.52,5.18,8.45,3.81,6.54,38.15,,5.18,5.72,5.18,6.216667,3.611111,8.694444,1.2446,,5.116667,92.814501
US_IN_18103,2020-01-04,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,5.38,6.19,7.8,5.11,,6.46,13.72,6.46,3.77,8.07,4.3,5.38,,4.3,5.11,20.98,3.77,6.46,,4.03,39.53,3.77,4.03,4.84,,2.122222,0.272222,5.627778,0.108857,,0.716049,90.530256
US_IN_18103,2020-01-05,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,5.12,5.39,7.81,,4.31,4.31,14.55,7.81,5.12,8.62,4.31,5.39,,4.04,4.85,24.52,4.04,5.66,,,33.68,5.66,4.85,6.74,4.85,0.461111,-3.255556,6.788889,0.0762,,-3.144444,76.920386
US_IN_18103,2020-01-06,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,5.85,7.38,10.17,8.9,5.85,6.87,14.24,7.88,,11.7,5.6,4.58,3.56,4.58,6.61,22.38,5.09,5.85,,6.1,34.85,,6.36,,4.83,1.555556,-3.266667,6.15,0.0,,-2.527778,74.569904
US_IN_18103,2020-01-07,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,,5.96,10.93,4.72,5.96,8.44,8.69,5.46,,7.45,,4.47,3.73,5.21,5.96,23.59,3.73,6.46,4.22,4.97,36.75,3.48,8.69,,3.73,0.544444,-4.277778,6.2,0.0,,-3.622222,73.971513
US_IN_18103,2020-01-08,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,5.92,5.18,10.6,7.64,4.44,5.92,9.62,3.7,3.95,9.12,,4.44,3.45,5.67,5.42,26.88,,6.66,5.42,3.45,33.79,3.95,11.34,6.41,4.69,-1.566667,-5.061111,3.822222,0.0,,-7.266667,65.257501
US_IN_18103,2020-01-09,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,,5.68,8.89,8.15,6.17,7.16,9.88,6.42,5.68,4.44,,3.7,,,5.68,22.96,4.94,9.14,,4.44,28.64,,10.62,5.43,3.7,-0.033333,-5.872222,10.361111,0.036286,,-6.244444,63.120229
US_IN_18103,2020-01-10,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,5.75,5.27,7.67,8.62,,4.07,10.78,6.71,4.55,7.19,4.31,3.35,4.31,4.31,9.58,23.0,5.51,6.95,,4.79,29.23,3.59,11.02,,5.27,9.061111,6.338889,12.322222,13.97,,6.933333,86.726611
