location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55137,2020-01-01,ChIJrSh8yKMYAYgRZKLQNbZM5_Y,Q500880,geoId/55137,US,United States of America,WI,Wisconsin,55137,Waushara County,US,USA,2,,,,,,,24193,12757,11436,2327,2577,2266,2490,2720,4025,3970,2486,1332,270630,44.11,-89.24,637,,,,,,11.4,,6.76,11.83,,6.76,19.85,,32.95,,-7.138889,-13.883333,1.772222,0.0254,,-9.895062,81.106748
US_WI_55137,2020-01-02,ChIJrSh8yKMYAYgRZKLQNbZM5_Y,Q500880,geoId/55137,US,United States of America,WI,Wisconsin,55137,Waushara County,US,USA,2,,,,,,,24193,12757,11436,2327,2577,2266,2490,2720,4025,3970,2486,1332,270630,44.11,-89.24,637,,,,,,11.56,15.94,7.17,11.56,9.16,,26.7,,36.26,9.16,2.144444,-1.944444,5.172222,0.0,139.7,-1.265432,78.725627
US_WI_55137,2020-01-03,ChIJrSh8yKMYAYgRZKLQNbZM5_Y,Q500880,geoId/55137,US,United States of America,WI,Wisconsin,55137,Waushara County,US,USA,2,,,,,,,24193,12757,11436,2327,2577,2266,2490,2720,4025,3970,2486,1332,270630,44.11,-89.24,637,,,,,,,8.59,7.03,15.22,10.54,,23.42,,32.4,,0.394444,-1.344444,3.477778,0.0,125.73,-3.864198,73.258449
US_WI_55137,2020-01-04,ChIJrSh8yKMYAYgRZKLQNbZM5_Y,Q500880,geoId/55137,US,United States of America,WI,Wisconsin,55137,Waushara County,US,USA,2,,,,,,,24193,12757,11436,2327,2577,2266,2490,2720,4025,3970,2486,1332,270630,44.11,-89.24,637,,,,,,,10.32,,15.06,,7.74,25.81,,35.7,,-2.194444,-4.283333,-0.016667,0.0,200.66,-6.135802,74.557604
US_WI_55137,2020-01-05,ChIJrSh8yKMYAYgRZKLQNbZM5_Y,Q500880,geoId/55137,US,United States of America,WI,Wisconsin,55137,Waushara County,US,USA,2,,,,,,,24193,12757,11436,2327,2577,2266,2490,2720,4025,3970,2486,1332,270630,44.11,-89.24,637,,,,,,6.6,7.01,,11.96,9.07,,21.44,,38.76,8.25,-2.983333,-6.594444,1.838889,0.0,180.34,-5.808642,81.063169
US_WI_55137,2020-01-06,ChIJrSh8yKMYAYgRZKLQNbZM5_Y,Q500880,geoId/55137,US,United States of America,WI,Wisconsin,55137,Waushara County,US,USA,2,,,,,,,24193,12757,11436,2327,2577,2266,2490,2720,4025,3970,2486,1332,270630,44.11,-89.24,637,,,,,,7.03,11.72,,11.72,12.11,11.33,25.0,,37.49,,-1.077778,-4.972222,3.627778,0.028222,78.74,-7.407407,62.302054
US_WI_55137,2020-01-07,ChIJrSh8yKMYAYgRZKLQNbZM5_Y,Q500880,geoId/55137,US,United States of America,WI,Wisconsin,55137,Waushara County,US,USA,2,,,,,,,24193,12757,11436,2327,2577,2266,2490,2720,4025,3970,2486,1332,270630,44.11,-89.24,637,,,,,,,15.39,,19.04,19.04,9.72,27.95,,40.51,,-0.511111,-3.488889,1.911111,0.036286,78.74,-6.54321,63.989622
US_WI_55137,2020-01-08,ChIJrSh8yKMYAYgRZKLQNbZM5_Y,Q500880,geoId/55137,US,United States of America,WI,Wisconsin,55137,Waushara County,US,USA,2,,,,,,,24193,12757,11436,2327,2577,2266,2490,2720,4025,3970,2486,1332,270630,44.11,-89.24,637,,,,,,,9.73,6.89,17.03,7.3,13.38,35.68,,42.98,9.33,-11.105556,-16.405556,-2.238889,0.0,78.74,-18.271605,55.514996
US_WI_55137,2020-01-09,ChIJrSh8yKMYAYgRZKLQNbZM5_Y,Q500880,geoId/55137,US,United States of America,WI,Wisconsin,55137,Waushara County,US,USA,2,,,,,,,24193,12757,11436,2327,2577,2266,2490,2720,4025,3970,2486,1332,270630,44.11,-89.24,637,,,,,,6.36,9.94,8.35,18.7,12.33,7.96,35.0,,40.97,5.97,-3.438889,-11.661111,5.016667,0.108857,50.8,-7.407407,73.445493
US_WI_55137,2020-01-10,ChIJrSh8yKMYAYgRZKLQNbZM5_Y,Q500880,geoId/55137,US,United States of America,WI,Wisconsin,55137,Waushara County,US,USA,2,,,,,,,24193,12757,11436,2327,2577,2266,2490,2720,4025,3970,2486,1332,270630,44.11,-89.24,637,,,,,,6.65,9.55,8.72,16.2,12.46,7.06,19.94,6.65,29.91,9.55,-0.244444,-5.094444,5.672222,0.127,50.8,-3.296296,79.073147
