location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47115,2020-01-01,ChIJ3XB7acP_YIgREXiDM2phhN8,Q501968,geoId/47115,US,United States of America,TN,Tennessee,47115,Marion County,US,USA,2,,,,,,,28406,13917,14489,3232,3401,3296,3109,3631,4099,3969,2491,1178,1848188,35.13,-85.61,1327,74.366667,,,,,,,6.42,9.13,11.49,7.1,5.07,5.41,17.24,11.16,,10.48,,6.42,7.78,8.11,21.64,6.08,5.75,6.08,33.81,,6.08,3.75,-2.522222,11.922222,0.0,,-3.125,59.677829
US_TN_47115,2020-01-02,ChIJ3XB7acP_YIgREXiDM2phhN8,Q501968,geoId/47115,US,United States of America,TN,Tennessee,47115,Marion County,US,USA,2,,,,,,,28406,13917,14489,3232,3401,3296,3109,3631,4099,3969,2491,1178,1848188,35.13,-85.61,1327,74.366667,,,,,,,7.12,5.83,9.07,,,,22.67,13.6,6.15,13.28,4.86,,8.74,7.77,28.17,11.33,8.74,6.8,41.12,6.15,5.5,7.655556,3.938889,11.044444,0.0,,2.979167,71.792209
US_TN_47115,2020-01-03,ChIJ3XB7acP_YIgREXiDM2phhN8,Q501968,geoId/47115,US,United States of America,TN,Tennessee,47115,Marion County,US,USA,2,,,,,,,28406,13917,14489,3232,3401,3296,3109,3631,4099,3969,2491,1178,1848188,35.13,-85.61,1327,74.366667,,,,,,,4.86,6.8,10.36,9.06,7.45,8.09,16.83,10.36,5.5,9.71,8.74,7.12,,9.06,29.13,5.5,7.12,5.83,45.64,8.09,5.5,12.238889,9.211111,14.905556,35.263667,,11.75,95.847529
US_TN_47115,2020-01-04,ChIJ3XB7acP_YIgREXiDM2phhN8,Q501968,geoId/47115,US,United States of America,TN,Tennessee,47115,Marion County,US,USA,2,,,,,,,28406,13917,14489,3232,3401,3296,3109,3631,4099,3969,2491,1178,1848188,35.13,-85.61,1327,74.366667,,,,,,,5.86,9.44,9.12,5.21,4.88,7.49,20.19,6.84,5.54,13.02,7.49,,6.51,10.09,18.56,7.16,4.56,5.54,48.52,8.47,6.19,10.988889,4.022222,14.288889,7.323667,,7.833333,80.634659
US_TN_47115,2020-01-05,ChIJ3XB7acP_YIgREXiDM2phhN8,Q501968,geoId/47115,US,United States of America,TN,Tennessee,47115,Marion County,US,USA,2,,,,,,,28406,13917,14489,3232,3401,3296,3109,3631,4099,3969,2491,1178,1848188,35.13,-85.61,1327,74.366667,,,,,,,,9.08,9.08,7.06,7.06,5.38,16.47,10.09,6.39,8.4,,6.05,5.04,10.42,23.87,,9.41,7.06,44.71,8.4,5.04,3.722222,-1.8,11.811111,0.4318,,-2.069444,65.135986
US_TN_47115,2020-01-06,ChIJ3XB7acP_YIgREXiDM2phhN8,Q501968,geoId/47115,US,United States of America,TN,Tennessee,47115,Marion County,US,USA,2,,,,,,,28406,13917,14489,3232,3401,3296,3109,3631,4099,3969,2491,1178,1848188,35.13,-85.61,1327,74.366667,,,,,,,8.72,6.04,12.75,10.06,5.37,5.37,20.13,13.08,,9.06,6.71,6.37,7.04,10.06,25.49,8.39,8.39,5.37,46.29,9.06,7.38,5.488889,-1.05,15.211111,0.0,,0.666667,69.907569
US_TN_47115,2020-01-07,ChIJ3XB7acP_YIgREXiDM2phhN8,Q501968,geoId/47115,US,United States of America,TN,Tennessee,47115,Marion County,US,USA,2,,,,,,,28406,13917,14489,3232,3401,3296,3109,3631,4099,3969,2491,1178,1848188,35.13,-85.61,1327,74.366667,,,,,,,5.61,5.61,6.85,5.92,4.98,,14.64,8.1,4.67,7.47,,,,6.23,25.54,4.98,8.41,7.16,45.16,5.61,,9.616667,4.1,13.016667,0.719667,,2.284722,60.450599
US_TN_47115,2020-01-08,ChIJ3XB7acP_YIgREXiDM2phhN8,Q501968,geoId/47115,US,United States of America,TN,Tennessee,47115,Marion County,US,USA,2,,,,,,,28406,13917,14489,3232,3401,3296,3109,3631,4099,3969,2491,1178,1848188,35.13,-85.61,1327,74.366667,,,,,,,4.96,8.05,10.84,6.5,6.81,8.36,17.96,15.48,4.65,10.22,5.88,4.65,4.65,10.22,34.38,5.58,9.91,7.74,35.93,13.01,5.26,4.927778,-2.566667,15.211111,0.381,,-2.569444,57.394033
US_TN_47115,2020-01-09,ChIJ3XB7acP_YIgREXiDM2phhN8,Q501968,geoId/47115,US,United States of America,TN,Tennessee,47115,Marion County,US,USA,2,,,,,,,28406,13917,14489,3232,3401,3296,3109,3631,4099,3969,2491,1178,1848188,35.13,-85.61,1327,74.366667,,,,,,,9.57,12.35,11.73,8.64,7.41,5.87,13.89,10.19,,12.04,6.48,,,10.5,34.27,5.87,,,44.15,12.35,7.72,6.194444,-1.538889,16.25,0.0,,-1.576389,56.933752
US_TN_47115,2020-01-10,ChIJ3XB7acP_YIgREXiDM2phhN8,Q501968,geoId/47115,US,United States of America,TN,Tennessee,47115,Marion County,US,USA,2,,,,,,,28406,13917,14489,3232,3401,3296,3109,3631,4099,3969,2491,1178,1848188,35.13,-85.61,1327,74.366667,,,,,,,,8.61,11.68,6.15,5.53,4.3,16.6,6.45,,10.45,4.92,,4.3,8.61,28.89,6.45,7.07,6.45,40.88,7.07,4.92,14.838889,12.705556,17.694444,0.0,,7.513889,61.133614
