location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MA_25007,2020-01-01,ChIJ5XjbKEAl5YkR3LgllJt1C08,Q54091,geoId/25007,US,United States of America,MA,Massachusetts,25007,Dukes County,US,USA,2,,,,,,,17311,8487,8824,1674,1681,1736,1946,2055,2713,2947,1765,794,2387198,41.414841,-70.612679,1272,81.275,,,,,,7.0,13.12,9.62,,,,,6.12,,10.06,,,,6.12,,,,,,6.12,25.8,8.75,6.56,,,,36.73,6.12,8.75,8.75,,,4.183333,2.316667,6.8,0.7112,-2.037037,64.268455
US_MA_25007,2020-01-02,ChIJ5XjbKEAl5YkR3LgllJt1C08,Q54091,geoId/25007,US,United States of America,MA,Massachusetts,25007,Dukes County,US,USA,2,,,,,,,17311,8487,8824,1674,1681,1736,1946,2055,2713,2947,1765,794,2387198,41.414841,-70.612679,1272,81.275,,,,,,10.4,9.57,14.14,8.32,,,7.49,17.47,,7.9,,8.73,,,,,7.49,,,10.4,20.8,7.07,9.57,,,9.98,33.28,,7.07,,,,3.622222,0.716667,7.566667,0.0254,-3.046296,62.270907
US_MA_25007,2020-01-03,ChIJ5XjbKEAl5YkR3LgllJt1C08,Q54091,geoId/25007,US,United States of America,MA,Massachusetts,25007,Dukes County,US,USA,2,,,,,,,17311,8487,8824,1674,1681,1736,1946,2055,2713,2947,1765,794,2387198,41.414841,-70.612679,1272,81.275,,,,,,10.14,13.52,11.83,8.03,,,,11.83,5.91,8.45,,,13.09,7.6,,,,,6.33,6.33,27.88,8.03,8.45,,,6.76,32.94,,7.6,8.03,,,7.694444,4.555556,8.716667,0.0,5.157407,83.177426
US_MA_25007,2020-01-04,ChIJ5XjbKEAl5YkR3LgllJt1C08,Q54091,geoId/25007,US,United States of America,MA,Massachusetts,25007,Dukes County,US,USA,2,,,,,,,17311,8487,8824,1674,1681,1736,1946,2055,2713,2947,1765,794,2387198,41.414841,-70.612679,1272,81.275,,,,,8.07,7.65,,9.77,11.47,,,6.37,18.27,6.8,8.5,,,,,6.8,,8.5,7.65,,7.22,25.49,,,,,,32.71,6.8,,,,,6.866667,6.133333,8.322222,0.479778,6.148148,94.141669
US_MA_25007,2020-01-05,ChIJ5XjbKEAl5YkR3LgllJt1C08,Q54091,geoId/25007,US,United States of America,MA,Massachusetts,25007,Dukes County,US,USA,2,,,,,,,17311,8487,8824,1674,1681,1736,1946,2055,2713,2947,1765,794,2387198,41.414841,-70.612679,1272,81.275,,,,,7.29,7.72,7.72,12.44,11.58,9.44,7.72,,18.87,,11.58,,6.0,8.58,7.29,,,,,6.86,9.87,17.59,6.43,,,6.43,,47.61,,7.72,,,,3.833333,1.616667,7.377778,2.709333,-0.083333,75.906363
US_MA_25007,2020-01-06,ChIJ5XjbKEAl5YkR3LgllJt1C08,Q54091,geoId/25007,US,United States of America,MA,Massachusetts,25007,Dukes County,US,USA,2,,,,,,,17311,8487,8824,1674,1681,1736,1946,2055,2713,2947,1765,794,2387198,41.414841,-70.612679,1272,81.275,,,,,,11.21,9.28,11.21,,10.05,6.18,,16.62,,10.05,,7.34,5.8,,,10.05,,,,6.57,22.42,7.73,5.8,5.8,,5.41,34.01,,11.6,6.96,,,0.177778,-3.488889,3.961111,0.903111,-4.740741,73.123184
US_MA_25007,2020-01-07,ChIJ5XjbKEAl5YkR3LgllJt1C08,Q54091,geoId/25007,US,United States of America,MA,Massachusetts,25007,Dukes County,US,USA,2,,,,,,,17311,8487,8824,1674,1681,1736,1946,2055,2713,2947,1765,794,2387198,41.414841,-70.612679,1272,81.275,,,,,,11.24,7.75,8.14,10.86,5.43,8.14,,19.39,7.75,11.24,,7.75,8.92,8.14,6.59,5.82,,6.2,5.43,7.75,21.32,,7.75,,,6.2,37.61,5.43,6.2,7.75,,,3.316667,-1.294444,6.166667,0.0254,-3.898148,61.091787
US_MA_25007,2020-01-08,ChIJ5XjbKEAl5YkR3LgllJt1C08,Q54091,geoId/25007,US,United States of America,MA,Massachusetts,25007,Dukes County,US,USA,2,,,,,,,17311,8487,8824,1674,1681,1736,1946,2055,2713,2947,1765,794,2387198,41.414841,-70.612679,1272,81.275,,,,,,6.59,,7.37,7.37,6.98,5.43,,13.18,,8.53,,6.98,5.82,5.43,,7.37,7.37,,6.2,8.53,19.0,,7.37,,,7.37,39.55,6.59,6.98,5.82,6.2,,2.094444,-0.305556,4.8,2.681111,-0.814815,81.906987
US_MA_25007,2020-01-09,ChIJ5XjbKEAl5YkR3LgllJt1C08,Q54091,geoId/25007,US,United States of America,MA,Massachusetts,25007,Dukes County,US,USA,2,,,,,,,17311,8487,8824,1674,1681,1736,1946,2055,2713,2947,1765,794,2387198,41.414841,-70.612679,1272,81.275,,,,,6.54,9.23,9.62,7.69,7.31,10.77,8.08,,15.0,,8.85,,6.15,7.69,5.38,,6.92,,,,6.15,25.0,7.69,,,,,41.16,,8.08,,,,-2.061111,-5.366667,2.705556,1.7272,-12.722222,44.911274
US_MA_25007,2020-01-10,ChIJ5XjbKEAl5YkR3LgllJt1C08,Q54091,geoId/25007,US,United States of America,MA,Massachusetts,25007,Dukes County,US,USA,2,,,,,,,17311,8487,8824,1674,1681,1736,1946,2055,2713,2947,1765,794,2387198,41.414841,-70.612679,1272,81.275,,,,,,8.29,10.65,14.6,6.31,,5.52,,17.75,7.1,12.62,,,7.89,5.92,,,5.52,,,,22.88,5.92,,,,,34.72,,8.68,7.89,,,4.2,-4.661111,10.694444,0.0,0.435185,76.728435
