location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KS_20169,2020-01-01,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,3.46,5.92,9.53,8.95,10.83,2.02,5.2,6.5,2.6,,5.77,2.6,,3.03,,2.89,21.07,4.04,9.67,,,4.19,2.17,7.79,3.46,2.45,3.46,4.91,4.62,,4.19,3.75,,4.62,,3.9,5.77,22.23,4.76,2.31,6.78,3.03,,3.61,,2.31,4.19,33.63,,,,2.6,4.76,2.02,,3.61,2.31,6.21,3.03,2.45,2.17,4.33,2.31,,1.901235,-4.907407,11.839506,0.0,,-4.069444,65.489361
US_KS_20169,2020-01-02,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.06,4.24,8.48,5.14,10.67,2.44,5.66,5.78,2.83,2.57,7.07,2.83,2.57,2.7,2.06,3.21,22.88,2.96,13.11,2.31,2.44,3.73,,11.83,4.88,3.21,2.7,4.24,5.27,1.93,4.88,3.73,1.93,5.01,2.06,3.98,7.97,31.75,7.07,3.34,6.17,2.7,3.73,3.98,2.57,2.31,5.78,38.43,,,2.31,4.11,5.78,1.93,,3.6,2.83,5.91,4.88,5.27,1.93,3.98,2.7,2.06,5.364198,0.074074,11.623457,0.0,,0.569444,72.302281
US_KS_20169,2020-01-03,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,,4.58,5.23,5.62,10.98,3.27,7.32,4.84,2.61,4.58,4.44,5.88,2.75,2.75,,2.09,20.0,,12.29,4.31,2.22,3.66,2.88,8.5,7.71,,2.61,5.23,5.23,3.01,5.1,3.14,,3.66,3.14,3.66,7.19,28.49,7.19,3.01,8.1,3.01,4.05,4.97,1.83,2.88,5.88,39.34,2.35,1.83,2.22,3.79,6.41,,3.01,3.53,3.14,5.23,3.01,5.36,3.27,5.1,2.35,,2.820988,-3.425926,9.691358,0.0,,-1.548611,73.16036
US_KS_20169,2020-01-04,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.8,4.77,8.55,5.19,9.39,,8.13,4.77,,3.22,5.89,3.79,,1.96,3.08,2.1,18.36,3.08,10.09,2.66,,3.37,2.24,7.71,1.96,,3.08,3.92,3.92,2.8,2.52,3.5,,3.37,,2.38,5.61,24.39,6.31,2.24,5.89,3.22,3.79,4.49,1.96,2.24,4.21,32.38,1.96,,2.1,3.5,6.03,2.24,2.24,1.96,,3.92,4.07,2.94,,3.37,2.94,2.24,1.530864,-6.296296,9.709877,0.0,,-6.458333,55.174332
US_KS_20169,2020-01-05,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,,4.47,8.11,4.47,11.46,,4.47,5.17,3.5,2.66,9.09,3.63,,3.36,,2.24,19.57,3.08,13.98,3.36,2.52,4.47,2.52,8.53,3.63,2.38,2.24,4.33,3.77,,4.61,4.33,,4.33,,1.96,6.15,22.37,4.61,4.19,7.69,4.33,3.77,4.75,2.38,2.94,5.59,37.89,,2.38,,5.03,6.85,2.52,2.24,1.96,2.8,5.17,2.52,3.36,2.38,2.66,,2.66,5.388889,-1.62963,11.074074,0.0,,-3.465278,53.210352
US_KS_20169,2020-01-06,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,1.87,4.74,7.36,3.62,11.85,,5.86,4.12,3.49,2.74,5.61,3.49,3.12,4.12,3.24,2.12,19.58,3.24,10.23,2.99,2.12,4.24,2.0,10.6,4.37,2.74,2.25,6.11,5.49,,4.74,,2.25,3.62,2.37,3.12,7.36,27.56,8.11,3.62,7.61,3.62,4.24,3.99,2.12,2.74,5.36,33.42,1.75,,2.12,6.49,6.49,,3.62,3.49,2.99,5.74,4.99,4.86,1.87,2.12,2.49,2.25,1.12963,-5.549383,10.407407,0.0,,-5.590278,60.230084
US_KS_20169,2020-01-07,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.12,3.06,6.83,4.83,9.19,,8.6,5.42,2.12,3.54,6.25,4.83,,3.54,,1.89,16.5,2.0,10.72,3.42,2.95,6.13,2.95,8.48,5.07,3.77,2.12,5.77,4.71,2.12,3.54,5.77,1.89,4.83,1.65,3.06,6.95,24.75,4.71,1.89,7.31,,4.71,4.12,2.48,2.59,4.95,37.24,1.77,,2.12,4.6,5.89,1.89,2.83,5.42,2.24,4.6,4.71,4.95,2.36,4.01,3.65,2.24,2.703704,-5.339506,13.808642,0.0,,-6.291667,51.756915
US_KS_20169,2020-01-08,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.47,5.06,6.0,5.76,12.58,2.59,7.53,6.35,2.82,5.53,6.47,4.0,,3.53,2.23,,14.11,3.17,9.76,2.94,,4.47,,12.82,4.59,2.59,2.47,6.7,6.23,1.65,4.12,2.59,,3.88,,2.94,7.76,28.22,8.0,3.41,7.29,4.12,4.0,3.76,,,5.53,40.22,,,2.35,4.23,12.35,2.23,2.59,1.88,4.12,5.76,5.76,3.65,1.76,2.47,2.82,2.23,3.549383,-4.234568,14.364198,0.0,,-4.8125,54.330243
US_KS_20169,2020-01-09,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.81,4.45,7.26,3.75,8.79,,7.73,5.39,2.11,4.8,6.91,2.11,,2.23,,2.58,16.17,3.05,7.85,2.93,3.05,4.69,1.99,9.72,4.69,2.69,2.23,5.16,4.22,2.11,3.16,2.81,1.64,3.75,2.81,2.46,7.73,30.34,5.51,2.11,5.51,4.1,6.44,4.8,2.46,1.76,5.62,38.54,1.76,1.99,2.93,4.22,8.67,,2.81,2.93,2.93,5.97,4.92,6.33,,2.11,2.46,2.34,9.858025,3.802469,13.358025,0.0,,-0.444444,49.301804
US_KS_20169,2020-01-10,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.27,4.99,6.01,4.76,7.37,1.81,6.01,4.42,,3.52,3.74,3.63,,,,,14.18,3.97,9.53,2.27,1.7,3.4,2.04,8.51,3.63,2.27,2.61,3.63,3.29,,3.29,3.18,,3.74,2.84,2.84,5.67,24.96,5.67,3.06,6.69,3.52,2.38,4.31,2.72,2.38,4.65,34.94,1.7,1.81,1.81,3.4,6.47,,2.27,1.81,2.61,5.9,4.42,4.54,2.15,4.08,4.2,1.59,1.123457,-4.339506,8.537037,0.4445,,-2.479167,76.975054
