location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18121,2020-01-01,ChIJoz_poCFIbYgRoXBL_yN113A,Q506538,geoId/18121,US,United States of America,IN,Indiana,18121,Parke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16907,8028,8879,2021,2001,2058,1990,2037,2439,2232,1425,704,1804396,39.78,-87.21,1166,78.425,,,,15.46,21.83,52.76,2.183333,-2.122222,8.244444,0.0,,-2.244444,72.854972
US_IN_18121,2020-01-02,ChIJoz_poCFIbYgRoXBL_yN113A,Q506538,geoId/18121,US,United States of America,IN,Indiana,18121,Parke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16907,8028,8879,2021,2001,2058,1990,2037,2439,2232,1425,704,1804396,39.78,-87.21,1166,78.425,,,,14.98,40.26,47.75,6.544444,0.088889,11.344444,0.0,,0.088889,63.70689
US_IN_18121,2020-01-03,ChIJoz_poCFIbYgRoXBL_yN113A,Q506538,geoId/18121,US,United States of America,IN,Indiana,18121,Parke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16907,8028,8879,2021,2001,2058,1990,2037,2439,2232,1425,704,1804396,39.78,-87.21,1166,78.425,,,,,31.52,31.52,6.944444,3.644444,10.072222,5.757333,,6.227778,95.243835
US_IN_18121,2020-01-04,ChIJoz_poCFIbYgRoXBL_yN113A,Q506538,geoId/18121,US,United States of America,IN,Indiana,18121,Parke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16907,8028,8879,2021,2001,2058,1990,2037,2439,2232,1425,704,1804396,39.78,-87.21,1166,78.425,,,,,23.74,28.14,2.255556,0.544444,6.638889,0.6985,,0.588889,88.847842
US_IN_18121,2020-01-05,ChIJoz_poCFIbYgRoXBL_yN113A,Q506538,geoId/18121,US,United States of America,IN,Indiana,18121,Parke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16907,8028,8879,2021,2001,2058,1990,2037,2439,2232,1425,704,1804396,39.78,-87.21,1166,78.425,,,,21.9,31.02,32.85,1.116667,-4.294444,8.772222,0.0508,,-2.838889,75.101275
US_IN_18121,2020-01-06,ChIJoz_poCFIbYgRoXBL_yN113A,Q506538,geoId/18121,US,United States of America,IN,Indiana,18121,Parke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16907,8028,8879,2021,2001,2058,1990,2037,2439,2232,1425,704,1804396,39.78,-87.21,1166,78.425,,,,11.72,20.32,37.51,1.922222,-4.338889,8.077778,0.0,,-3.322222,68.525524
US_IN_18121,2020-01-07,ChIJoz_poCFIbYgRoXBL_yN113A,Q506538,geoId/18121,US,United States of America,IN,Indiana,18121,Parke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16907,8028,8879,2021,2001,2058,1990,2037,2439,2232,1425,704,1804396,39.78,-87.21,1166,78.425,,,,11.58,23.93,36.28,0.977778,-4.527778,7.533333,0.0,,-3.744444,71.002206
US_IN_18121,2020-01-08,ChIJoz_poCFIbYgRoXBL_yN113A,Q506538,geoId/18121,US,United States of America,IN,Indiana,18121,Parke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16907,8028,8879,2021,2001,2058,1990,2037,2439,2232,1425,704,1804396,39.78,-87.21,1166,78.425,,,,12.15,41.02,36.46,-0.411111,-4.461111,5.683333,0.0,,-7.083333,61.147897
US_IN_18121,2020-01-09,ChIJoz_poCFIbYgRoXBL_yN113A,Q506538,geoId/18121,US,United States of America,IN,Indiana,18121,Parke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16907,8028,8879,2021,2001,2058,1990,2037,2439,2232,1425,704,1804396,39.78,-87.21,1166,78.425,,,,12.58,30.34,35.52,2.822222,-3.355556,12.4,0.0,,-5.411111,55.089925
US_IN_18121,2020-01-10,ChIJoz_poCFIbYgRoXBL_yN113A,Q506538,geoId/18121,US,United States of America,IN,Indiana,18121,Parke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16907,8028,8879,2021,2001,2058,1990,2037,2439,2232,1425,704,1804396,39.78,-87.21,1166,78.425,,,,,28.51,33.91,10.388889,6.172222,13.672222,21.1836,,8.327778,87.299725
