location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MN_27047,2020-01-01,ChIJJauksfcz8YcRuQQWHlxvv1Q,Q491144,geoId/27047,US,United States of America,MN,Minnesota,27047,Freeborn County,US,USA,2,,,,,,,30582,15310,15272,3636,3702,3185,3473,3233,4427,4081,2777,2068,1792985,43.67,-93.35,1872,81.61,,,,,,7.12,11.33,11.01,5.18,6.15,,19.75,11.33,5.5,,5.5,,,,,29.46,7.12,8.74,8.42,5.83,38.53,5.83,7.45,6.48,4.53,-4.705556,-10.583333,2.222222,0.127,54.61,-7.255556,82.389311
US_MN_27047,2020-01-02,ChIJJauksfcz8YcRuQQWHlxvv1Q,Q491144,geoId/27047,US,United States of America,MN,Minnesota,27047,Freeborn County,US,USA,2,,,,,,,30582,15310,15272,3636,3702,3185,3473,3233,4427,4081,2777,2068,1792985,43.67,-93.35,1872,81.61,,,,,,5.2,5.81,10.7,6.73,5.5,5.81,23.24,11.31,9.79,8.56,5.5,4.89,4.89,4.28,8.26,25.07,10.09,7.64,4.59,,39.75,,,7.64,,1.111111,-0.811111,2.05,0.0,54.61,-0.655556,88.063897
US_MN_27047,2020-01-03,ChIJJauksfcz8YcRuQQWHlxvv1Q,Q491144,geoId/27047,US,United States of America,MN,Minnesota,27047,Freeborn County,US,USA,2,,,,,,,30582,15310,15272,3636,3702,3185,3473,3233,4427,4081,2777,2068,1792985,43.67,-93.35,1872,81.61,,,,,,,11.04,7.88,,6.31,8.52,21.76,9.14,4.42,5.68,,5.68,,,6.62,31.85,6.62,6.62,5.05,4.42,38.79,,5.05,,4.73,-0.622222,-2.265432,0.592593,0.0,50.8,-1.816667,91.686006
US_MN_27047,2020-01-04,ChIJJauksfcz8YcRuQQWHlxvv1Q,Q491144,geoId/27047,US,United States of America,MN,Minnesota,27047,Freeborn County,US,USA,2,,,,,,,30582,15310,15272,3636,3702,3185,3473,3233,4427,4081,2777,2068,1792985,43.67,-93.35,1872,81.61,,,,,,6.78,9.5,9.84,7.8,5.43,4.75,24.08,17.3,,7.12,6.78,7.46,5.77,,5.43,29.85,5.77,5.09,,5.09,37.65,,7.46,10.85,,-3.611111,-6.055556,-0.1,1.0668,30.48,-5.05,89.816754
US_MN_27047,2020-01-05,ChIJJauksfcz8YcRuQQWHlxvv1Q,Q491144,geoId/27047,US,United States of America,MN,Minnesota,27047,Freeborn County,US,USA,2,,,,,,,30582,15310,15272,3636,3702,3185,3473,3233,4427,4081,2777,2068,1792985,43.67,-93.35,1872,81.61,,,,,,6.5,9.75,12.35,7.47,4.55,7.15,19.82,10.4,6.5,7.47,6.5,6.17,7.47,4.88,,31.2,,6.17,,8.12,46.15,,8.12,8.78,,-0.983333,-5.072222,3.233333,0.108857,54.61,-3.916667,80.524102
US_MN_27047,2020-01-06,ChIJJauksfcz8YcRuQQWHlxvv1Q,Q491144,geoId/27047,US,United States of America,MN,Minnesota,27047,Freeborn County,US,USA,2,,,,,,,30582,15310,15272,3636,3702,3185,3473,3233,4427,4081,2777,2068,1792985,43.67,-93.35,1872,81.61,,,,,,8.16,8.16,12.1,6.05,4.84,9.37,21.47,11.49,5.44,8.16,4.84,5.75,7.56,,7.86,26.31,8.16,7.56,,,36.28,,4.84,6.35,,-3.055556,-6.644444,1.727778,0.0,78.74,-6.472222,77.352646
US_MN_27047,2020-01-07,ChIJJauksfcz8YcRuQQWHlxvv1Q,Q491144,geoId/27047,US,United States of America,MN,Minnesota,27047,Freeborn County,US,USA,2,,,,,,,30582,15310,15272,3636,3702,3185,3473,3233,4427,4081,2777,2068,1792985,43.67,-93.35,1872,81.61,,,,,,5.32,8.14,,11.89,5.63,6.89,19.41,10.33,,8.14,5.32,,5.63,7.2,,22.54,4.38,9.08,,5.01,41.0,,,6.26,,-3.205556,-8.316667,0.444444,0.0,50.8,-5.205556,86.096889
US_MN_27047,2020-01-08,ChIJJauksfcz8YcRuQQWHlxvv1Q,Q491144,geoId/27047,US,United States of America,MN,Minnesota,27047,Freeborn County,US,USA,2,,,,,,,30582,15310,15272,3636,3702,3185,3473,3233,4427,4081,2777,2068,1792985,43.67,-93.35,1872,81.61,,,,,,5.28,7.76,9.32,8.07,6.52,,17.7,16.77,7.14,6.83,6.52,5.28,5.9,5.59,4.66,34.78,,,,5.9,45.03,7.14,9.94,5.59,5.9,-13.838889,-18.3,-7.422222,0.0508,30.48,-17.616667,73.151614
US_MN_27047,2020-01-09,ChIJJauksfcz8YcRuQQWHlxvv1Q,Q491144,geoId/27047,US,United States of America,MN,Minnesota,27047,Freeborn County,US,USA,2,,,,,,,30582,15310,15272,3636,3702,3185,3473,3233,4427,4081,2777,2068,1792985,43.67,-93.35,1872,81.61,,,,,,8.76,5.95,10.64,6.88,6.57,8.45,18.15,6.26,7.2,4.69,6.26,5.63,6.26,,5.95,34.42,7.51,7.82,,,38.17,,9.7,5.32,6.57,-2.855556,-10.566667,4.377778,0.0,30.48,-6.566667,75.644575
US_MN_27047,2020-01-10,ChIJJauksfcz8YcRuQQWHlxvv1Q,Q491144,geoId/27047,US,United States of America,MN,Minnesota,27047,Freeborn County,US,USA,2,,,,,,,30582,15310,15272,3636,3702,3185,3473,3233,4427,4081,2777,2068,1792985,43.67,-93.35,1872,81.61,,,,,,,5.58,8.67,8.05,7.12,7.74,17.04,7.43,,8.98,5.88,,4.65,,7.43,26.33,,7.74,5.58,,39.34,6.81,6.2,6.5,,-5.394444,-8.605556,-0.7,0.0,30.48,-7.7,83.869496
US_MN_27047,2020-01-11,ChIJJauksfcz8YcRuQQWHlxvv1Q,Q491144,geoId/27047,US,United States of America,MN,Minnesota,27047,Freeborn County,US,USA,2,,,,,,,30582,15310,15272,3636,3702,3185,3473,3233,4427,4081,2777,2068,1792985,43.67,-93.35,1872,81.61,,,,,,,8.06,7.72,9.73,5.37,9.4,15.44,8.06,,10.07,6.04,5.04,,,,28.2,,5.04,,,36.59,,10.07,4.7,,-12.216049,-16.290123,-8.518519,0.0,30.48,-16.259259,71.894408
US_MN_27047,2020-01-12,ChIJJauksfcz8YcRuQQWHlxvv1Q,Q491144,geoId/27047,US,United States of America,MN,Minnesota,27047,Freeborn County,US,USA,2,,,,,,,30582,15310,15272,3636,3702,3185,3473,3233,4427,4081,2777,2068,1792985,43.67,-93.35,1872,81.61,,,,,,5.73,5.73,10.44,,,7.07,16.84,6.06,,8.42,4.71,7.07,6.4,,6.06,30.65,7.75,6.4,,6.06,40.76,8.08,6.06,,,-10.561728,-14.666667,-4.5,0.0,30.48,-13.339506,80.1318
