location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_PA_42067,2020-01-12,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,8.74,16.32,9.91,26.23,,46.63,,14.016667,3.25,19.472222,11.232444,,8.038889,67.63478
US_PA_42067,2020-01-13,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,,18.01,9.28,27.29,10.37,43.66,,3.588889,-0.244444,8.838889,1.397,,0.238889,78.887464
US_PA_42067,2020-01-14,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,7.8,7.8,10.92,30.17,,47.33,8.84,2.9,-0.672222,7.411111,0.1905,,1.45,90.323179
US_PA_42067,2020-01-15,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,,14.71,8.93,20.49,11.03,44.13,,5.755556,-0.127778,10.622222,0.677333,,2.088889,77.451931
US_PA_42067,2020-01-16,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,8.6,12.04,10.32,28.66,,42.98,,5.872222,0.344444,10.827778,0.3175,,-0.95,61.78032
US_PA_42067,2020-01-17,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,,17.17,10.43,25.14,,46.61,,-2.616667,-5.333333,2.3,0.15875,,-12.138889,48.507893
US_PA_42067,2020-01-18,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,9.63,9.03,13.24,21.06,,37.91,,-4.633333,-7.2,-0.388889,1.9685,30.48,-9.605556,68.366109
US_PA_42067,2020-01-19,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,,16.99,,18.74,,37.49,,-0.283333,-6.594444,3.477778,4.7625,30.48,-4.7,72.158921
US_PA_42067,2020-01-20,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,9.33,14.0,11.67,26.83,8.75,50.16,,-5.144444,-7.8,0.977778,0.254,40.64,-13.638889,51.560863
US_PA_42067,2020-01-21,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,12.19,27.43,9.75,38.41,9.14,42.67,,-5.444444,-10.444444,-0.683333,0.0,40.64,-12.588889,57.670416
