location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_KS_20099,2020-01-01,ChIJk_vMVcEBuIcRQGcwwqMjHlw,Q181325,geoId/20099,US,United States of America,KS,Kansas,20099,Labette County,US,USA,2,,,,,,,20129,9984,10145,2666,2577,2321,2264,2213,2898,2555,1619,1016,1070383,37.104722,-95.450833,1692,75.15,,,,,11.64,9.8,19.0,12.26,30.64,9.19,37.38,,4.172222,-2.094444,14.405556,0.0,-3.524691,57.226597
US_KS_20099,2020-01-02,ChIJk_vMVcEBuIcRQGcwwqMjHlw,Q181325,geoId/20099,US,United States of America,KS,Kansas,20099,Labette County,US,USA,2,,,,,,,20129,9984,10145,2666,2577,2321,2264,2213,2898,2555,1619,1016,1070383,37.104722,-95.450833,1692,75.15,,,,,,14.21,15.85,,43.16,,43.16,8.2,7.988889,3.494444,13.016667,0.0,3.771605,74.178927
US_KS_20099,2020-01-03,ChIJk_vMVcEBuIcRQGcwwqMjHlw,Q181325,geoId/20099,US,United States of America,KS,Kansas,20099,Labette County,US,USA,2,,,,,,,20129,9984,10145,2666,2577,2321,2264,2213,2898,2555,1619,1016,1070383,37.104722,-95.450833,1692,75.15,,,,,,,19.79,9.89,28.03,,36.28,10.44,6.744444,3.016667,11.311111,0.0,3.037037,77.06039
US_KS_20099,2020-01-04,ChIJk_vMVcEBuIcRQGcwwqMjHlw,Q181325,geoId/20099,US,United States of America,KS,Kansas,20099,Labette County,US,USA,2,,,,,,,20129,9984,10145,2666,2577,2321,2264,2213,2898,2555,1619,1016,1070383,37.104722,-95.450833,1692,75.15,,,,,,12.8,20.12,9.14,34.75,9.14,40.24,9.14,3.283333,-2.416667,8.233333,0.0,-6.049383,50.284941
US_KS_20099,2020-01-05,ChIJk_vMVcEBuIcRQGcwwqMjHlw,Q181325,geoId/20099,US,United States of America,KS,Kansas,20099,Labette County,US,USA,2,,,,,,,20129,9984,10145,2666,2577,2321,2264,2213,2898,2555,1619,1016,1070383,37.104722,-95.450833,1692,75.15,,,,,10.99,12.22,14.05,,35.43,9.77,40.31,,5.405556,-0.944444,14.633333,0.0,-4.62963,48.215134
US_KS_20099,2020-01-06,ChIJk_vMVcEBuIcRQGcwwqMjHlw,Q181325,geoId/20099,US,United States of America,KS,Kansas,20099,Labette County,US,USA,2,,,,,,,20129,9984,10145,2666,2577,2321,2264,2213,2898,2555,1619,1016,1070383,37.104722,-95.450833,1692,75.15,,,,,9.33,16.07,12.96,11.4,21.25,8.81,41.47,8.29,2.872222,-4.577778,11.955556,0.0,-4.006173,60.423619
US_KS_20099,2020-01-07,ChIJk_vMVcEBuIcRQGcwwqMjHlw,Q181325,geoId/20099,US,United States of America,KS,Kansas,20099,Labette County,US,USA,2,,,,,,,20129,9984,10145,2666,2577,2321,2264,2213,2898,2555,1619,1016,1070383,37.104722,-95.450833,1692,75.15,,,,,8.11,,12.68,7.61,31.44,10.14,35.49,10.14,4.255556,-2.922222,13.322222,0.0,-4.641975,52.390997
US_KS_20099,2020-01-08,ChIJk_vMVcEBuIcRQGcwwqMjHlw,Q181325,geoId/20099,US,United States of America,KS,Kansas,20099,Labette County,US,USA,2,,,,,,,20129,9984,10145,2666,2577,2321,2264,2213,2898,2555,1619,1016,1070383,37.104722,-95.450833,1692,75.15,,,,,13.36,12.86,,12.37,33.15,12.86,42.05,10.39,5.655556,-2.161111,16.7,0.0,-4.944444,46.715752
US_KS_20099,2020-01-09,ChIJk_vMVcEBuIcRQGcwwqMjHlw,Q181325,geoId/20099,US,United States of America,KS,Kansas,20099,Labette County,US,USA,2,,,,,,,20129,9984,10145,2666,2577,2321,2264,2213,2898,2555,1619,1016,1070383,37.104722,-95.450833,1692,75.15,,,,,,11.17,17.48,17.0,39.83,9.23,49.54,8.26,13.35,10.277778,17.205556,0.0,4.833333,56.121355
US_KS_20099,2020-01-10,ChIJk_vMVcEBuIcRQGcwwqMjHlw,Q181325,geoId/20099,US,United States of America,KS,Kansas,20099,Labette County,US,USA,2,,,,,,,20129,9984,10145,2666,2577,2321,2264,2213,2898,2555,1619,1016,1070383,37.104722,-95.450833,1692,75.15,,,,,7.73,,13.54,10.63,25.62,,34.32,8.22,14.355556,4.666667,19.466667,5.152571,13.0,91.76591
