location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13039,2020-01-11,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,2.23,1.98,7.55,4.08,9.03,,5.2,4.58,,4.46,5.07,3.96,,3.59,2.6,2.35,11.63,2.85,6.68,2.72,,4.33,1.86,6.43,1.98,2.72,3.46,5.32,5.32,2.35,4.08,5.32,,5.2,,2.72,5.94,2.23,22.27,6.43,2.48,8.79,,2.85,5.45,,2.23,6.06,29.95,2.1,,,4.46,7.92,,2.23,1.98,1.86,4.21,2.72,2.85,2.85,2.85,3.34,2.48,20.938272,17.709877,24.333333,0.028222,18.62963,87.132737
US_GA_13039,2020-01-12,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,2.08,5.5,9.41,3.18,8.43,,7.09,4.28,3.3,2.93,5.62,3.67,1.96,2.81,2.32,3.06,10.27,4.52,6.23,3.18,,4.28,2.69,7.58,4.28,2.2,3.42,3.42,4.77,,3.79,5.13,,5.38,2.32,3.91,7.09,,18.7,4.16,3.42,7.33,3.91,1.71,5.38,1.83,1.83,5.13,39.97,2.2,1.83,3.3,3.06,9.9,1.71,3.42,1.71,,4.4,5.01,5.13,1.96,1.83,2.44,2.93,22.191358,18.91358,26.925926,0.0,19.851852,87.852165
US_GA_13039,2020-01-13,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,2.11,4.55,8.0,3.33,9.44,2.22,8.0,6.66,1.78,3.11,8.11,3.89,1.89,2.56,1.55,3.22,14.77,4.78,7.44,3.67,1.67,5.0,1.55,8.33,4.44,2.67,2.67,3.89,6.33,3.22,3.11,6.0,2.44,4.33,1.78,1.89,6.22,2.11,22.55,5.11,4.44,7.0,2.89,3.78,3.67,3.55,2.33,4.33,40.65,1.78,2.33,2.33,5.67,7.89,1.55,2.78,3.22,1.55,4.22,4.22,4.33,2.44,3.22,4.11,2.11,21.839506,18.592593,26.41358,0.0,19.601852,87.889359
US_GA_13039,2020-01-14,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,3.28,4.75,6.57,3.06,10.75,2.6,6.11,6.34,,4.64,6.9,3.96,2.04,3.17,,3.62,14.26,3.51,6.45,3.4,2.94,3.06,2.26,7.36,6.0,2.94,3.4,4.75,6.0,2.49,3.28,3.17,3.06,4.64,2.15,3.28,7.13,2.83,23.77,5.77,3.28,8.6,3.17,3.28,4.41,2.49,1.7,5.09,35.65,2.26,2.04,2.15,3.4,7.7,,3.17,1.92,3.51,5.66,3.62,3.85,3.51,2.72,3.96,1.7,20.253086,15.376543,26.944444,0.0,17.592593,87.440152
US_GA_13039,2020-01-15,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,1.59,3.18,5.57,4.43,11.02,2.04,9.2,5.68,2.04,5.0,6.13,2.95,,2.5,2.38,3.63,11.24,3.86,5.68,1.7,,3.98,2.73,10.45,4.88,3.07,1.93,6.02,4.66,2.73,2.95,4.2,2.16,5.34,2.16,3.52,7.84,1.93,22.71,4.66,5.57,8.06,3.41,4.2,4.88,2.04,2.73,6.82,34.98,1.82,2.73,1.7,4.77,6.93,1.7,2.5,2.5,2.84,5.34,4.77,5.22,3.75,3.52,3.29,,22.037037,16.932099,28.666667,0.225778,18.425926,80.717282
US_GA_13039,2020-01-16,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,2.85,4.9,7.41,3.54,14.26,2.4,7.53,3.76,2.4,3.99,5.93,2.85,1.71,3.31,1.94,3.42,11.97,2.4,6.16,2.74,2.17,3.42,2.51,9.24,4.22,2.17,2.96,4.9,6.39,2.96,3.76,4.33,2.51,4.79,,1.6,5.25,1.82,24.63,4.79,2.62,7.07,3.88,2.96,4.33,3.42,2.51,4.33,42.76,1.94,1.82,3.42,3.65,6.73,,2.28,1.94,1.82,6.27,5.02,4.68,4.68,2.85,3.88,1.82,20.925926,17.203704,27.401235,0.0,17.768519,84.039289
US_GA_13039,2020-01-17,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,,5.11,5.9,3.86,11.92,2.61,5.79,5.11,2.27,3.41,5.56,3.97,,2.61,,3.06,11.01,3.97,4.88,4.54,,3.75,3.41,5.45,5.45,2.38,2.38,4.31,4.54,2.27,3.52,5.45,4.31,4.88,2.84,2.61,5.22,1.7,22.71,6.93,2.04,5.22,3.52,2.16,4.2,,,4.88,35.54,,,2.95,4.66,6.93,,2.84,1.59,,5.0,3.52,3.86,2.73,2.95,3.86,,17.080247,14.148148,24.574074,0.0,8.416667,59.04598
US_GA_13039,2020-01-18,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,3.27,5.16,8.56,3.52,10.57,,7.93,4.4,2.52,3.4,5.16,3.27,1.89,2.14,1.89,1.89,8.93,3.15,6.04,2.89,,4.53,1.76,6.79,3.15,2.14,2.39,4.4,3.27,2.77,3.77,3.9,2.52,5.29,,,4.91,,20.89,4.4,3.02,7.93,2.39,3.02,4.53,,2.77,4.28,38.0,1.89,2.77,3.02,3.4,6.29,2.01,2.01,2.14,2.01,5.03,3.27,4.78,2.27,3.02,3.02,,17.061728,13.438272,21.981481,0.0,11.703704,71.868404
US_GA_13039,2020-01-19,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,1.84,6.13,5.64,3.19,10.68,1.84,7.12,5.77,,2.09,4.91,4.17,1.84,1.96,,1.84,10.06,2.82,5.64,3.07,2.7,3.31,4.42,4.42,3.44,1.96,2.94,3.19,4.91,2.58,4.29,4.54,2.21,5.15,,3.68,6.87,2.21,19.39,3.93,2.09,6.99,3.19,3.56,3.8,,2.82,4.29,41.59,2.21,2.7,2.45,5.52,8.83,,2.45,,2.09,5.15,3.19,3.44,2.7,4.29,2.45,2.94,18.881944,14.159722,22.5,0.0,14.740741,77.247152
US_GA_13039,2020-01-20,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,2.18,4.84,8.83,4.23,10.77,2.18,8.59,4.23,,2.66,4.96,4.35,2.3,4.47,1.94,4.23,11.61,4.6,7.5,3.27,2.06,5.2,3.39,9.07,5.32,2.9,3.15,3.63,4.84,,3.27,4.72,2.42,2.42,,2.78,4.35,1.81,25.28,4.47,3.51,8.47,2.3,5.2,3.02,,,5.68,37.25,1.81,2.42,3.02,5.08,8.83,,3.15,2.18,1.94,5.44,4.47,5.2,3.15,2.54,2.9,2.42,8.660494,4.62963,16.820988,0.225778,-0.157407,55.220183
