location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NE_31157,2020-01-01,ChIJlZzhmsUwZYcRw2_TnqzH5zo,Q495990,geoId/31157,US,United States of America,NE,Nebraska,31157,Scotts Bluff County,US,USA,2,,,,,,,36160,17568,18592,4991,4920,4255,4306,3904,4588,4538,2629,2029,1425413,41.85,-103.71,1931,78.9,,,,,8.82,9.67,5.97,9.1,7.96,8.82,7.96,4.27,18.77,5.97,12.8,3.98,5.97,8.25,5.4,,7.68,5.97,6.54,3.98,9.1,32.71,,7.39,4.55,5.12,5.69,40.38,5.12,7.11,5.12,,5.69,1.12963,-6.824074,5.416667,0.0,30.48,-5.722222,60.447132
US_NE_31157,2020-01-02,ChIJlZzhmsUwZYcRw2_TnqzH5zo,Q495990,geoId/31157,US,United States of America,NE,Nebraska,31157,Scotts Bluff County,US,USA,2,,,,,,,36160,17568,18592,4991,4920,4255,4306,3904,4588,4538,2629,2029,1425413,41.85,-103.71,1931,78.9,,,,,5.94,9.04,5.17,8.78,13.18,5.17,8.01,3.88,20.93,,16.79,,7.49,8.78,,4.39,5.43,6.2,5.68,5.43,8.27,27.39,5.68,9.04,5.17,4.13,5.94,42.89,4.91,5.68,8.01,,4.13,0.398148,-4.944444,5.648148,0.042333,,-4.268519,71.048331
US_NE_31157,2020-01-03,ChIJlZzhmsUwZYcRw2_TnqzH5zo,Q495990,geoId/31157,US,United States of America,NE,Nebraska,31157,Scotts Bluff County,US,USA,2,,,,,,,36160,17568,18592,4991,4920,4255,4306,3904,4588,4538,2629,2029,1425413,41.85,-103.71,1931,78.9,,,,,5.93,8.0,7.22,10.58,9.03,8.51,5.93,4.64,22.19,7.22,14.7,3.87,3.61,9.54,6.71,4.64,4.9,3.87,4.39,5.42,9.29,32.76,8.26,10.58,5.42,5.16,5.42,39.99,,9.29,7.48,3.87,4.9,-0.481481,-5.564815,5.25,0.0,,-6.12037,65.798377
US_NE_31157,2020-01-04,ChIJlZzhmsUwZYcRw2_TnqzH5zo,Q495990,geoId/31157,US,United States of America,NE,Nebraska,31157,Scotts Bluff County,US,USA,2,,,,,,,36160,17568,18592,4991,4920,4255,4306,3904,4588,4538,2629,2029,1425413,41.85,-103.71,1931,78.9,,,,,5.71,11.42,6.57,11.14,9.71,4.85,8.28,4.85,21.13,5.71,14.28,,5.42,13.13,6.0,,,6.57,4.28,6.85,8.0,30.27,4.85,,,,6.57,45.69,4.0,6.85,4.0,6.0,4.57,3.388889,-5.296296,12.648148,0.0,,-4.12037,58.064459
US_NE_31157,2020-01-05,ChIJlZzhmsUwZYcRw2_TnqzH5zo,Q495990,geoId/31157,US,United States of America,NE,Nebraska,31157,Scotts Bluff County,US,USA,2,,,,,,,36160,17568,18592,4991,4920,4255,4306,3904,4588,4538,2629,2029,1425413,41.85,-103.71,1931,78.9,,,,,7.05,8.18,,11.0,7.05,7.05,7.33,3.95,18.05,4.79,11.84,,5.08,10.15,7.33,4.51,5.64,4.79,5.64,6.2,7.33,29.89,6.77,7.33,4.23,7.05,4.23,35.25,5.08,8.74,3.95,4.51,7.05,1.916667,-4.444444,12.648148,0.0,,-8.509259,46.02586
US_NE_31157,2020-01-06,ChIJlZzhmsUwZYcRw2_TnqzH5zo,Q495990,geoId/31157,US,United States of America,NE,Nebraska,31157,Scotts Bluff County,US,USA,2,,,,,,,36160,17568,18592,4991,4920,4255,4306,3904,4588,4538,2629,2029,1425413,41.85,-103.71,1931,78.9,,,,,4.49,12.48,5.49,9.73,4.99,9.24,8.74,5.24,18.72,3.99,10.48,4.24,4.74,8.74,11.48,4.24,,6.49,,6.74,9.98,32.7,8.99,9.73,6.24,5.99,7.24,41.19,5.74,9.48,5.74,4.49,6.49,-0.166667,-5.166667,4.071429,0.0,,-8.87037,52.757058
US_NE_31157,2020-01-07,ChIJlZzhmsUwZYcRw2_TnqzH5zo,Q495990,geoId/31157,US,United States of America,NE,Nebraska,31157,Scotts Bluff County,US,USA,2,,,,,,,36160,17568,18592,4991,4920,4255,4306,3904,4588,4538,2629,2029,1425413,41.85,-103.71,1931,78.9,,,,,6.0,7.78,4.45,8.45,7.78,6.67,5.34,5.11,16.01,3.56,11.78,3.78,5.56,9.78,4.45,4.89,,5.56,4.67,5.78,8.23,28.24,12.01,8.0,,7.56,6.89,38.24,3.33,8.0,6.0,4.89,5.56,2.015873,-6.039683,10.206349,0.0,,-7.203704,48.981911
US_NE_31157,2020-01-08,ChIJlZzhmsUwZYcRw2_TnqzH5zo,Q495990,geoId/31157,US,United States of America,NE,Nebraska,31157,Scotts Bluff County,US,USA,2,,,,,,,36160,17568,18592,4991,4920,4255,4306,3904,4588,4538,2629,2029,1425413,41.85,-103.71,1931,78.9,,,,,4.89,6.67,4.67,13.78,9.34,3.33,3.33,4.67,13.56,3.33,6.89,4.89,8.89,12.45,4.89,4.45,6.0,,4.0,6.22,8.67,35.34,6.0,7.78,8.0,5.78,5.78,32.45,3.33,13.11,5.56,5.56,4.67,1.5,-4.325397,11.293651,0.0,,-6.166667,58.401389
US_NE_31157,2020-01-09,ChIJlZzhmsUwZYcRw2_TnqzH5zo,Q495990,geoId/31157,US,United States of America,NE,Nebraska,31157,Scotts Bluff County,US,USA,2,,,,,,,36160,17568,18592,4991,4920,4255,4306,3904,4588,4538,2629,2029,1425413,41.85,-103.71,1931,78.9,,,,,5.35,8.47,4.68,9.59,9.37,7.81,7.14,5.58,16.06,3.12,10.26,,,8.25,5.58,5.8,7.58,3.57,,4.68,8.47,32.56,9.37,10.48,5.35,4.91,7.81,43.49,4.91,13.16,6.25,4.91,3.57,0.912698,-4.777778,9.571429,0.0,,-7.694444,52.403203
US_NE_31157,2020-01-10,ChIJlZzhmsUwZYcRw2_TnqzH5zo,Q495990,geoId/31157,US,United States of America,NE,Nebraska,31157,Scotts Bluff County,US,USA,2,,,,,,,36160,17568,18592,4991,4920,4255,4306,3904,4588,4538,2629,2029,1425413,41.85,-103.71,1931,78.9,,,,,3.09,6.18,3.09,6.84,10.82,5.96,5.08,,16.34,3.09,10.82,4.2,4.64,9.49,7.51,3.97,3.75,4.2,4.42,5.3,7.51,26.94,7.29,6.4,5.3,4.42,7.51,38.64,4.86,9.05,3.53,4.42,3.09,-4.452381,-10.507937,5.634921,0.326571,,-8.12963,74.037175
