location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MO_29127,2020-01-01,ChIJsbQIHYiR3YcRT2lONmxYNIM,Q490029,geoId/29127,US,United States of America,MO,Missouri,29127,Marion County,US,USA,2,,,,,,,28585,13884,14701,3664,3735,3666,3434,3318,3831,3487,2028,1422,1180549,39.81,-91.62,1150,76.775,,,,,,5.49,7.2,7.54,10.63,6.17,,14.74,9.26,6.51,8.91,6.86,,4.8,6.86,5.14,20.57,7.2,5.83,5.83,8.91,40.45,,,,,1.597222,-3.736111,11.215278,0.0,-3.284722,70.303688
US_MO_29127,2020-01-02,ChIJsbQIHYiR3YcRT2lONmxYNIM,Q490029,geoId/29127,US,United States of America,MO,Missouri,29127,Marion County,US,USA,2,,,,,,,28585,13884,14701,3664,3735,3666,3434,3318,3831,3487,2028,1422,1180549,39.81,-91.62,1150,76.775,,,,,,4.29,7.96,9.18,5.51,7.34,6.73,18.06,10.41,6.12,8.88,,,7.04,7.34,8.88,25.1,6.73,9.79,5.51,5.82,47.13,5.82,8.57,7.96,4.9,7.006944,3.298611,11.305556,0.0,0.388889,62.968065
US_MO_29127,2020-01-03,ChIJsbQIHYiR3YcRT2lONmxYNIM,Q490029,geoId/29127,US,United States of America,MO,Missouri,29127,Marion County,US,USA,2,,,,,,,28585,13884,14701,3664,3735,3666,3434,3318,3831,3487,2028,1422,1180549,39.81,-91.62,1150,76.775,,,,,,7.31,8.84,13.1,8.84,4.88,7.62,23.46,10.05,,9.14,5.18,5.18,6.4,7.31,5.79,26.51,7.31,10.05,,4.26,47.23,6.09,14.02,,6.09,2.993056,0.527778,7.916667,0.0,0.798611,85.637276
US_MO_29127,2020-01-04,ChIJsbQIHYiR3YcRT2lONmxYNIM,Q490029,geoId/29127,US,United States of America,MO,Missouri,29127,Marion County,US,USA,2,,,,,,,28585,13884,14701,3664,3735,3666,3434,3318,3831,3487,2028,1422,1180549,39.81,-91.62,1150,76.775,,,,,,5.97,10.28,7.3,8.29,6.63,,18.57,9.95,,5.31,,,,,,27.86,5.64,8.62,,,40.8,,8.62,5.64,,0.645833,-1.805556,2.340278,0.1524,-1.534722,85.645074
US_MO_29127,2020-01-05,ChIJsbQIHYiR3YcRT2lONmxYNIM,Q490029,geoId/29127,US,United States of America,MO,Missouri,29127,Marion County,US,USA,2,,,,,,,28585,13884,14701,3664,3735,3666,3434,3318,3831,3487,2028,1422,1180549,39.81,-91.62,1150,76.775,,,,,,5.69,12.04,7.36,10.03,6.69,6.69,16.05,6.36,9.7,9.03,,4.68,,4.68,5.69,21.41,7.02,8.03,4.68,8.7,36.79,4.68,4.68,,5.35,1.881944,-3.798611,10.201389,0.0,-3.638889,67.335186
US_MO_29127,2020-01-06,ChIJsbQIHYiR3YcRT2lONmxYNIM,Q490029,geoId/29127,US,United States of America,MO,Missouri,29127,Marion County,US,USA,2,,,,,,,28585,13884,14701,3664,3735,3666,3434,3318,3831,3487,2028,1422,1180549,39.81,-91.62,1150,76.775,,,,,,4.95,10.49,12.24,7.28,4.66,8.45,11.65,12.24,6.41,10.2,4.66,,,4.08,9.03,34.09,9.32,8.74,5.54,8.16,40.21,6.41,11.07,6.12,6.12,1.090278,-4.083333,6.173611,0.0,-4.444444,66.683452
US_MO_29127,2020-01-07,ChIJsbQIHYiR3YcRT2lONmxYNIM,Q490029,geoId/29127,US,United States of America,MO,Missouri,29127,Marion County,US,USA,2,,,,,,,28585,13884,14701,3664,3735,3666,3434,3318,3831,3487,2028,1422,1180549,39.81,-91.62,1150,76.775,,,,,,,7.94,10.49,7.65,6.52,5.39,13.89,5.1,,11.34,4.54,8.79,,7.09,8.5,30.33,7.65,7.65,,8.22,38.83,,8.22,5.39,6.24,1.208333,-2.291667,6.444444,0.0,-4.451389,66.314658
US_MO_29127,2020-01-08,ChIJsbQIHYiR3YcRT2lONmxYNIM,Q490029,geoId/29127,US,United States of America,MO,Missouri,29127,Marion County,US,USA,2,,,,,,,28585,13884,14701,3664,3735,3666,3434,3318,3831,3487,2028,1422,1180549,39.81,-91.62,1150,76.775,,,,,,4.2,7.28,13.73,9.24,8.12,5.6,11.77,10.09,,14.57,,7.28,4.76,,7.84,29.7,6.44,10.09,3.92,7.56,41.46,4.2,9.8,7.56,5.04,-1.833333,-6.826389,2.986111,0.0,-9.548611,55.899923
US_MO_29127,2020-01-09,ChIJsbQIHYiR3YcRT2lONmxYNIM,Q490029,geoId/29127,US,United States of America,MO,Missouri,29127,Marion County,US,USA,2,,,,,,,28585,13884,14701,3664,3735,3666,3434,3318,3831,3487,2028,1422,1180549,39.81,-91.62,1150,76.775,,,,,,3.94,10.12,9.56,10.96,6.47,4.5,12.09,9.0,5.9,12.65,,6.47,4.78,,9.0,27.83,7.87,5.9,4.5,9.56,43.58,,8.43,5.62,5.06,6.520833,-1.777778,15.5,0.0,-0.881944,59.491436
US_MO_29127,2020-01-10,ChIJsbQIHYiR3YcRT2lONmxYNIM,Q490029,geoId/29127,US,United States of America,MO,Missouri,29127,Marion County,US,USA,2,,,,,,,28585,13884,14701,3664,3735,3666,3434,3318,3831,3487,2028,1422,1180549,39.81,-91.62,1150,76.775,,,,,,4.89,6.53,8.7,5.71,,6.25,16.32,11.96,4.62,10.88,5.98,3.81,5.17,7.07,5.44,33.72,6.25,7.07,8.16,6.25,40.79,6.53,8.16,8.16,5.17,6.993056,3.381944,12.756944,2.54,4.840278,86.256538
