location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48371,2020-01-01,ChIJP5RBLjeM8IYRB4v1jFAVopE,Q114459,geoId/48371,US,United States of America,TX,Texas,48371,Pecos County,US,USA,2,,,,,,,15634,8850,6784,2217,1983,2176,2440,2074,1892,1470,888,494,1814607,30.78,-102.72,12341,77.8,,,,,,22.94,,16.46,,28.93,,6.066667,-0.983333,13.061111,0.0,,-3.401235,50.656436
US_TX_48371,2020-01-02,ChIJP5RBLjeM8IYRB4v1jFAVopE,Q114459,geoId/48371,US,United States of America,TX,Texas,48371,Pecos County,US,USA,2,,,,,,,15634,8850,6784,2217,1983,2176,2440,2074,1892,1470,888,494,1814607,30.78,-102.72,12341,77.8,,,,,8.09,13.03,7.19,20.22,,23.81,,9.472222,3.194444,15.511111,0.0,,-1.203704,48.128909
US_TX_48371,2020-01-03,ChIJP5RBLjeM8IYRB4v1jFAVopE,Q114459,geoId/48371,US,United States of America,TX,Texas,48371,Pecos County,US,USA,2,,,,,,,15634,8850,6784,2217,1983,2176,2440,2074,1892,1470,888,494,1814607,30.78,-102.72,12341,77.8,,,,,7.47,13.62,7.03,19.34,7.47,27.25,,7.772222,3.927778,12.716667,0.451556,,1.339506,64.598167
US_TX_48371,2020-01-04,ChIJP5RBLjeM8IYRB4v1jFAVopE,Q114459,geoId/48371,US,United States of America,TX,Texas,48371,Pecos County,US,USA,2,,,,,,,15634,8850,6784,2217,1983,2176,2440,2074,1892,1470,888,494,1814607,30.78,-102.72,12341,77.8,,,,,,12.26,7.08,19.81,8.02,21.22,,6.688889,-1.55,17.855556,0.5588,,-3.839506,47.161415
US_TX_48371,2020-01-05,ChIJP5RBLjeM8IYRB4v1jFAVopE,Q114459,geoId/48371,US,United States of America,TX,Texas,48371,Pecos County,US,USA,2,,,,,,,15634,8850,6784,2217,1983,2176,2440,2074,1892,1470,888,494,1814607,30.78,-102.72,12341,77.8,,,,,8.91,9.35,,22.27,,24.94,,9.888889,0.722222,20.427778,0.0,,-5.098765,34.729645
US_TX_48371,2020-01-06,ChIJP5RBLjeM8IYRB4v1jFAVopE,Q114459,geoId/48371,US,United States of America,TX,Texas,48371,Pecos County,US,USA,2,,,,,,,15634,8850,6784,2217,1983,2176,2440,2074,1892,1470,888,494,1814607,30.78,-102.72,12341,77.8,,,,,7.1,12.54,,17.13,6.27,22.14,,9.261111,-0.183333,19.872222,0.0,,-5.549383,35.137115
US_TX_48371,2020-01-07,ChIJP5RBLjeM8IYRB4v1jFAVopE,Q114459,geoId/48371,US,United States of America,TX,Texas,48371,Pecos County,US,USA,2,,,,,,,15634,8850,6784,2217,1983,2176,2440,2074,1892,1470,888,494,1814607,30.78,-102.72,12341,77.8,,,,,8.79,14.38,5.99,14.78,6.79,15.98,,6.0,-4.438889,17.5,0.0,,-9.91358,31.292138
US_TX_48371,2020-01-08,ChIJP5RBLjeM8IYRB4v1jFAVopE,Q114459,geoId/48371,US,United States of America,TX,Texas,48371,Pecos County,US,USA,2,,,,,,,15634,8850,6784,2217,1983,2176,2440,2074,1892,1470,888,494,1814607,30.78,-102.72,12341,77.8,,,,,12.08,6.62,9.74,23.77,,20.26,12.86,7.961111,-0.833333,19.338889,0.0,,-8.407407,31.37207
US_TX_48371,2020-01-09,ChIJP5RBLjeM8IYRB4v1jFAVopE,Q114459,geoId/48371,US,United States of America,TX,Texas,48371,Pecos County,US,USA,2,,,,,,,15634,8850,6784,2217,1983,2176,2440,2074,1892,1470,888,494,1814607,30.78,-102.72,12341,77.8,,,,,,6.07,6.07,19.81,7.28,24.67,9.3,13.433333,5.027778,22.988889,0.0,,0.549383,43.74145
US_TX_48371,2020-01-10,ChIJP5RBLjeM8IYRB4v1jFAVopE,Q114459,geoId/48371,US,United States of America,TX,Texas,48371,Pecos County,US,USA,2,,,,,,,15634,8850,6784,2217,1983,2176,2440,2074,1892,1470,888,494,1814607,30.78,-102.72,12341,77.8,,,,,,7.76,11.64,21.34,,22.51,,11.516667,4.722222,19.644444,0.0,,-0.030864,47.407514
