location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_CO_08107,2020-01-01,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,3.95,8.21,9.0,7.11,8.69,6.63,4.74,4.42,4.9,15.16,,6.48,3.0,3.63,4.58,5.21,3.79,4.11,3.16,3.79,4.9,3.0,2.53,15.64,6.79,4.26,4.26,,,4.11,4.58,36.48,3.16,4.74,5.37,,2.21,,-7.577778,-11.988889,-2.366667,0.0,-11.4,74.449263
US_CO_08107,2020-01-02,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,5.54,8.87,6.33,11.09,6.02,3.96,4.28,,5.86,17.1,,8.08,,5.07,4.28,4.75,4.75,4.43,2.69,3.33,2.53,2.53,3.64,21.38,4.75,4.59,6.02,3.33,2.38,3.96,3.01,44.82,3.48,3.33,8.55,3.01,2.69,2.53,-4.872222,-9.722222,-1.683333,4.2545,-7.222222,83.698168
US_CO_08107,2020-01-03,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,3.69,9.62,5.61,9.62,5.61,4.33,7.22,3.53,4.97,18.12,3.85,8.34,2.25,4.97,5.45,5.61,4.33,5.29,3.53,3.21,3.37,2.57,5.29,19.25,6.09,3.05,6.42,2.89,,3.05,,42.5,4.17,7.54,6.09,2.57,,3.37,-6.32716,-10.62963,-1.037037,0.592667,-9.253086,79.977452
US_CO_08107,2020-01-04,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,4.3,10.65,6.73,7.66,4.49,7.1,6.54,2.8,5.05,20.93,5.61,9.91,,4.3,4.3,2.62,,5.98,2.8,4.86,3.92,3.36,3.74,20.0,5.79,2.8,4.49,2.62,3.74,4.67,3.55,45.23,4.3,5.98,8.04,,2.99,,-6.8,-13.605556,1.094444,0.084667,-10.061111,77.826492
US_CO_08107,2020-01-05,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,2.86,6.68,6.49,8.77,8.01,4.58,5.91,,6.1,16.21,4.77,8.96,3.05,4.58,4.0,3.81,3.62,5.15,3.05,3.24,3.43,,3.05,14.69,5.53,4.0,4.58,,,5.91,3.43,40.82,4.2,4.96,5.91,,,,-7.077778,-14.077778,0.172222,0.0635,-10.733333,75.395989
US_CO_08107,2020-01-06,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,3.1,5.28,5.1,9.1,4.92,6.37,8.74,4.73,7.28,19.12,,9.1,2.91,4.0,5.64,4.73,,5.64,2.91,3.46,4.37,,4.55,20.03,6.01,2.73,4.92,3.28,,3.64,4.55,44.42,5.46,7.1,4.73,2.73,3.1,,-5.766667,-12.0,-1.122222,0.127,-10.188889,71.265995
US_CO_08107,2020-01-07,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,2.93,7.59,4.32,9.66,6.39,6.9,7.25,,5.7,16.74,,9.66,,2.42,2.59,5.87,3.28,4.49,2.93,3.28,3.28,2.59,4.49,21.05,3.8,3.97,4.66,4.32,2.59,4.49,3.62,37.8,3.97,6.9,4.83,,2.76,,-4.911111,-10.677778,1.461111,0.0,-10.883333,63.345636
US_CO_08107,2020-01-08,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,3.07,6.82,6.99,8.52,7.5,3.92,4.6,3.24,6.99,15.0,3.92,9.03,,3.58,7.5,4.43,3.41,4.6,,4.09,3.41,,3.41,27.44,4.09,3.07,4.94,3.07,2.56,3.41,4.6,34.25,3.58,10.74,7.33,3.41,,2.56,-7.55,-13.805556,1.022222,0.0,-12.077778,70.585712
US_CO_08107,2020-01-09,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,2.73,8.87,6.14,7.16,6.31,5.97,7.5,,5.63,17.22,3.58,11.94,,3.41,5.12,2.73,4.43,7.33,,3.41,3.92,2.56,3.75,25.24,4.43,5.46,4.95,3.58,3.07,4.95,2.9,39.9,4.78,9.72,5.46,3.07,3.07,,-5.194444,-13.027778,0.227778,0.127,-8.594444,77.299567
US_CO_08107,2020-01-10,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,4.0,4.91,6.19,8.55,4.55,4.73,7.82,,,18.74,3.27,8.55,,4.55,5.09,4.73,2.73,7.46,3.09,4.91,3.27,,4.73,21.47,5.28,2.55,4.91,4.55,3.46,,6.55,35.12,3.27,5.82,4.37,2.55,3.09,,-8.183333,-13.438889,-3.683333,2.032,-10.816667,81.469519
US_CO_08107,2020-01-11,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,5.13,6.51,4.54,10.06,6.71,5.33,5.33,3.16,5.33,21.5,4.14,8.09,2.96,2.96,7.69,3.55,6.51,2.76,3.16,,,,3.16,18.94,6.31,,4.93,3.75,3.55,,,44.58,5.13,5.72,7.3,2.96,4.54,3.16,-14.727778,-21.15,-6.661111,0.3048,-18.238889,75.291758
US_CO_08107,2020-01-12,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,5.77,7.41,6.59,7.83,7.0,7.62,6.59,3.09,4.53,16.89,3.29,10.71,,,3.91,3.5,6.38,4.12,3.09,3.29,4.74,,5.15,21.41,7.41,3.71,6.18,3.09,3.29,5.35,3.71,45.09,,6.18,6.18,,2.88,,-9.761111,-14.572222,-4.194444,0.5588,-12.477778,80.788383
US_CO_08107,2020-01-13,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,,3.44,3.26,9.97,5.62,5.98,7.25,2.72,7.43,17.22,,7.98,,4.35,6.71,4.17,4.17,3.62,4.53,,3.62,3.44,3.08,18.31,4.89,,3.26,3.62,3.44,3.99,2.72,37.88,5.26,3.44,3.44,,,,-6.238889,-10.772222,-1.977778,0.1905,-9.433333,78.413488
US_CO_08107,2020-01-14,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,3.26,7.43,7.07,7.97,5.07,,5.43,2.54,6.34,19.75,,9.6,,2.54,5.98,,4.17,3.44,2.72,3.62,2.72,,6.52,17.75,4.71,,5.07,3.44,,3.26,4.71,36.23,3.26,5.98,4.53,,,,-5.044444,-12.205556,2.061111,0.072571,-10.794444,64.785754
US_CO_08107,2020-01-15,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,3.91,8.94,4.28,8.38,8.01,,5.96,,5.77,13.78,,8.76,2.79,3.17,7.08,4.28,3.73,4.84,2.79,2.61,5.22,3.91,3.91,19.37,4.84,5.03,3.35,2.79,,3.17,4.1,37.63,3.35,5.96,5.77,3.17,2.61,,-6.444444,-14.716667,1.188889,0.3556,-11.027778,70.263705
US_CO_08107,2020-01-16,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,3.39,6.22,5.46,8.1,8.1,4.33,6.78,,6.41,17.33,,7.91,,3.77,5.65,4.9,5.27,6.78,,4.52,5.27,2.83,4.9,22.23,4.14,3.01,2.64,4.33,5.09,5.27,,36.35,2.83,5.27,6.59,2.64,2.64,3.39,-10.305556,-16.861111,-0.727778,0.1524,-14.6,71.560915
US_CO_08107,2020-01-17,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,3.17,8.4,3.73,7.46,7.28,5.04,5.97,5.04,5.04,15.68,2.61,6.16,,,4.85,2.61,,4.11,2.99,3.36,2.61,,5.04,17.54,5.79,3.36,6.53,4.85,,3.36,2.8,33.03,2.61,6.91,4.67,2.8,,3.55,-5.605556,-11.783333,0.483333,0.0,-9.022222,77.236361
US_CO_08107,2020-01-18,ChIJ-dGew1EYQocRZA3rearTJXE,Q312734,geoId/08107,US,United States of America,CO,Colorado,08107,Routt County,US,USA,2,,,,,,,25171,13132,12039,2404,2749,3400,3720,3621,3599,3614,1534,530,415168,40.48,-106.99,6133,81.7625,,,,,,,,5.96,6.78,8.84,5.34,4.32,3.49,,3.29,12.12,,7.6,,3.49,5.34,4.52,,3.29,,3.08,3.29,2.88,,17.47,5.55,2.88,5.34,,,5.14,4.32,34.94,2.88,6.17,4.93,3.29,3.29,,-10.9,-18.022222,-1.866667,1.016,-15.011111,71.924068
