location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OR_41015,2020-01-01,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,,9.96,5.78,7.07,,12.21,8.67,,6.75,18.31,7.07,9.64,32.13,5.46,5.14,9.401235,6.697531,11.506173,12.304889,,7.981481,94.465064
US_OR_41015,2020-01-02,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,6.73,7.05,4.48,4.8,5.12,15.05,7.37,,6.08,19.22,8.01,5.12,29.14,,5.45,8.17284,5.376543,11.351852,6.237111,,6.203704,90.089138
US_OR_41015,2020-01-03,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,8.17,8.82,10.78,7.19,,12.41,5.55,,6.21,19.93,6.53,5.88,33.65,,,7.512346,3.67284,13.660494,0.0,,2.972222,76.639222
US_OR_41015,2020-01-04,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,,8.82,,,,14.59,7.12,,9.5,18.66,7.12,8.48,28.16,6.11,8.82,7.919753,3.283951,13.901235,10.865556,,3.555556,76.660064
US_OR_41015,2020-01-05,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,6.02,8.7,,6.02,,14.38,7.03,,,19.74,,,28.77,5.02,,6.925926,4.253086,10.012346,4.543778,,4.12963,87.228079
US_OR_41015,2020-01-06,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,,8.32,4.46,5.65,4.46,8.91,6.54,,8.32,13.97,4.46,4.75,32.39,6.24,,6.728395,4.635802,10.314815,3.922889,,3.925926,87.578851
US_OR_41015,2020-01-07,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,,10.77,8.38,5.39,5.99,9.28,10.47,5.99,7.78,22.15,5.99,7.18,31.72,8.68,5.69,7.055556,4.530864,10.074074,2.765778,,4.435185,89.744029
US_OR_41015,2020-01-08,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,5.18,5.48,7.31,,5.18,7.92,7.92,,8.22,23.76,5.18,,26.19,14.01,,7.703704,5.54321,9.518519,9.482667,,5.907407,93.592473
US_OR_41015,2020-01-09,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,5.85,8.62,8.01,5.54,6.16,9.24,10.47,,,16.63,4.62,,34.81,4.62,6.16,6.234568,2.882716,9.080247,17.892889,,3.916667,88.313089
US_OR_41015,2020-01-10,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,5.27,6.14,6.44,5.56,,9.65,6.73,,5.27,16.09,6.14,7.02,26.04,4.68,,5.339506,2.407407,9.024691,1.834444,,2.305556,85.409741
