location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51735,2020-01-01,ChIJ-xlqssCGuokR2XrbaY0_znw,Q349995,geoId/51735,US,United States of America,VA,Virginia,51735,Poquoson,US,USA,2,,,,,,,12039,5974,6065,1240,1671,1214,1417,1517,1863,1479,1088,550,3864705,37.133153,-76.373881,3,203,79.5,,,,12.76,12.29,16.07,,19.85,,38.29,,8.388889,4.432099,12.67284,0.0,,-0.944444,53.234866
US_VA_51735,2020-01-02,ChIJ-xlqssCGuokR2XrbaY0_znw,Q349995,geoId/51735,US,United States of America,VA,Virginia,51735,Poquoson,US,USA,2,,,,,,,12039,5974,6065,1240,1671,1214,1417,1517,1863,1479,1088,550,3864705,37.133153,-76.373881,3,203,79.5,,,,,7.57,21.21,8.08,23.23,7.57,41.91,8.08,8.790123,3.506173,14.580247,0.0,,0.402778,57.010476
US_VA_51735,2020-01-03,ChIJ-xlqssCGuokR2XrbaY0_znw,Q349995,geoId/51735,US,United States of America,VA,Virginia,51735,Poquoson,US,USA,2,,,,,,,12039,5974,6065,1240,1671,1214,1417,1517,1863,1479,1088,550,3864705,37.133153,-76.373881,3,203,79.5,,,,,12.28,23.58,8.35,28.49,7.86,47.65,,10.814815,5.074074,14.314815,1.044222,,7.069444,76.338565
US_VA_51735,2020-01-04,ChIJ-xlqssCGuokR2XrbaY0_znw,Q349995,geoId/51735,US,United States of America,VA,Virginia,51735,Poquoson,US,USA,2,,,,,,,12039,5974,6065,1240,1671,1214,1417,1517,1863,1479,1088,550,3864705,37.133153,-76.373881,3,203,79.5,,,,10.02,10.98,17.18,7.64,23.86,,40.09,11.46,14.425926,11.450617,16.32716,10.442222,,13.722222,91.328079
US_VA_51735,2020-01-05,ChIJ-xlqssCGuokR2XrbaY0_znw,Q349995,geoId/51735,US,United States of America,VA,Virginia,51735,Poquoson,US,USA,2,,,,,,,12039,5974,6065,1240,1671,1214,1417,1517,1863,1479,1088,550,3864705,37.133153,-76.373881,3,203,79.5,,,,6.93,,20.34,8.32,18.95,9.71,34.67,7.86,8.216049,5.320988,15.012346,3.640667,,0.541667,58.05971
US_VA_51735,2020-01-06,ChIJ-xlqssCGuokR2XrbaY0_znw,Q349995,geoId/51735,US,United States of America,VA,Virginia,51735,Poquoson,US,USA,2,,,,,,,12039,5974,6065,1240,1671,1214,1417,1517,1863,1479,1088,550,3864705,37.133153,-76.373881,3,203,79.5,,,,9.22,11.42,13.18,10.1,24.16,,46.55,7.03,7.481481,3.5,13.141975,0.169333,,-0.819444,57.395812
US_VA_51735,2020-01-07,ChIJ-xlqssCGuokR2XrbaY0_znw,Q349995,geoId/51735,US,United States of America,VA,Virginia,51735,Poquoson,US,USA,2,,,,,,,12039,5974,6065,1240,1671,1214,1417,1517,1863,1479,1088,550,3864705,37.133153,-76.373881,3,203,79.5,,,,6.6,7.04,12.32,,17.6,6.6,31.25,6.6,6.746914,3.382716,12.395062,1.354667,,2.0,79.639256
US_VA_51735,2020-01-08,ChIJ-xlqssCGuokR2XrbaY0_znw,Q349995,geoId/51735,US,United States of America,VA,Virginia,51735,Poquoson,US,USA,2,,,,,,,12039,5974,6065,1240,1671,1214,1417,1517,1863,1479,1088,550,3864705,37.133153,-76.373881,3,203,79.5,,,,7.24,,14.03,9.5,28.96,7.24,38.02,14.03,6.160494,1.783951,11.851852,0.733778,,-2.194444,55.994472
US_VA_51735,2020-01-09,ChIJ-xlqssCGuokR2XrbaY0_znw,Q349995,geoId/51735,US,United States of America,VA,Virginia,51735,Poquoson,US,USA,2,,,,,,,12039,5974,6065,1240,1671,1214,1417,1517,1863,1479,1088,550,3864705,37.133153,-76.373881,3,203,79.5,,,,8.73,11.79,13.98,6.99,24.9,,39.75,7.42,3.753086,1.04321,10.166667,0.0,,-4.916667,55.512195
US_VA_51735,2020-01-10,ChIJ-xlqssCGuokR2XrbaY0_znw,Q349995,geoId/51735,US,United States of America,VA,Virginia,51735,Poquoson,US,USA,2,,,,,,,12039,5974,6065,1240,1671,1214,1417,1517,1863,1479,1088,550,3864705,37.133153,-76.373881,3,203,79.5,,,,,10.23,12.45,,17.34,,35.13,,10.179012,2.37037,19.092593,0.0,,4.597222,68.954951
US_VA_51735,2020-01-11,ChIJ-xlqssCGuokR2XrbaY0_znw,Q349995,geoId/51735,US,United States of America,VA,Virginia,51735,Poquoson,US,USA,2,,,,,,,12039,5974,6065,1240,1671,1214,1417,1517,1863,1479,1088,550,3864705,37.133153,-76.373881,3,203,79.5,,,,,13.04,13.04,,18.26,,36.0,,16.740741,13.574074,21.759259,0.0,,12.194444,70.794599
US_VA_51735,2020-01-12,ChIJ-xlqssCGuokR2XrbaY0_znw,Q349995,geoId/51735,US,United States of America,VA,Virginia,51735,Poquoson,US,USA,2,,,,,,,12039,5974,6065,1240,1671,1214,1417,1517,1863,1479,1088,550,3864705,37.133153,-76.373881,3,203,79.5,,,,7.06,11.77,15.07,8.47,18.36,7.06,36.25,,19.37037,14.679012,21.660494,0.310444,,14.319444,69.845787
US_VA_51735,2020-01-13,ChIJ-xlqssCGuokR2XrbaY0_znw,Q349995,geoId/51735,US,United States of America,VA,Virginia,51735,Poquoson,US,USA,2,,,,,,,12039,5974,6065,1240,1671,1214,1417,1517,1863,1479,1088,550,3864705,37.133153,-76.373881,3,203,79.5,,,,8.35,9.67,11.43,,18.9,,43.52,7.03,15.030864,11.055556,19.518519,1.749778,,13.513889,86.949769
US_VA_51735,2020-01-14,ChIJ-xlqssCGuokR2XrbaY0_znw,Q349995,geoId/51735,US,United States of America,VA,Virginia,51735,Poquoson,US,USA,2,,,,,,,12039,5974,6065,1240,1671,1214,1417,1517,1863,1479,1088,550,3864705,37.133153,-76.373881,3,203,79.5,,,,11.91,14.11,7.94,10.14,21.17,,39.69,7.05,11.438272,10.197531,14.938272,9.172222,,10.861111,92.127284
