location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48299,2020-01-01,ChIJJ1qC8d1OWoYR9wEwM1bnUho,Q110336,geoId/48299,US,United States of America,TX,Texas,48299,Llano County,US,USA,2,,,,,,,21167,10265,10902,1737,1833,1666,1689,1852,2827,4215,3395,1953,1836914,30.71,-98.68,2502,78.84,,,,,,,18.18,10.22,18.74,12.5,10.79,24.99,,41.46,,9.833333,7.919753,12.246914,0.0,,-0.354167,49.068752
US_TX_48299,2020-01-02,ChIJJ1qC8d1OWoYR9wEwM1bnUho,Q110336,geoId/48299,US,United States of America,TX,Texas,48299,Llano County,US,USA,2,,,,,,,21167,10265,10902,1737,1833,1666,1689,1852,2827,4215,3395,1953,1836914,30.71,-98.68,2502,78.84,,,,,,14.61,23.6,8.99,25.29,9.55,,23.6,13.49,41.03,11.24,11.87037,9.253086,17.049383,0.0,,8.805556,81.406571
US_TX_48299,2020-01-03,ChIJJ1qC8d1OWoYR9wEwM1bnUho,Q110336,geoId/48299,US,United States of America,TX,Texas,48299,Llano County,US,USA,2,,,,,,,21167,10265,10902,1737,1833,1666,1689,1852,2827,4215,3395,1953,1836914,30.71,-98.68,2502,78.84,,,,,,,20.79,,21.94,13.86,9.82,28.29,9.82,55.43,,10.901235,6.030864,15.820988,0.0,,4.138889,63.431239
US_TX_48299,2020-01-04,ChIJJ1qC8d1OWoYR9wEwM1bnUho,Q110336,geoId/48299,US,United States of America,TX,Texas,48299,Llano County,US,USA,2,,,,,,,21167,10265,10902,1737,1833,1666,1689,1852,2827,4215,3395,1953,1836914,30.71,-98.68,2502,78.84,,,,,,12.93,31.73,,19.98,11.16,,24.09,,43.48,,9.432099,0.839506,20.851852,0.0,,-2.090278,45.21991
US_TX_48299,2020-01-05,ChIJJ1qC8d1OWoYR9wEwM1bnUho,Q110336,geoId/48299,US,United States of America,TX,Texas,48299,Llano County,US,USA,2,,,,,,,21167,10265,10902,1737,1833,1666,1689,1852,2827,4215,3395,1953,1836914,30.71,-98.68,2502,78.84,,,,,,11.02,35.5,,20.2,9.79,12.24,30.6,9.18,58.75,,12.660494,3.802469,24.179012,0.0,,-1.4375,38.641795
US_TX_48299,2020-01-06,ChIJJ1qC8d1OWoYR9wEwM1bnUho,Q110336,geoId/48299,US,United States of America,TX,Texas,48299,Llano County,US,USA,2,,,,,,,21167,10265,10902,1737,1833,1666,1689,1852,2827,4215,3395,1953,1836914,30.71,-98.68,2502,78.84,,,,,,10.35,44.45,,21.92,11.57,10.96,21.31,,54.19,,11.790123,2.765432,23.246914,0.0,,0.770833,47.988882
US_TX_48299,2020-01-07,ChIJJ1qC8d1OWoYR9wEwM1bnUho,Q110336,geoId/48299,US,United States of America,TX,Texas,48299,Llano County,US,USA,2,,,,,,,21167,10265,10902,1737,1833,1666,1689,1852,2827,4215,3395,1953,1836914,30.71,-98.68,2502,78.84,,,,,,9.86,45.59,,24.03,,9.24,26.49,,50.52,9.86,10.62963,0.537037,19.030864,0.0,,-4.9375,33.85245
US_TX_48299,2020-01-08,ChIJJ1qC8d1OWoYR9wEwM1bnUho,Q110336,geoId/48299,US,United States of America,TX,Texas,48299,Llano County,US,USA,2,,,,,,,21167,10265,10902,1737,1833,1666,1689,1852,2827,4215,3395,1953,1836914,30.71,-98.68,2502,78.84,,,,,,11.17,49.65,,31.65,18.0,13.65,46.55,,42.83,18.62,8.95679,0.919753,18.895062,0.0,,-4.166667,40.383244
US_TX_48299,2020-01-09,ChIJJ1qC8d1OWoYR9wEwM1bnUho,Q110336,geoId/48299,US,United States of America,TX,Texas,48299,Llano County,US,USA,2,,,,,,,21167,10265,10902,1737,1833,1666,1689,1852,2827,4215,3395,1953,1836914,30.71,-98.68,2502,78.84,,,,,,,22.48,12.76,18.83,14.58,13.37,37.67,9.11,52.25,,17.635802,14.685185,22.462963,0.0,,12.409722,71.314056
US_TX_48299,2020-01-10,ChIJJ1qC8d1OWoYR9wEwM1bnUho,Q110336,geoId/48299,US,United States of America,TX,Texas,48299,Llano County,US,USA,2,,,,,,,21167,10265,10902,1737,1833,1666,1689,1852,2827,4215,3395,1953,1836914,30.71,-98.68,2502,78.84,,,,,,11.32,23.83,,11.32,16.09,,31.58,9.53,51.24,,19.598765,15.716049,23.765432,0.0,,15.395833,76.774516
