location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_PA_42009,2020-01-01,ChIJpbAqD2W1y4kRCRX8IMHzyB0,Q494174,geoId/42009,US,United States of America,PA,Pennsylvania,42009,Bedford County,US,USA,2,,,,,,,48356,24079,24277,4892,5607,5124,4877,5926,7530,6766,4745,2889,417156,40.01,-78.49,2635,78.581818,,,,,,7.93,7.93,5.89,10.65,9.52,5.44,7.48,7.25,26.73,3.85,15.86,4.76,4.53,7.7,4.08,6.34,7.02,6.57,3.85,6.12,4.08,4.53,27.41,5.66,5.21,6.8,,4.98,7.25,43.05,5.44,8.16,5.89,4.3,5.44,4.08,1.154321,-0.95679,4.888889,0.254,-5.524691,62.221862
US_PA_42009,2020-01-02,ChIJpbAqD2W1y4kRCRX8IMHzyB0,Q494174,geoId/42009,US,United States of America,PA,Pennsylvania,42009,Bedford County,US,USA,2,,,,,,,48356,24079,24277,4892,5607,5124,4877,5926,7530,6766,4745,2889,417156,40.01,-78.49,2635,78.581818,,,,,,5.22,7.03,5.82,9.03,8.43,5.82,3.81,5.22,24.69,4.01,14.85,3.61,4.21,8.23,7.43,5.02,5.22,5.82,3.21,4.01,7.03,8.03,33.32,7.63,3.41,5.02,5.22,3.81,5.02,39.14,4.82,7.83,5.42,3.01,5.22,3.61,2.598765,-2.845679,9.277778,0.056444,-4.679012,59.06263
US_PA_42009,2020-01-03,ChIJpbAqD2W1y4kRCRX8IMHzyB0,Q494174,geoId/42009,US,United States of America,PA,Pennsylvania,42009,Bedford County,US,USA,2,,,,,,,48356,24079,24277,4892,5607,5124,4877,5926,7530,6766,4745,2889,417156,40.01,-78.49,2635,78.581818,,,,,,4.55,7.13,3.56,9.7,8.12,2.97,5.34,3.96,22.96,,12.27,2.77,4.16,8.31,6.14,7.52,5.74,6.14,5.15,4.16,,6.33,28.11,4.16,3.76,6.33,2.97,,4.55,33.06,5.74,7.13,8.12,3.17,3.37,4.55,8.265432,3.518519,10.092593,1.905,6.074074,86.38224
US_PA_42009,2020-01-04,ChIJpbAqD2W1y4kRCRX8IMHzyB0,Q494174,geoId/42009,US,United States of America,PA,Pennsylvania,42009,Bedford County,US,USA,2,,,,,,,48356,24079,24277,4892,5607,5124,4877,5926,7530,6766,4745,2889,417156,40.01,-78.49,2635,78.581818,,,,,,7.52,10.26,3.65,10.71,6.38,9.12,6.84,4.79,23.25,3.19,14.36,4.33,6.61,5.01,3.19,5.93,5.47,8.21,4.1,5.24,4.33,5.01,27.58,8.21,,7.52,6.84,3.88,6.84,45.13,,10.94,7.29,,3.42,,7.901235,3.685185,11.537037,3.90525,6.395062,90.445063
US_PA_42009,2020-01-05,ChIJpbAqD2W1y4kRCRX8IMHzyB0,Q494174,geoId/42009,US,United States of America,PA,Pennsylvania,42009,Bedford County,US,USA,2,,,,,,,48356,24079,24277,4892,5607,5124,4877,5926,7530,6766,4745,2889,417156,40.01,-78.49,2635,78.581818,,,,,,5.28,8.15,5.06,10.13,7.49,6.61,6.83,6.17,22.68,7.26,11.23,4.18,8.81,9.91,4.84,6.38,5.94,4.62,3.52,5.06,,5.5,30.16,5.72,,5.72,4.4,4.4,10.13,38.09,4.62,7.26,6.61,5.28,6.83,3.52,0.17284,-1.530864,5.17284,1.2065,-4.141975,74.027959
US_PA_42009,2020-01-06,ChIJpbAqD2W1y4kRCRX8IMHzyB0,Q494174,geoId/42009,US,United States of America,PA,Pennsylvania,42009,Bedford County,US,USA,2,,,,,,,48356,24079,24277,4892,5607,5124,4877,5926,7530,6766,4745,2889,417156,40.01,-78.49,2635,78.581818,,,,,,4.26,8.92,5.27,10.74,8.31,8.92,6.28,5.47,15.2,3.65,6.89,,4.66,11.55,5.27,4.46,3.24,3.24,3.44,5.47,3.24,7.7,28.57,5.88,3.24,7.5,4.26,6.49,6.69,41.34,3.65,7.7,5.07,3.85,6.08,3.24,2.648148,-1.709877,5.635802,0.028222,-4.283951,61.109089
US_PA_42009,2020-01-07,ChIJpbAqD2W1y4kRCRX8IMHzyB0,Q494174,geoId/42009,US,United States of America,PA,Pennsylvania,42009,Bedford County,US,USA,2,,,,,,,48356,24079,24277,4892,5607,5124,4877,5926,7530,6766,4745,2889,417156,40.01,-78.49,2635,78.581818,,,,,,5.3,6.32,3.67,9.59,6.93,6.12,5.1,3.06,19.38,4.28,7.75,,5.71,8.36,4.89,,6.93,4.69,5.3,4.49,3.67,8.16,30.39,5.71,3.26,6.93,4.28,4.08,3.26,44.87,5.51,7.34,6.53,4.89,4.49,5.1,-0.37037,-3.95679,4.135802,0.508,-5.259259,69.95958
US_PA_42009,2020-01-08,ChIJpbAqD2W1y4kRCRX8IMHzyB0,Q494174,geoId/42009,US,United States of America,PA,Pennsylvania,42009,Bedford County,US,USA,2,,,,,,,48356,24079,24277,4892,5607,5124,4877,5926,7530,6766,4745,2889,417156,40.01,-78.49,2635,78.581818,,,,,,5.52,6.89,6.11,9.85,7.68,5.91,4.33,3.55,20.68,,12.21,,5.71,9.85,5.12,7.49,4.73,6.3,,5.32,4.53,8.47,26.99,4.14,4.14,5.52,3.35,5.32,5.32,37.63,,6.3,6.7,4.14,5.32,5.12,-1.222222,-5.271605,1.691358,1.415143,-6.179012,69.258961
US_PA_42009,2020-01-09,ChIJpbAqD2W1y4kRCRX8IMHzyB0,Q494174,geoId/42009,US,United States of America,PA,Pennsylvania,42009,Bedford County,US,USA,2,,,,,,,48356,24079,24277,4892,5607,5124,4877,5926,7530,6766,4745,2889,417156,40.01,-78.49,2635,78.581818,,,,,,7.09,7.09,,7.5,7.91,4.46,6.08,4.26,15.0,3.85,10.13,3.65,3.04,7.09,4.46,,4.05,4.66,4.26,3.85,5.67,6.28,27.57,6.49,3.24,7.09,2.84,5.67,5.88,38.71,4.46,10.34,5.07,6.49,5.07,3.65,-4.290123,-9.950617,1.962963,0.028222,-10.987654,59.719974
US_PA_42009,2020-01-10,ChIJpbAqD2W1y4kRCRX8IMHzyB0,Q494174,geoId/42009,US,United States of America,PA,Pennsylvania,42009,Bedford County,US,USA,2,,,,,,,48356,24079,24277,4892,5607,5124,4877,5926,7530,6766,4745,2889,417156,40.01,-78.49,2635,78.581818,,,,,,7.66,7.45,4.23,10.88,8.06,6.85,3.63,3.83,17.93,6.65,7.66,2.82,8.06,8.86,5.44,5.04,,4.63,,4.43,4.03,6.25,25.38,4.43,4.43,6.45,4.23,5.44,7.66,33.85,3.22,8.66,4.83,5.04,3.63,3.63,4.493827,-2.549383,11.518519,0.0,-2.228395,61.860849
