location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MS_28083,2020-01-01,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,8.03,7.3,,6.93,,14.96,,,9.12,17.88,,5.47,11.68,32.12,,,5.705556,1.155556,12.25,0.0,,-0.277778,65.609309
US_MS_28083,2020-01-02,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,6.97,8.49,4.85,,6.06,15.76,11.82,,8.49,22.74,7.58,8.19,,34.86,5.76,6.06,10.994444,8.366667,14.894444,6.35,,7.977778,81.71442
US_MS_28083,2020-01-03,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,8.76,6.57,,,5.0,11.57,,,12.2,18.76,,5.63,7.19,27.83,5.94,,14.305556,12.116667,16.633333,51.011667,,13.511111,95.128059
US_MS_28083,2020-01-04,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,5.33,,6.4,,5.33,11.02,,,,19.55,,,,35.9,,,9.944444,4.788889,14.505556,2.467429,,4.927778,71.288006
US_MS_28083,2020-01-05,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,7.43,9.55,6.37,5.31,,13.8,6.72,5.66,6.72,20.53,,8.85,,34.33,7.08,,6.738889,0.283333,17.655556,0.0,,1.361111,69.094006
US_MS_28083,2020-01-06,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,8.32,8.91,6.24,,5.65,13.37,7.13,,12.48,23.77,4.75,7.73,4.16,28.23,5.35,4.16,10.244444,3.316667,18.322222,0.0,,6.45,77.760575
US_MS_28083,2020-01-07,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,6.97,7.57,6.06,,6.06,13.63,8.48,,11.51,18.78,,6.97,,33.02,6.36,,9.777778,3.761111,15.183333,0.0,,2.283333,60.135633
US_MS_28083,2020-01-08,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,7.85,10.04,6.59,5.65,,12.55,6.59,,6.28,28.25,5.96,6.59,6.91,35.47,12.24,5.02,6.966667,-0.138889,17.227778,0.0,,-0.916667,57.502341
US_MS_28083,2020-01-09,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,6.29,9.44,8.49,4.4,,11.95,8.18,,8.81,26.11,6.29,5.35,,38.06,8.81,5.98,10.888889,3.922222,19.061111,0.0,,3.216667,59.260401
US_MS_28083,2020-01-10,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,5.96,8.16,,6.9,,13.18,4.39,,7.84,20.4,,7.22,5.33,37.03,6.28,4.71,17.227778,15.5,19.866667,0.211667,,13.838889,80.579113
US_MS_28083,2020-01-11,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,7.25,5.52,7.59,,,5.17,,,,22.43,,8.28,,35.19,6.56,,17.844444,11.766667,22.461111,13.716,,16.122222,89.876368
US_MS_28083,2020-01-12,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,5.25,7.34,8.39,,,12.24,7.34,,6.29,19.23,,,,30.07,,5.25,6.527778,3.930556,11.784722,30.6324,,3.770833,82.758034
US_MS_28083,2020-01-13,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,4.12,5.81,5.57,,4.12,12.1,6.78,,4.36,17.19,3.63,4.12,5.08,27.6,5.08,,7.765432,3.333333,13.901235,0.0,,6.123457,89.477253
US_MS_28083,2020-01-14,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,4.04,7.79,6.63,5.48,,11.54,6.63,,6.63,23.07,4.33,6.92,,31.43,6.34,7.5,14.833333,12.522222,17.522222,7.62,,14.005556,94.876199
US_MS_28083,2020-01-15,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,6.29,10.0,7.43,,4.57,10.0,6.86,4.0,7.43,21.72,,5.71,4.57,29.14,,4.0,17.977778,14.927778,22.083333,50.969333,,16.805556,93.075792
US_MS_28083,2020-01-16,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,6.73,7.02,5.85,4.68,,10.82,8.78,,9.65,16.97,5.56,8.19,4.09,35.69,5.26,4.97,14.855556,9.511111,20.572222,1.227667,,12.433333,85.541368
US_MS_28083,2020-01-17,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,4.61,,7.98,,,7.98,7.98,,7.06,19.65,6.14,5.53,,31.0,,5.22,9.583333,6.822222,14.011111,4.995333,,2.044444,59.947361
US_MS_28083,2020-01-18,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,7.38,,,5.03,,9.72,,,5.36,22.46,,8.05,,27.83,6.71,6.37,15.272222,11.105556,18.861111,1.735667,,11.233333,77.178645
US_MS_28083,2020-01-19,ChIJV6E1LjVhKoYRcLQDlfgJk0o,Q497607,geoId/28083,US,United States of America,MS,Mississippi,28083,Leflore County,US,USA,2,,,,,,,29292,13686,15606,4492,4499,4457,3481,3140,3428,3087,1698,1010,1833635,33.55,-90.3,1570,72.6875,,,,6.41,7.42,5.74,,5.06,9.78,5.4,,,19.91,,7.42,7.08,32.39,5.74,,6.722222,1.338889,15.116667,4.9276,,-3.511111,48.321394
