location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TN_47053,2020-01-01,ChIJl5CPFi9OeYgRv9XPSRbVons,Q502442,geoId/47053,US,United States of America,TN,Tennessee,47053,Gibson County,US,USA,2,,,,,,,49255,23731,25524,6453,6646,5597,6136,6029,6656,5716,3764,2258,1847622,36.0,-88.93,1563,74.415385,,,,,4.76,8.62,4.76,7.48,11.56,8.16,8.62,4.76,25.85,,19.73,,5.44,8.16,4.99,5.21,5.67,6.12,3.17,6.35,5.21,7.94,31.74,7.03,3.85,9.52,3.17,5.67,6.8,49.88,5.44,8.39,4.76,4.08,5.67,3.17,4.339506,-1.277778,11.962963,0.0,-2.524691,61.117525
US_TN_47053,2020-01-02,ChIJl5CPFi9OeYgRv9XPSRbVons,Q502442,geoId/47053,US,United States of America,TN,Tennessee,47053,Gibson County,US,USA,2,,,,,,,49255,23731,25524,6453,6646,5597,6136,6029,6656,5716,3764,2258,1847622,36.0,-88.93,1563,74.415385,,,,,6.65,9.23,,10.3,11.16,6.87,6.87,5.37,20.6,,13.09,3.65,5.15,9.87,4.93,5.58,7.94,4.29,5.79,5.37,4.29,9.66,30.69,9.44,3.22,9.66,5.37,3.65,4.51,53.0,5.79,5.15,6.65,5.58,8.37,3.86,9.616667,7.144444,12.1,0.254,4.944444,72.925623
US_TN_47053,2020-01-03,ChIJl5CPFi9OeYgRv9XPSRbVons,Q502442,geoId/47053,US,United States of America,TN,Tennessee,47053,Gibson County,US,USA,2,,,,,,,49255,23731,25524,6453,6646,5597,6136,6029,6656,5716,3764,2258,1847622,36.0,-88.93,1563,74.415385,,,,,4.55,8.01,4.11,7.79,8.66,6.06,3.68,4.11,20.78,,15.15,,5.2,12.77,3.03,5.63,6.06,8.66,4.11,3.25,5.84,13.64,36.58,7.58,3.03,7.58,5.63,5.63,7.14,40.91,4.98,10.82,6.49,6.71,6.06,5.41,12.55,11.211111,14.261111,8.345714,12.3,98.388271
US_TN_47053,2020-01-04,ChIJl5CPFi9OeYgRv9XPSRbVons,Q502442,geoId/47053,US,United States of America,TN,Tennessee,47053,Gibson County,US,USA,2,,,,,,,49255,23731,25524,6453,6646,5597,6136,6029,6656,5716,3764,2258,1847622,36.0,-88.93,1563,74.415385,,,,,7.85,10.99,4.04,8.97,8.3,6.28,7.17,4.04,18.61,4.93,13.01,3.14,5.16,9.19,,7.17,,4.26,5.38,6.95,3.14,10.76,32.06,6.05,3.36,8.3,3.59,6.5,,54.93,,7.4,4.71,5.16,4.26,,6.117284,2.475309,11.987654,1.23825,3.074074,80.946105
US_TN_47053,2020-01-05,ChIJl5CPFi9OeYgRv9XPSRbVons,Q502442,geoId/47053,US,United States of America,TN,Tennessee,47053,Gibson County,US,USA,2,,,,,,,49255,23731,25524,6453,6646,5597,6136,6029,6656,5716,3764,2258,1847622,36.0,-88.93,1563,74.415385,,,,,5.7,8.66,4.1,12.31,12.31,6.38,6.61,6.84,18.23,4.1,15.27,3.19,4.1,8.66,4.56,6.38,6.38,3.87,6.15,6.61,,8.43,26.21,5.47,,9.8,5.24,5.01,6.38,47.17,3.42,5.47,4.79,6.84,7.07,3.87,4.567901,-1.067901,15.0,0.028222,0.234568,73.535861
US_TN_47053,2020-01-06,ChIJl5CPFi9OeYgRv9XPSRbVons,Q502442,geoId/47053,US,United States of America,TN,Tennessee,47053,Gibson County,US,USA,2,,,,,,,49255,23731,25524,6453,6646,5597,6136,6029,6656,5716,3764,2258,1847622,36.0,-88.93,1563,74.415385,,,,,5.48,8.33,,9.42,11.39,6.79,6.14,7.01,19.94,,12.49,5.7,4.6,11.61,4.82,7.23,6.14,5.48,4.82,5.92,3.94,9.64,28.93,8.11,4.82,11.61,4.38,5.26,5.48,43.39,6.14,7.23,3.29,3.94,5.48,3.73,6.733333,0.272222,12.338889,0.0,0.85,66.35386
US_TN_47053,2020-01-07,ChIJl5CPFi9OeYgRv9XPSRbVons,Q502442,geoId/47053,US,United States of America,TN,Tennessee,47053,Gibson County,US,USA,2,,,,,,,49255,23731,25524,6453,6646,5597,6136,6029,6656,5716,3764,2258,1847622,36.0,-88.93,1563,74.415385,,,,,4.99,9.1,4.77,11.27,8.45,8.89,6.94,3.47,17.34,5.2,9.75,6.29,4.77,13.22,4.55,5.85,5.2,6.5,,5.64,5.64,11.71,35.12,9.32,,9.1,5.64,7.37,6.07,46.6,6.07,6.72,6.5,9.97,6.29,3.04,6.955556,1.572222,11.661111,0.0,-0.894444,57.500146
US_TN_47053,2020-01-08,ChIJl5CPFi9OeYgRv9XPSRbVons,Q502442,geoId/47053,US,United States of America,TN,Tennessee,47053,Gibson County,US,USA,2,,,,,,,49255,23731,25524,6453,6646,5597,6136,6029,6656,5716,3764,2258,1847622,36.0,-88.93,1563,74.415385,,,,,7.17,9.49,,14.77,9.91,6.12,6.75,,18.77,5.06,9.07,,5.06,9.91,5.7,7.17,6.33,7.59,4.64,7.59,3.8,11.6,34.38,7.17,3.59,11.6,5.7,8.02,7.8,45.77,3.38,13.5,4.43,4.22,8.02,,6.511111,-0.25,14.85,0.0,-1.916667,55.141701
US_TN_47053,2020-01-09,ChIJl5CPFi9OeYgRv9XPSRbVons,Q502442,geoId/47053,US,United States of America,TN,Tennessee,47053,Gibson County,US,USA,2,,,,,,,49255,23731,25524,6453,6646,5597,6136,6029,6656,5716,3764,2258,1847622,36.0,-88.93,1563,74.415385,,,,,6.26,11.87,4.75,12.74,9.93,7.56,7.77,4.32,17.06,4.97,8.85,3.24,6.26,10.58,7.12,11.23,5.83,7.34,5.61,6.04,4.32,9.07,35.84,6.26,4.32,8.2,6.91,3.02,4.75,49.66,6.26,12.52,8.64,5.61,7.77,3.02,10.472222,5.816667,15.994444,0.0,0.927778,51.927649
US_TN_47053,2020-01-10,ChIJl5CPFi9OeYgRv9XPSRbVons,Q502442,geoId/47053,US,United States of America,TN,Tennessee,47053,Gibson County,US,USA,2,,,,,,,49255,23731,25524,6453,6646,5597,6136,6029,6656,5716,3764,2258,1847622,36.0,-88.93,1563,74.415385,,,,,6.78,9.32,6.14,17.59,8.48,7.84,5.09,3.6,17.8,,8.27,5.3,5.09,11.87,4.45,9.32,5.72,4.87,5.09,4.87,3.18,10.38,33.27,8.9,4.03,8.69,7.42,5.72,5.3,47.04,5.3,11.65,6.78,6.78,6.57,3.18,15.827778,13.955556,18.1,0.09525,11.194444,74.225629
