location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VT_50001,2020-01-01,ChIJ-T2u2vY94IkRt_IIexErCPA,Q353108,geoId/50001,US,United States of America,VT,Vermont,50001,Addison County,US,USA,2,,,,,,,36900,18419,18481,3240,4825,5208,3861,4317,5504,5455,2938,1552,62007,44.032776,-73.167923,807,82.04,,,,,3.51,5.85,7.73,9.6,6.09,5.85,4.92,3.98,,3.98,,19.9,5.38,11.47,4.21,3.75,5.38,6.32,4.21,4.21,4.45,,4.68,4.45,6.32,23.41,9.83,4.21,4.92,,,3.51,6.32,29.26,4.92,6.32,6.55,,4.21,3.75,,-0.180556,-2.090278,1.680556,1.23825,50.8,-3.319444,79.510719
US_VT_50001,2020-01-02,ChIJ-T2u2vY94IkRt_IIexErCPA,Q353108,geoId/50001,US,United States of America,VT,Vermont,50001,Addison County,US,USA,2,,,,,,,36900,18419,18481,3240,4825,5208,3861,4317,5504,5455,2938,1552,62007,44.032776,-73.167923,807,82.04,,,,,3.65,5.15,6.44,12.45,5.8,7.08,4.08,6.66,3.22,4.08,3.01,8.37,,6.87,,6.44,6.66,4.08,4.51,5.15,5.37,3.65,3.87,3.65,5.37,22.97,7.51,,5.37,3.01,4.08,3.65,3.87,40.79,3.01,4.51,5.58,4.51,,3.44,3.65,0.105556,-3.583333,3.538889,0.2032,30.48,-4.527778,71.151873
US_VT_50001,2020-01-03,ChIJ-T2u2vY94IkRt_IIexErCPA,Q353108,geoId/50001,US,United States of America,VT,Vermont,50001,Addison County,US,USA,2,,,,,,,36900,18419,18481,3240,4825,5208,3861,4317,5504,5455,2938,1552,62007,44.032776,-73.167923,807,82.04,,,,,2.97,7.0,6.79,9.97,7.0,5.3,3.61,6.37,3.82,4.46,3.61,13.79,3.4,7.0,,4.24,4.03,4.03,3.4,3.18,,3.61,3.61,3.4,5.3,27.59,5.94,3.4,7.85,3.18,3.4,6.58,4.24,35.01,,6.58,4.88,3.82,,,,3.483333,-2.811111,5.85,0.0,30.48,-1.022222,72.806649
US_VT_50001,2020-01-04,ChIJ-T2u2vY94IkRt_IIexErCPA,Q353108,geoId/50001,US,United States of America,VT,Vermont,50001,Addison County,US,USA,2,,,,,,,36900,18419,18481,3240,4825,5208,3861,4317,5504,5455,2938,1552,62007,44.032776,-73.167923,807,82.04,,,,,,6.94,6.27,11.64,6.94,4.7,3.81,6.04,,4.25,4.48,12.09,4.48,8.28,,,8.73,4.92,3.58,3.81,4.25,3.13,5.15,3.81,6.49,19.25,7.16,,6.04,,,3.13,3.13,36.26,3.36,4.48,4.92,,3.58,3.58,,1.75,-1.011111,5.583333,0.564444,78.74,0.161111,89.312447
US_VT_50001,2020-01-05,ChIJ-T2u2vY94IkRt_IIexErCPA,Q353108,geoId/50001,US,United States of America,VT,Vermont,50001,Addison County,US,USA,2,,,,,,,36900,18419,18481,3240,4825,5208,3861,4317,5504,5455,2938,1552,62007,44.032776,-73.167923,807,82.04,,,,,5.92,10.15,7.82,6.98,7.61,3.59,4.86,4.65,4.23,5.29,,13.53,4.65,9.3,3.38,6.34,4.23,5.5,3.59,,5.29,3.17,4.23,3.17,5.5,18.61,6.13,3.59,5.29,3.59,4.44,4.86,4.86,34.04,,5.92,8.67,3.17,5.29,3.38,3.17,-2.627778,-6.327778,2.672222,5.23875,78.74,-5.4,81.457614
US_VT_50001,2020-01-06,ChIJ-T2u2vY94IkRt_IIexErCPA,Q353108,geoId/50001,US,United States of America,VT,Vermont,50001,Addison County,US,USA,2,,,,,,,36900,18419,18481,3240,4825,5208,3861,4317,5504,5455,2938,1552,62007,44.032776,-73.167923,807,82.04,,,,,3.42,8.36,4.75,9.69,8.55,5.89,4.94,3.61,3.8,3.42,,13.29,,5.89,2.66,6.08,6.65,5.7,5.13,3.8,3.23,5.32,4.75,2.85,4.75,19.75,7.03,3.99,5.13,2.66,,4.94,5.32,36.46,3.23,3.04,5.13,,3.61,3.99,3.04,-6.705556,-12.222222,0.044444,0.0635,78.74,-8.855556,84.731507
US_VT_50001,2020-01-07,ChIJ-T2u2vY94IkRt_IIexErCPA,Q353108,geoId/50001,US,United States of America,VT,Vermont,50001,Addison County,US,USA,2,,,,,,,36900,18419,18481,3240,4825,5208,3861,4317,5504,5455,2938,1552,62007,44.032776,-73.167923,807,82.04,,,,,5.7,7.54,7.91,8.09,9.01,3.68,5.51,5.7,4.96,3.86,,14.71,3.12,8.27,,2.94,8.46,4.23,6.8,3.31,4.41,3.86,5.7,2.76,5.88,23.71,4.6,4.23,5.51,4.23,4.96,2.57,6.8,36.03,,3.49,6.99,,4.04,3.31,3.31,-1.983333,-7.255556,0.144444,1.2065,78.74,-6.066667,73.844393
US_VT_50001,2020-01-08,ChIJ-T2u2vY94IkRt_IIexErCPA,Q353108,geoId/50001,US,United States of America,VT,Vermont,50001,Addison County,US,USA,2,,,,,,,36900,18419,18481,3240,4825,5208,3861,4317,5504,5455,2938,1552,62007,44.032776,-73.167923,807,82.04,,,,,3.52,6.3,6.86,10.75,8.16,5.19,4.08,5.56,,2.78,,12.79,2.6,6.49,,4.26,6.12,4.08,3.71,,3.89,4.08,3.15,,8.16,22.98,6.3,4.82,5.0,2.6,4.82,5.56,4.82,29.47,3.34,6.67,7.79,,,3.71,2.97,-2.022222,-4.983333,0.866667,0.4445,99.06,-5.388889,77.888166
US_VT_50001,2020-01-09,ChIJ-T2u2vY94IkRt_IIexErCPA,Q353108,geoId/50001,US,United States of America,VT,Vermont,50001,Addison County,US,USA,2,,,,,,,36900,18419,18481,3240,4825,5208,3861,4317,5504,5455,2938,1552,62007,44.032776,-73.167923,807,82.04,,,,,3.56,7.48,4.68,7.86,9.36,3.56,5.24,5.99,,3.37,3.56,16.28,,5.99,,5.43,6.55,4.68,3.74,3.18,4.49,3.56,2.62,3.37,7.48,23.95,2.99,5.8,5.99,,3.93,2.81,5.24,33.68,2.99,7.48,4.49,,3.18,6.55,,-10.872222,-16.272222,-0.477778,0.79375,78.74,-16.711111,62.432641
US_VT_50001,2020-01-10,ChIJ-T2u2vY94IkRt_IIexErCPA,Q353108,geoId/50001,US,United States of America,VT,Vermont,50001,Addison County,US,USA,2,,,,,,,36900,18419,18481,3240,4825,5208,3861,4317,5504,5455,2938,1552,62007,44.032776,-73.167923,807,82.04,,,,,5.58,9.04,5.77,8.27,7.69,4.23,5.58,4.42,3.65,3.27,3.85,9.62,,5.0,,6.35,5.96,2.69,5.0,4.42,3.85,5.39,4.62,3.85,6.73,21.93,5.96,,5.39,,4.62,4.23,4.42,28.66,,7.69,4.04,,3.46,2.69,3.65,-2.811111,-13.772222,3.322222,0.0,78.74,-8.816667,63.758313
