location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_PA_42117,2020-01-01,ChIJd85TSUDTz4kRJSzXCjbvjiA,Q495613,geoId/42117,US,United States of America,PA,Pennsylvania,42117,Tioga County,US,USA,2,,,,,,,40671,20209,20462,4365,4801,4808,4371,4538,5970,5723,3938,2157,416680,41.77,-77.25,2946,78.57,,,,,,8.43,4.52,13.55,10.84,5.72,5.42,,17.16,,10.24,4.52,10.54,5.12,4.82,5.72,5.72,,5.12,,29.21,6.02,11.44,,6.32,7.23,41.55,4.82,7.83,6.62,,,-1.116667,-2.794444,3.25,0.635,,-5.438272,73.061986
US_PA_42117,2020-01-02,ChIJd85TSUDTz4kRJSzXCjbvjiA,Q495613,geoId/42117,US,United States of America,PA,Pennsylvania,42117,Tioga County,US,USA,2,,,,,,,40671,20209,20462,4365,4801,4808,4371,4538,5970,5723,3938,2157,416680,41.77,-77.25,2946,78.57,,,,,5.91,8.32,8.86,9.4,10.2,7.79,9.94,4.3,16.65,,10.2,,9.4,5.37,8.06,4.83,4.3,,,12.89,31.42,6.71,6.71,,5.37,8.86,42.7,,6.71,5.64,5.64,7.25,0.283333,-5.833333,7.211111,0.1016,,-5.117284,66.632264
US_PA_42117,2020-01-03,ChIJd85TSUDTz4kRJSzXCjbvjiA,Q495613,geoId/42117,US,United States of America,PA,Pennsylvania,42117,Tioga County,US,USA,2,,,,,,,40671,20209,20462,4365,4801,4808,4371,4538,5970,5723,3938,2157,416680,41.77,-77.25,2946,78.57,,,,,4.75,7.12,7.12,12.66,9.76,8.17,5.54,5.8,18.2,,12.13,,8.44,4.75,6.59,5.54,4.22,3.69,,8.17,38.23,7.38,9.49,,4.75,5.27,37.97,4.22,12.39,5.8,,6.33,5.127778,-0.116667,7.661111,0.22225,,2.277778,81.390468
US_PA_42117,2020-01-04,ChIJd85TSUDTz4kRJSzXCjbvjiA,Q495613,geoId/42117,US,United States of America,PA,Pennsylvania,42117,Tioga County,US,USA,2,,,,,,,40671,20209,20462,4365,4801,4808,4371,4538,5970,5723,3938,2157,416680,41.77,-77.25,2946,78.57,,,,,5.69,8.09,6.29,15.28,6.89,,5.69,4.79,22.76,6.59,13.48,6.29,8.99,5.99,5.69,5.09,7.49,,6.29,8.69,30.85,6.29,9.29,4.79,5.39,5.99,46.13,7.19,10.48,5.39,,5.99,3.894444,0.622222,8.0,4.628444,,3.055556,93.773655
US_PA_42117,2020-01-05,ChIJd85TSUDTz4kRJSzXCjbvjiA,Q495613,geoId/42117,US,United States of America,PA,Pennsylvania,42117,Tioga County,US,USA,2,,,,,,,40671,20209,20462,4365,4801,4808,4371,4538,5970,5723,3938,2157,416680,41.77,-77.25,2946,78.57,,,,,11.74,7.83,6.92,11.14,9.63,,6.32,4.21,18.36,,13.85,,9.33,,,,6.62,,4.21,9.03,31.91,11.74,9.33,4.21,4.52,9.33,38.54,5.72,9.03,,,7.53,-0.283333,-1.483333,4.172222,4.73075,,-4.481481,73.596575
US_PA_42117,2020-01-06,ChIJd85TSUDTz4kRJSzXCjbvjiA,Q495613,geoId/42117,US,United States of America,PA,Pennsylvania,42117,Tioga County,US,USA,2,,,,,,,40671,20209,20462,4365,4801,4808,4371,4538,5970,5723,3938,2157,416680,41.77,-77.25,2946,78.57,,,,,8.02,7.51,4.92,13.98,6.21,4.4,8.54,,17.6,4.92,10.87,4.66,12.68,,5.18,5.7,3.88,,,9.32,35.2,4.4,11.39,6.73,5.18,6.73,48.15,4.66,8.02,7.76,,5.95,0.483333,-2.455556,3.822222,1.27,,-4.12963,70.902812
US_PA_42117,2020-01-07,ChIJd85TSUDTz4kRJSzXCjbvjiA,Q495613,geoId/42117,US,United States of America,PA,Pennsylvania,42117,Tioga County,US,USA,2,,,,,,,40671,20209,20462,4365,4801,4808,4371,4538,5970,5723,3938,2157,416680,41.77,-77.25,2946,78.57,,,,,5.74,6.79,6.0,10.18,8.88,7.05,7.31,7.31,18.27,5.74,10.96,5.22,13.31,4.7,4.44,7.83,5.48,4.96,,7.05,31.58,7.31,8.09,6.26,,8.35,42.28,7.31,9.92,5.74,4.7,,-0.705556,-4.955556,3.411111,0.762,30.48,-5.203704,70.312505
US_PA_42117,2020-01-08,ChIJd85TSUDTz4kRJSzXCjbvjiA,Q495613,geoId/42117,US,United States of America,PA,Pennsylvania,42117,Tioga County,US,USA,2,,,,,,,40671,20209,20462,4365,4801,4808,4371,4538,5970,5723,3938,2157,416680,41.77,-77.25,2946,78.57,,,,,4.74,5.0,5.27,11.32,7.64,4.48,3.95,,16.32,3.69,11.32,6.32,14.74,4.74,5.53,5.27,3.95,5.53,3.69,11.59,27.91,5.53,7.11,,5.79,5.79,42.13,4.21,9.74,4.48,6.85,3.95,-2.75,-7.183333,0.877778,0.92075,30.48,-6.32716,76.522242
US_PA_42117,2020-01-09,ChIJd85TSUDTz4kRJSzXCjbvjiA,Q495613,geoId/42117,US,United States of America,PA,Pennsylvania,42117,Tioga County,US,USA,2,,,,,,,40671,20209,20462,4365,4801,4808,4371,4538,5970,5723,3938,2157,416680,41.77,-77.25,2946,78.57,,,,,6.19,4.85,4.58,12.66,10.77,6.46,10.5,7.81,19.12,5.66,11.58,5.12,10.23,3.77,7.27,5.92,5.92,6.19,4.31,7.54,32.86,8.62,7.27,7.0,6.73,8.89,42.82,6.19,10.23,7.27,7.27,,-6.888889,-12.055556,-0.927778,0.790222,78.74,-12.839506,61.839086
US_PA_42117,2020-01-10,ChIJd85TSUDTz4kRJSzXCjbvjiA,Q495613,geoId/42117,US,United States of America,PA,Pennsylvania,42117,Tioga County,US,USA,2,,,,,,,40671,20209,20462,4365,4801,4808,4371,4538,5970,5723,3938,2157,416680,41.77,-77.25,2946,78.57,,,,,5.62,6.64,6.13,10.47,9.7,6.38,8.94,,10.21,6.89,9.96,4.85,10.21,5.36,4.34,6.89,5.62,,6.13,9.19,28.34,4.85,6.89,6.89,4.6,7.15,45.19,,10.21,,5.87,4.6,0.6,-7.427778,5.711111,0.6985,50.8,-4.271605,69.435123
US_PA_42117,2020-01-11,ChIJd85TSUDTz4kRJSzXCjbvjiA,Q495613,geoId/42117,US,United States of America,PA,Pennsylvania,42117,Tioga County,US,USA,2,,,,,,,40671,20209,20462,4365,4801,4808,4371,4538,5970,5723,3938,2157,416680,41.77,-77.25,2946,78.57,,,,,5.83,6.14,7.98,14.12,4.3,6.14,8.6,,16.89,,9.83,,8.9,6.75,7.68,,8.6,6.14,,7.98,17.2,4.91,7.98,,5.22,8.6,53.12,4.3,11.36,8.6,5.83,,9.961111,0.311111,16.988889,1.30175,30.48,7.308642,83.539743
US_PA_42117,2020-01-12,ChIJd85TSUDTz4kRJSzXCjbvjiA,Q495613,geoId/42117,US,United States of America,PA,Pennsylvania,42117,Tioga County,US,USA,2,,,,,,,40671,20209,20462,4365,4801,4808,4371,4538,5970,5723,3938,2157,416680,41.77,-77.25,2946,78.57,,,,,6.8,8.87,5.91,9.46,6.8,5.32,6.8,,13.3,5.02,10.05,5.62,5.62,4.43,8.87,4.43,5.91,,8.57,7.39,27.78,10.05,9.16,,7.39,6.5,47.87,4.14,6.21,6.21,,,10.138889,-0.255556,17.688889,4.797778,,5.450617,74.10194
US_PA_42117,2020-01-13,ChIJd85TSUDTz4kRJSzXCjbvjiA,Q495613,geoId/42117,US,United States of America,PA,Pennsylvania,42117,Tioga County,US,USA,2,,,,,,,40671,20209,20462,4365,4801,4808,4371,4538,5970,5723,3938,2157,416680,41.77,-77.25,2946,78.57,,,,,7.18,6.93,3.59,9.23,10.52,4.62,5.39,6.16,15.13,,8.98,5.64,11.8,6.16,7.44,6.93,6.93,4.36,6.16,10.0,34.12,7.18,7.7,6.41,5.9,6.41,42.58,6.67,7.18,5.9,5.64,,1.75,-1.927778,8.911111,1.7526,,-1.209877,80.327035
US_PA_42117,2020-01-14,ChIJd85TSUDTz4kRJSzXCjbvjiA,Q495613,geoId/42117,US,United States of America,PA,Pennsylvania,42117,Tioga County,US,USA,2,,,,,,,40671,20209,20462,4365,4801,4808,4371,4538,5970,5723,3938,2157,416680,41.77,-77.25,2946,78.57,,,,,6.21,5.22,4.72,8.2,11.93,3.48,6.21,5.72,18.15,6.46,12.18,8.7,7.71,5.97,7.46,6.96,4.23,,5.22,13.18,29.09,6.21,6.21,5.72,,6.71,42.51,3.98,7.71,5.47,5.22,5.97,2.338889,-2.416667,7.277778,0.0,,0.080247,85.444943
