location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26089,2020-01-01,ChIJwQVFc8IyS00R-SPbq47jjxY,Q502722,geoId/26089,US,United States of America,MI,Michigan,26089,Leelanau County,US,USA,2,,,,,,,21645,10663,10982,1836,2099,1914,1913,1996,3179,4349,2764,1595,1586056,45.13,-86.03,6559,82.68,,,,8.7,10.45,,,,10.1,6.27,9.4,,,,16.36,5.92,5.22,,28.2,,,-2.17284,-5.203704,1.753086,0.036286,99.06,-5.564815,75.327197
US_MI_26089,2020-01-02,ChIJwQVFc8IyS00R-SPbq47jjxY,Q502722,geoId/26089,US,United States of America,MI,Michigan,26089,Leelanau County,US,USA,2,,,,,,,21645,10663,10982,1836,2099,1914,1913,1996,3179,4349,2764,1595,1586056,45.13,-86.03,6559,82.68,,,,8.08,10.64,8.08,6.61,,14.68,6.97,7.71,,5.87,,12.85,6.97,,,37.08,7.34,6.97,3.345679,0.617284,5.333333,0.0,30.48,-0.388889,75.408038
US_MI_26089,2020-01-03,ChIJwQVFc8IyS00R-SPbq47jjxY,Q502722,geoId/26089,US,United States of America,MI,Michigan,26089,Leelanau County,US,USA,2,,,,,,,21645,10663,10982,1836,2099,1914,1913,1996,3179,4349,2764,1595,1586056,45.13,-86.03,6559,82.68,,,,5.45,11.62,,,9.8,19.24,8.35,,,,,29.04,,6.17,,35.57,,,1.808642,-0.271605,4.703704,0.0,,-1.453704,77.209374
US_MI_26089,2020-01-04,ChIJwQVFc8IyS00R-SPbq47jjxY,Q502722,geoId/26089,US,United States of America,MI,Michigan,26089,Leelanau County,US,USA,2,,,,,,,21645,10663,10982,1836,2099,1914,1913,1996,3179,4349,2764,1595,1586056,45.13,-86.03,6559,82.68,,,,5.99,7.11,5.99,,8.61,14.22,10.1,,5.99,,,21.7,,,,32.55,5.99,,-1.049383,-1.820988,0.845679,0.0,,-3.805556,80.173744
US_MI_26089,2020-01-05,ChIJwQVFc8IyS00R-SPbq47jjxY,Q502722,geoId/26089,US,United States of America,MI,Michigan,26089,Leelanau County,US,USA,2,,,,,,,21645,10663,10982,1836,2099,1914,1913,1996,3179,4349,2764,1595,1586056,45.13,-86.03,6559,82.68,,,,5.64,10.16,12.42,6.4,,18.44,7.15,,,6.4,,19.95,,,5.64,31.61,9.03,,-0.438272,-1.648148,0.728395,0.0,78.74,-3.462963,79.266566
US_MI_26089,2020-01-06,ChIJwQVFc8IyS00R-SPbq47jjxY,Q502722,geoId/26089,US,United States of America,MI,Michigan,26089,Leelanau County,US,USA,2,,,,,,,21645,10663,10982,1836,2099,1914,1913,1996,3179,4349,2764,1595,1586056,45.13,-86.03,6559,82.68,,,,,7.86,9.73,7.11,,22.82,8.6,,,,8.6,22.82,,5.61,7.48,31.8,,,-0.469136,-1.802469,0.697531,0.762,78.74,-5.166667,69.71729
US_MI_26089,2020-01-07,ChIJwQVFc8IyS00R-SPbq47jjxY,Q502722,geoId/26089,US,United States of America,MI,Michigan,26089,Leelanau County,US,USA,2,,,,,,,21645,10663,10982,1836,2099,1914,1913,1996,3179,4349,2764,1595,1586056,45.13,-86.03,6559,82.68,,,,6.27,5.53,11.06,5.53,5.53,16.23,,8.11,,,9.59,22.86,,,,33.56,,,0.740741,-2.259259,2.364198,0.0,50.8,-4.111111,70.001024
US_MI_26089,2020-01-08,ChIJwQVFc8IyS00R-SPbq47jjxY,Q502722,geoId/26089,US,United States of America,MI,Michigan,26089,Leelanau County,US,USA,2,,,,,,,21645,10663,10982,1836,2099,1914,1913,1996,3179,4349,2764,1595,1586056,45.13,-86.03,6559,82.68,,,,,9.89,,,,10.62,,7.32,,,6.59,22.7,,,6.96,32.23,,6.59,-6.87037,-9.333333,-0.722222,0.0,50.8,-12.601852,60.97675
US_MI_26089,2020-01-09,ChIJwQVFc8IyS00R-SPbq47jjxY,Q502722,geoId/26089,US,United States of America,MI,Michigan,26089,Leelanau County,US,USA,2,,,,,,,21645,10663,10982,1836,2099,1914,1913,1996,3179,4349,2764,1595,1586056,45.13,-86.03,6559,82.68,,,,5.85,7.68,7.68,7.68,6.58,10.6,9.87,,8.04,,6.58,22.66,,8.77,5.85,31.07,5.48,,-5.092593,-9.117284,1.895062,0.0,50.8,-10.666667,65.569142
US_MI_26089,2020-01-10,ChIJwQVFc8IyS00R-SPbq47jjxY,Q502722,geoId/26089,US,United States of America,MI,Michigan,26089,Leelanau County,US,USA,2,,,,,,,21645,10663,10982,1836,2099,1914,1913,1996,3179,4349,2764,1595,1586056,45.13,-86.03,6559,82.68,,,,,10.46,6.35,,,11.59,7.47,7.47,,,6.73,18.69,,,,31.39,,,3.62963,-0.320988,6.759259,0.1905,,1.407407,82.652039
