location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_CA_06021,2020-01-01,ChIJjzDEVhZXgoAR7htH6c13W8w,Q271601,geoId/06021,US,United States of America,CA,California,06021,Glenn County,US,USA,2,,,,,,,27926,14175,13751,4125,4086,3671,3401,3023,3538,3149,1869,1064,396493,39.59,-122.39,3437,80.95,,,,,,,,12.7,10.07,10.07,,,18.39,11.38,13.57,7.0,,7.0,,30.65,,7.0,9.19,42.91,8.76,7.0,9.994444,4.783333,16.055556,0.0,6.364198,78.414711
US_CA_06021,2020-01-02,ChIJjzDEVhZXgoAR7htH6c13W8w,Q271601,geoId/06021,US,United States of America,CA,California,06021,Glenn County,US,USA,2,,,,,,,27926,14175,13751,4125,4086,3671,3401,3023,3538,3149,1869,1064,396493,39.59,-122.39,3437,80.95,,,,,,,5.72,7.76,10.21,8.99,,8.17,22.06,6.54,9.81,,,,7.35,20.02,,6.95,,41.67,6.13,5.72,7.977778,2.466667,17.233333,0.0,4.481481,79.013569
US_CA_06021,2020-01-03,ChIJjzDEVhZXgoAR7htH6c13W8w,Q271601,geoId/06021,US,United States of America,CA,California,06021,Glenn County,US,USA,2,,,,,,,27926,14175,13751,4125,4086,3671,3401,3023,3538,3149,1869,1064,396493,39.59,-122.39,3437,80.95,,,,,,,6.87,6.87,9.7,9.7,,9.3,19.41,12.94,13.75,,,,9.3,25.87,7.28,8.89,,44.47,9.3,6.47,8.766667,2.694444,16.85,0.0,4.12963,73.073675
US_CA_06021,2020-01-04,ChIJjzDEVhZXgoAR7htH6c13W8w,Q271601,geoId/06021,US,United States of America,CA,California,06021,Glenn County,US,USA,2,,,,,,,27926,14175,13751,4125,4086,3671,3401,3023,3538,3149,1869,1064,396493,39.59,-122.39,3437,80.95,,,,,,,,6.49,13.42,8.66,6.49,6.49,20.77,19.91,6.92,,9.09,7.36,,34.19,7.79,8.22,,52.37,6.92,10.82,9.327778,3.122222,14.588889,0.762,6.746914,83.034092
US_CA_06021,2020-01-05,ChIJjzDEVhZXgoAR7htH6c13W8w,Q271601,geoId/06021,US,United States of America,CA,California,06021,Glenn County,US,USA,2,,,,,,,27926,14175,13751,4125,4086,3671,3401,3023,3538,3149,1869,1064,396493,39.59,-122.39,3437,80.95,,,,,,,5.84,10.01,10.01,,8.34,5.84,11.26,7.09,6.67,,7.09,,5.84,22.51,7.5,7.09,7.5,43.36,7.92,9.17,7.733333,2.722222,13.883333,1.0668,5.271605,84.664118
US_CA_06021,2020-01-06,ChIJjzDEVhZXgoAR7htH6c13W8w,Q271601,geoId/06021,US,United States of America,CA,California,06021,Glenn County,US,USA,2,,,,,,,27926,14175,13751,4125,4086,3671,3401,3023,3538,3149,1869,1064,396493,39.59,-122.39,3437,80.95,,,,,,,7.98,8.34,7.25,,6.17,5.8,14.87,9.43,7.25,,,,6.89,22.85,13.42,9.43,5.8,43.16,9.07,8.34,6.683333,1.566667,14.111111,0.0,2.493827,75.006519
US_CA_06021,2020-01-07,ChIJjzDEVhZXgoAR7htH6c13W8w,Q271601,geoId/06021,US,United States of America,CA,California,06021,Glenn County,US,USA,2,,,,,,,27926,14175,13751,4125,4086,3671,3401,3023,3538,3149,1869,1064,396493,39.59,-122.39,3437,80.95,,,,,,,6.3,10.74,5.56,11.11,5.56,6.67,17.41,9.63,8.15,,,5.56,9.63,20.37,7.04,11.11,8.15,38.16,10.74,5.56,5.127778,-0.244444,13.188889,0.0,2.450617,83.742875
US_CA_06021,2020-01-08,ChIJjzDEVhZXgoAR7htH6c13W8w,Q271601,geoId/06021,US,United States of America,CA,California,06021,Glenn County,US,USA,2,,,,,,,27926,14175,13751,4125,4086,3671,3401,3023,3538,3149,1869,1064,396493,39.59,-122.39,3437,80.95,,,,,,,8.38,7.29,9.48,5.1,6.2,6.56,9.48,8.75,8.02,6.56,,5.1,7.66,32.81,7.29,,10.21,37.19,13.85,5.83,7.183333,1.027778,10.894444,0.508,6.092593,91.806806
US_CA_06021,2020-01-09,ChIJjzDEVhZXgoAR7htH6c13W8w,Q271601,geoId/06021,US,United States of America,CA,California,06021,Glenn County,US,USA,2,,,,,,,27926,14175,13751,4125,4086,3671,3401,3023,3538,3149,1869,1064,396493,39.59,-122.39,3437,80.95,,,,,,,,10.03,14.32,8.24,5.37,7.16,20.05,9.67,10.03,,8.59,,8.59,27.57,6.09,7.88,9.31,41.9,15.04,,8.333333,5.605556,12.594444,1.890889,6.092593,83.93893
US_CA_06021,2020-01-10,ChIJjzDEVhZXgoAR7htH6c13W8w,Q271601,geoId/06021,US,United States of America,CA,California,06021,Glenn County,US,USA,2,,,,,,,27926,14175,13751,4125,4086,3671,3401,3023,3538,3149,1869,1064,396493,39.59,-122.39,3437,80.95,,,,,,,5.91,8.49,8.49,6.65,8.12,5.54,15.51,8.49,11.45,,5.91,,9.97,22.52,9.23,5.54,6.28,39.14,7.38,7.75,5.861111,0.594444,12.7,4.8768,2.12963,77.257503
