location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_PA_42035,2020-01-11,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,6.18,6.18,4.49,12.08,8.14,5.05,7.86,5.34,14.04,,7.02,,7.86,6.18,8.71,7.86,,,5.05,,4.49,25.28,,5.05,,5.62,6.74,44.37,4.49,8.43,5.34,4.49,,9.572222,-0.766667,17.372222,2.765778,30.48,6.866667,83.426131
US_PA_42035,2020-01-12,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,6.99,11.18,5.87,7.27,12.3,8.39,6.43,5.87,15.65,5.87,12.02,4.75,3.91,10.34,,5.03,5.31,,6.43,,6.99,27.67,7.27,6.71,3.91,,5.31,50.31,,5.87,6.99,3.91,6.43,10.783333,1.372222,18.116667,5.334,,5.983333,72.52852
US_PA_42035,2020-01-13,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,7.01,9.02,,7.51,10.27,4.51,4.51,,17.28,3.76,11.52,5.26,4.76,11.27,4.51,7.76,4.01,5.26,4.01,4.51,5.51,27.05,6.26,7.26,5.76,7.01,9.77,46.58,5.01,9.02,,5.01,6.76,2.633333,-1.227778,10.861111,1.4224,,-0.566667,79.548369
US_PA_42035,2020-01-14,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,4.07,9.4,3.56,9.65,5.59,6.1,8.64,4.83,16.77,,11.69,4.32,6.1,10.93,4.83,5.84,6.1,5.08,,7.88,7.88,29.98,6.86,7.37,5.08,7.88,6.86,47.01,5.34,7.37,5.59,4.83,6.61,2.138889,-1.933333,7.427778,0.0,,0.466667,88.811411
US_PA_42035,2020-01-15,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,6.32,7.59,,10.12,10.12,6.83,5.31,4.3,15.68,5.31,11.13,,7.08,11.38,,8.09,5.31,3.79,,5.56,7.59,30.1,,8.85,3.79,5.56,7.84,35.41,6.32,10.37,8.35,4.81,5.82,4.261111,-1.555556,8.716667,0.1016,,0.016667,74.068294
US_PA_42035,2020-01-16,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,7.74,11.73,5.49,10.48,9.99,10.48,6.74,7.49,13.98,,9.49,5.24,6.74,7.99,5.49,4.74,4.74,4.24,3.75,,5.49,32.45,8.74,8.49,,3.5,4.49,43.69,5.74,7.49,,3.75,4.74,3.1,-1.838889,8.866667,2.2225,,-1.555556,72.032548
US_PA_42035,2020-01-17,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,,8.12,7.62,9.9,9.9,3.55,4.32,,15.74,3.81,7.11,3.81,3.81,9.65,5.59,4.06,4.57,4.06,,3.55,4.57,29.45,5.08,9.9,6.6,7.62,5.59,40.88,5.33,9.39,5.08,4.32,4.06,-5.466667,-8.322222,-0.183333,0.98425,,-12.616667,57.742729
US_PA_42035,2020-01-18,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,4.64,8.19,,10.1,4.37,6.28,6.0,7.91,18.28,,13.37,5.18,4.09,7.64,10.91,4.64,,,4.09,4.91,5.18,33.29,5.46,9.82,,,,41.47,4.91,5.73,3.82,4.09,5.18,-5.988889,-8.938889,-0.1,0.0,,-9.977778,73.533018
US_PA_42035,2020-01-19,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,6.4,8.54,6.14,10.14,9.87,5.07,6.67,,9.61,5.34,6.67,,6.4,6.67,5.34,5.07,6.14,5.87,,5.6,4.27,26.68,5.07,7.74,,4.27,5.07,50.17,4.8,5.87,7.21,3.74,6.14,-1.9,-8.644444,3.233333,7.62,,-5.855556,74.490201
US_PA_42035,2020-01-20,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,5.04,10.6,4.79,8.83,6.05,8.07,6.56,6.31,24.22,4.04,10.34,5.55,6.56,7.06,5.04,,3.53,6.05,5.8,4.79,9.08,31.03,5.8,8.07,4.79,3.78,4.29,40.61,6.56,6.56,9.33,,5.8,-7.594444,-11.011111,0.333333,0.22225,50.8,-14.033333,60.517962
