location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47143,2020-01-01,ChIJyZfUod-oYIgRHsTJuzR2pBo,Q502377,geoId/47143,US,United States of America,TN,Tennessee,47143,Rhea County,US,USA,2,,,,,,,32671,16150,16521,3881,4456,4048,3639,4026,4489,4178,2682,1272,1848197,35.61,-84.92,871,74.783333,,,,,7.77,7.09,11.15,8.11,6.08,5.41,17.57,14.53,5.74,12.16,,8.11,7.43,,4.73,7.43,20.95,5.07,11.15,7.43,6.08,46.62,6.08,11.49,6.08,7.09,,4.185185,-1.574074,10.438272,0.0,,-3.479167,56.670013
US_TN_47143,2020-01-02,ChIJyZfUod-oYIgRHsTJuzR2pBo,Q502377,geoId/47143,US,United States of America,TN,Tennessee,47143,Rhea County,US,USA,2,,,,,,,32671,16150,16521,3881,4456,4048,3639,4026,4489,4178,2682,1272,1848197,35.61,-84.92,871,74.783333,,,,,4.99,10.6,11.22,4.67,9.66,5.61,18.07,11.53,,11.84,,6.23,,5.61,5.3,13.71,28.05,5.3,9.66,4.36,8.73,45.19,5.3,8.1,4.99,5.3,7.79,5.407407,0.691358,9.154321,2.76225,,0.875,73.094912
US_TN_47143,2020-01-03,ChIJyZfUod-oYIgRHsTJuzR2pBo,Q502377,geoId/47143,US,United States of America,TN,Tennessee,47143,Rhea County,US,USA,2,,,,,,,32671,16150,16521,3881,4456,4048,3639,4026,4489,4178,2682,1272,1848197,35.61,-84.92,871,74.783333,,,,,,9.88,12.11,7.64,7.64,11.47,18.48,15.29,8.28,6.69,6.69,,,7.01,5.73,9.24,25.16,6.69,8.28,7.64,7.01,44.91,,8.92,9.56,,7.01,10.074074,5.938272,13.030864,37.36975,,9.395833,95.424585
US_TN_47143,2020-01-04,ChIJyZfUod-oYIgRHsTJuzR2pBo,Q502377,geoId/47143,US,United States of America,TN,Tennessee,47143,Rhea County,US,USA,2,,,,,,,32671,16150,16521,3881,4456,4048,3639,4026,4489,4178,2682,1272,1848197,35.61,-84.92,871,74.783333,,,,,,9.63,9.3,7.64,,,19.6,12.29,5.98,9.96,5.65,4.65,,,6.64,12.95,23.91,5.31,9.3,10.63,8.3,36.54,,6.97,5.98,6.64,,9.950617,2.845679,13.364198,10.287,,7.409722,82.532685
US_TN_47143,2020-01-05,ChIJyZfUod-oYIgRHsTJuzR2pBo,Q502377,geoId/47143,US,United States of America,TN,Tennessee,47143,Rhea County,US,USA,2,,,,,,,32671,16150,16521,3881,4456,4048,3639,4026,4489,4178,2682,1272,1848197,35.61,-84.92,871,74.783333,,,,,,7.91,9.62,11.0,9.62,5.84,20.96,13.75,4.81,8.25,6.19,8.25,7.22,,4.81,10.31,26.12,5.84,7.22,5.5,9.62,46.4,,4.81,5.5,,,4.018519,0.080247,10.907407,1.213556,,-2.409722,61.889296
US_TN_47143,2020-01-06,ChIJyZfUod-oYIgRHsTJuzR2pBo,Q502377,geoId/47143,US,United States of America,TN,Tennessee,47143,Rhea County,US,USA,2,,,,,,,32671,16150,16521,3881,4456,4048,3639,4026,4489,4178,2682,1272,1848197,35.61,-84.92,871,74.783333,,,,,4.85,12.62,9.71,8.09,,6.79,18.76,9.06,5.82,11.65,,7.44,,,9.06,10.03,29.44,5.18,,5.18,6.15,44.32,5.5,7.12,5.82,8.09,6.79,4.864198,-1.833333,13.5,0.0,,-1.951389,61.144794
US_TN_47143,2020-01-07,ChIJyZfUod-oYIgRHsTJuzR2pBo,Q502377,geoId/47143,US,United States of America,TN,Tennessee,47143,Rhea County,US,USA,2,,,,,,,32671,16150,16521,3881,4456,4048,3639,4026,4489,4178,2682,1272,1848197,35.61,-84.92,871,74.783333,,,,,8.72,9.02,9.32,6.61,4.81,6.61,13.83,12.02,5.71,10.22,4.81,,,,4.51,10.82,28.25,9.92,7.21,4.51,7.21,37.87,6.01,7.21,6.91,4.51,4.81,7.203704,1.882716,11.660494,4.699,,-0.041667,59.865035
US_TN_47143,2020-01-08,ChIJyZfUod-oYIgRHsTJuzR2pBo,Q502377,geoId/47143,US,United States of America,TN,Tennessee,47143,Rhea County,US,USA,2,,,,,,,32671,16150,16521,3881,4456,4048,3639,4026,4489,4178,2682,1272,1848197,35.61,-84.92,871,74.783333,,,,,,7.52,13.23,13.53,6.62,6.01,15.64,11.43,6.32,12.93,,7.22,,5.41,,9.92,35.49,,5.41,7.22,9.32,53.83,5.71,12.03,9.92,9.02,,5.833333,-0.683333,13.783333,0.889,,-3.030864,52.474635
US_TN_47143,2020-01-09,ChIJyZfUod-oYIgRHsTJuzR2pBo,Q502377,geoId/47143,US,United States of America,TN,Tennessee,47143,Rhea County,US,USA,2,,,,,,,32671,16150,16521,3881,4456,4048,3639,4026,4489,4178,2682,1272,1848197,35.61,-84.92,871,74.783333,,,,,6.12,11.08,8.17,9.04,8.46,7.0,14.0,11.66,,13.71,,5.54,6.71,4.08,6.12,11.66,33.83,7.0,4.67,4.38,8.17,47.24,4.08,12.54,8.46,7.87,,5.05,-2.211111,14.811111,0.0,,-1.549383,62.700181
US_TN_47143,2020-01-10,ChIJyZfUod-oYIgRHsTJuzR2pBo,Q502377,geoId/47143,US,United States of America,TN,Tennessee,47143,Rhea County,US,USA,2,,,,,,,32671,16150,16521,3881,4456,4048,3639,4026,4489,4178,2682,1272,1848197,35.61,-84.92,871,74.783333,,,,,8.28,8.28,11.42,6.28,10.28,6.0,14.28,10.57,,9.14,,4.86,4.28,,4.86,11.42,33.41,4.86,7.42,5.14,,40.84,,9.14,6.0,4.86,5.14,13.55,10.316667,17.827778,0.0,,5.765432,59.192841
