location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AZ_04009,2020-01-01,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,6.82,6.54,4.26,11.94,5.68,,6.54,4.83,21.88,13.07,6.25,7.96,,,4.83,4.83,4.26,,18.76,,9.66,,4.26,5.68,38.65,4.83,8.53,5.12,,,5.460317,-1.142857,13.634921,0.0,50.8,-0.898148,65.890302
US_AZ_04009,2020-01-02,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,6.28,8.89,,8.63,6.8,7.58,8.37,,19.61,10.72,4.45,7.84,4.45,,3.92,,6.01,5.23,22.49,5.75,7.58,4.71,6.54,3.92,36.34,4.97,4.97,8.89,3.92,4.18,6.888889,0.047619,12.055556,0.169333,78.74,0.009259,63.332874
US_AZ_04009,2020-01-03,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,3.77,10.23,,9.43,5.92,4.31,4.58,,22.09,14.27,4.85,8.89,4.31,,,,4.85,8.35,19.39,3.77,7.0,,7.27,8.62,34.47,3.77,6.46,5.39,5.92,6.46,4.801587,-2.111111,12.47619,0.072571,50.8,-3.37037,57.569181
US_AZ_04009,2020-01-04,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,3.99,7.42,,7.99,4.85,,5.99,,19.39,9.98,5.42,7.42,,4.56,7.7,,,6.27,25.38,,10.84,3.99,6.84,4.56,27.95,,5.13,5.7,,5.7,7.015873,-0.952381,17.547619,0.0,,-3.509259,49.10227
US_AZ_04009,2020-01-05,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,4.23,10.72,,11.57,10.72,,5.36,,18.63,9.31,7.06,7.34,4.23,5.64,5.93,,3.95,5.08,22.01,5.08,,,,,33.02,5.64,,6.49,,,9.492063,0.126984,20.087302,0.0,,-2.805556,43.312046
US_AZ_04009,2020-01-06,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,4.35,7.61,,7.39,6.09,5.66,3.92,,15.44,11.31,3.92,8.48,3.48,6.09,5.44,3.7,3.26,4.35,23.49,3.92,5.44,,3.48,5.0,32.41,,4.35,4.13,,3.48,8.833333,-0.357143,19.071429,0.0,,-2.333333,47.197033
US_AZ_04009,2020-01-07,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,,4.96,3.24,7.99,8.42,3.45,4.96,4.75,15.76,9.28,3.45,6.04,3.45,,,,,5.4,21.37,4.1,6.69,3.45,3.02,6.26,29.14,,7.77,4.75,4.32,3.45,9.674603,0.055556,18.642857,0.0,,-7.305556,33.231114
US_AZ_04009,2020-01-08,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,4.97,7.78,,8.86,5.4,3.46,7.56,3.89,15.12,7.13,3.67,7.56,3.89,4.97,4.1,,,7.78,27.65,6.48,4.1,4.1,,6.91,35.85,6.05,12.74,5.62,3.89,3.24,10.484127,2.253968,18.97619,0.0,,-7.240741,30.281682
US_AZ_04009,2020-01-09,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,3.37,8.01,,8.01,7.59,4.85,4.85,4.85,10.75,7.8,6.53,8.22,,2.95,4.64,5.9,4.42,6.32,24.66,4.21,3.58,3.58,6.11,7.38,33.3,3.79,11.59,5.48,6.74,3.37,9.285714,1.722222,17.650794,0.0,,-6.777778,33.535177
US_AZ_04009,2020-01-10,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,,5.3,3.23,5.54,8.07,5.3,3.69,3.69,15.22,6.92,,8.53,3.46,5.3,5.3,3.92,4.61,3.69,25.14,5.76,3.92,,4.84,4.15,32.52,3.46,7.15,5.54,5.07,3.46,7.261905,1.333333,14.587302,0.762,30.48,-0.296296,60.935149
US_AZ_04009,2020-01-11,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,,5.85,3.9,9.76,,5.85,5.3,3.9,13.1,10.03,4.18,5.85,,3.9,5.3,5.3,4.74,7.53,21.18,6.97,6.41,,5.3,,35.12,,9.2,6.69,,,5.087302,-2.515873,14.746032,0.072571,,-5.203704,48.951147
US_AZ_04009,2020-01-12,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,5.14,9.21,,8.12,5.68,5.96,4.6,4.06,18.41,7.58,,,,,,3.79,7.58,,23.28,3.79,9.21,4.6,5.96,5.14,32.76,,9.21,5.68,,,7.18254,-1.634921,16.650794,0.0,,-6.268519,39.760557
US_AZ_04009,2020-01-13,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,4.02,6.78,,8.47,4.66,3.18,5.72,3.39,16.51,6.99,5.29,10.37,2.96,5.72,,4.87,4.23,7.41,19.9,6.14,7.2,4.45,6.56,4.45,27.1,5.72,4.87,5.08,3.18,4.23,9.833333,1.119048,18.984127,0.0,,-6.444444,33.386846
US_AZ_04009,2020-01-14,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,4.79,6.25,3.54,10.0,8.13,3.96,5.83,,15.84,8.96,2.92,7.71,3.75,5.0,4.58,3.33,3.33,4.79,23.75,5.83,5.21,,,6.46,30.63,4.38,8.13,3.75,3.75,3.33,10.571429,2.039683,20.079365,0.0,,-5.62037,33.007502
US_AZ_04009,2020-01-15,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,4.42,6.84,2.82,8.45,5.63,,4.22,4.22,13.88,8.05,4.02,6.84,,3.82,5.43,5.03,3.82,4.63,26.95,4.02,6.24,,3.02,4.63,31.58,4.02,6.64,3.22,3.22,,11.690476,3.873016,20.507937,0.0,,-4.787037,32.736965
US_AZ_04009,2020-01-16,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,,7.6,3.4,8.8,7.4,2.8,5.2,3.8,12.0,8.6,5.2,6.8,4.0,5.6,6.8,,3.6,4.2,22.0,,6.0,3.8,3.6,5.4,32.8,3.2,5.0,3.2,4.2,5.0,12.222222,7.603175,18.293651,0.973667,,0.62963,46.052767
US_AZ_04009,2020-01-17,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,4.75,6.17,,10.21,8.55,3.56,4.28,3.8,15.2,9.03,,8.07,,3.56,3.56,3.8,5.7,,26.12,5.46,5.22,,4.75,4.75,32.54,4.51,5.46,6.65,4.99,5.46,9.793651,4.698413,16.087302,2.54,,5.138889,74.741014
US_AZ_04009,2020-01-18,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,4.42,5.52,,8.84,6.91,,,,16.57,9.39,4.42,7.46,,4.7,,6.63,,6.35,15.19,5.8,6.35,,4.7,4.7,27.89,,6.08,,,5.25,8.404762,0.547619,17.293651,0.0,,1.675926,64.168004
US_AZ_04009,2020-01-19,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,4.5,7.14,3.7,7.67,6.35,4.5,5.03,,15.07,9.52,,10.31,5.03,3.7,4.5,,3.97,6.08,25.39,7.41,8.99,,3.97,6.88,35.17,6.35,9.79,5.55,5.03,5.55,10.992063,1.333333,20.809524,0.0,,0.055556,49.306962
US_AZ_04009,2020-01-20,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,6.07,8.98,,8.74,4.86,5.1,3.4,,18.93,9.95,3.88,8.5,,,7.77,,5.34,8.01,23.79,6.07,10.2,,,6.31,33.02,,6.55,5.83,4.13,3.4,13.412698,5.301587,20.97619,0.0,,0.435185,44.392346
US_AZ_04009,2020-01-21,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,5.7,9.97,4.07,8.34,6.92,4.27,4.68,4.47,17.7,9.36,7.53,8.75,,3.66,5.49,3.86,7.32,5.9,29.09,6.71,6.71,4.47,5.7,6.71,33.97,4.07,5.29,4.47,3.25,5.7,11.571429,7.079365,19.269841,2.116667,,5.055556,66.384471
US_AZ_04009,2020-01-22,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,5.08,5.86,4.1,7.42,7.42,4.1,4.3,4.1,14.45,9.76,4.3,5.27,3.32,4.69,5.08,3.9,5.47,7.03,25.58,8.4,5.47,4.49,6.64,5.47,33.19,4.1,4.69,5.08,,3.12,10.214286,7.634921,13.944444,3.894667,,6.842593,80.544015
US_AZ_04009,2020-01-23,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,2.98,9.74,2.78,4.57,7.95,5.96,4.37,3.58,10.54,7.55,6.16,5.57,3.38,3.38,4.77,3.18,3.58,4.97,25.84,6.76,7.75,4.17,3.58,5.96,34.59,4.17,5.37,3.38,,,8.444444,1.928571,16.888889,0.217714,,3.416667,72.154843
US_AZ_04009,2020-01-24,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,3.69,9.0,3.23,6.69,5.54,3.69,5.54,4.38,18.23,9.0,5.08,9.69,4.15,3.69,3.69,,,4.62,28.16,4.85,6.23,,3.23,6.46,33.93,,4.85,7.38,4.38,3.46,10.333333,2.079365,19.079365,0.0,,2.824074,61.645362
US_AZ_04009,2020-01-25,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,4.81,4.81,4.81,9.61,5.94,10.74,7.07,5.09,22.06,7.92,,5.66,4.52,,5.37,,3.96,5.94,31.67,10.18,7.07,,4.52,5.37,42.42,8.2,3.96,5.37,,,11.087302,2.960317,19.642857,0.0,,3.490741,61.408926
US_AZ_04009,2020-01-26,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,5.8,8.33,,11.11,5.55,5.05,4.54,6.06,50.23,9.84,4.54,7.32,,,4.8,,5.05,3.79,43.41,5.55,9.59,,,5.8,34.33,,7.32,6.56,4.54,5.05,11.285714,4.015873,19.873016,0.0,,2.990741,58.329396
US_AZ_04009,2020-01-27,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,3.21,6.42,4.21,6.82,9.03,3.81,5.42,4.62,31.3,7.42,4.62,6.22,,4.42,6.62,3.21,3.81,5.82,42.54,5.82,,,3.41,4.21,32.11,,4.21,,3.81,3.81,11.896825,5.380952,18.468254,0.0,,2.759259,54.760514
US_AZ_04009,2020-01-28,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,,7.49,2.83,8.5,5.87,4.86,3.85,4.45,24.49,7.69,5.47,8.7,5.06,5.47,4.86,,2.83,3.64,33.4,4.05,6.07,4.66,3.64,3.85,26.32,3.85,3.85,3.85,4.05,,9.206349,1.595238,16.825397,0.0,,-2.759259,44.188589
US_AZ_04009,2020-01-29,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,4.07,5.08,3.05,7.32,5.7,4.07,3.86,3.46,23.59,10.37,4.88,7.12,,3.25,3.66,2.85,4.68,8.54,36.2,6.51,6.1,,3.25,4.68,32.13,5.29,9.97,6.71,3.66,,8.174603,1.119048,15.888889,0.0,,-3.777778,44.019823
US_AZ_04009,2020-01-30,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,,6.44,,6.85,5.44,3.22,5.84,3.83,24.77,5.44,5.24,6.04,4.03,3.22,4.03,,3.83,7.45,29.4,4.23,5.84,3.02,,7.05,31.82,3.22,3.42,,4.03,3.42,7.444444,0.055556,15.285714,0.0,,-1.009259,57.499076
US_AZ_04009,2020-01-31,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,3.9,5.97,3.9,7.35,4.82,3.67,9.42,4.59,28.71,5.97,5.97,6.89,3.44,3.67,,,4.13,4.13,31.46,6.43,4.59,3.44,,,33.3,,8.5,4.13,4.82,5.28,8.428571,0.190476,16.333333,0.0,,-4.166667,42.559364
US_AZ_04009,2020-02-01,ChIJgQ7I6CrP14YRk0G0iIo41EE,Q58692,geoId/04009,US,United States of America,AZ,Arizona,04009,Graham County,US,USA,2,,,,,,,37481,19942,17539,5647,5753,5626,5122,4388,3845,3633,2206,1261,1832191,33.009167,-109.885278,12020,78.255556,,,,,,,4.18,5.29,8.63,5.29,,6.96,5.01,18.94,6.41,5.29,4.18,,5.29,5.01,,4.18,5.01,27.02,5.85,5.85,3.9,4.46,4.74,34.54,4.46,6.13,,,5.85,10.222222,0.936508,20.880952,0.0,,-6.046296,32.813072
