location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55005,2020-01-01,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,4.23,9.51,4.44,7.61,6.76,4.23,,,6.55,4.44,,,19.87,,11.63,7.19,7.19,,6.98,3.59,,4.65,4.02,3.59,,5.92,,10.36,25.16,7.4,,7.4,,3.81,4.86,3.59,6.76,40.37,5.5,4.65,4.65,3.81,,4.23,,3.59,3.59,3.81,-9.144444,-14.983333,-1.205556,0.0,279.4,-11.188889,85.150877
US_WI_55005,2020-01-02,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,2.54,4.35,7.62,6.17,11.6,7.8,5.62,2.54,2.9,5.08,3.81,,,17.95,3.08,11.79,,5.08,2.72,8.7,3.99,3.81,4.17,4.71,4.17,,4.35,3.99,7.25,29.01,7.98,2.9,8.52,3.63,4.35,4.17,2.72,4.9,36.45,5.44,7.62,,6.17,3.63,2.9,2.72,3.26,2.72,,-0.055556,-2.872222,1.594444,0.254,248.92,-2.027778,86.614891
US_WI_55005,2020-01-03,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,5.61,9.04,5.43,10.13,7.96,5.25,,,4.52,4.16,3.44,2.53,17.73,3.08,8.68,,4.34,,8.32,3.26,,5.25,6.33,2.89,,2.89,,6.15,29.84,5.97,3.62,6.15,,3.62,4.34,3.08,5.97,35.09,5.79,8.5,4.7,5.25,3.98,3.62,2.89,,2.71,,-1.261111,-3.344444,-0.144444,0.4318,231.14,-4.283333,79.954869
US_WI_55005,2020-01-04,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,5.04,10.07,3.94,10.73,7.45,3.94,,4.38,4.38,3.07,3.72,3.29,21.68,,13.36,3.07,,,5.25,5.25,,4.16,3.94,4.38,4.38,3.94,,7.66,28.03,8.54,3.72,4.82,,5.04,4.82,4.16,4.82,38.1,3.5,5.04,3.72,4.16,,3.29,,3.72,,,-4.377778,-6.055556,-1.65,0.028222,200.66,-6.633333,84.345245
US_WI_55005,2020-01-05,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,4.45,9.95,6.14,9.1,7.62,4.66,2.96,4.45,3.6,4.02,5.08,,18.0,3.81,11.22,4.45,3.6,3.39,9.1,5.5,,4.45,5.29,,,4.45,3.39,8.04,24.98,6.14,3.81,6.77,,4.87,3.81,,4.87,30.48,4.02,5.29,,6.77,,,4.02,3.6,2.96,3.18,-2.266667,-4.227778,1.433333,0.0635,200.66,-5.211111,80.312217
US_WI_55005,2020-01-06,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,3.04,5.54,7.33,4.65,9.65,7.69,5.54,,3.22,7.33,2.68,4.47,,20.73,3.4,9.83,3.4,4.11,2.86,9.47,5.9,3.04,6.08,5.9,4.29,4.29,4.47,4.47,3.58,32.35,4.47,,7.15,3.58,3.75,4.11,3.04,5.0,38.07,4.83,7.15,,5.54,6.61,3.04,,2.68,5.9,,-3.661111,-7.75,0.572222,0.1524,200.66,-8.144444,71.12497
US_WI_55005,2020-01-07,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,4.08,8.17,5.15,6.92,10.3,5.33,,3.37,5.15,2.48,3.9,,21.84,2.48,9.23,,3.73,,6.04,5.15,3.19,5.15,7.1,2.48,2.48,5.86,,9.23,31.24,3.37,2.66,4.08,2.66,5.33,4.79,,7.28,35.86,,4.79,2.48,4.79,4.79,5.86,,3.37,3.37,,-3.111111,-8.916667,0.322222,0.042333,180.34,-7.922222,69.475083
US_WI_55005,2020-01-08,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,2.85,3.2,8.72,3.74,9.79,10.32,4.09,3.03,2.49,4.81,4.98,2.49,2.67,19.4,,10.5,3.92,6.05,,10.32,4.63,4.27,4.98,4.27,4.27,5.52,4.45,2.49,5.7,29.9,5.87,3.74,5.87,3.03,4.27,3.74,,4.98,33.46,4.63,6.59,4.45,2.67,4.09,3.38,,,3.92,3.03,-16.038889,-22.266667,-9.072222,0.0,180.34,-21.422222,63.291246
US_WI_55005,2020-01-09,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,2.53,5.43,7.6,5.25,8.32,9.41,4.34,,,4.71,3.62,,,20.09,4.34,10.5,3.26,6.7,2.9,9.05,3.62,2.53,5.43,4.34,4.16,,5.79,2.53,3.44,33.3,6.15,,6.33,3.98,4.89,5.79,,4.71,36.73,5.61,4.71,2.53,4.89,6.51,2.71,,4.52,5.43,,-6.666667,-13.294444,0.038889,0.0,180.34,-11.733333,67.307962
US_WI_55005,2020-01-10,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,3.4,4.65,4.12,10.2,8.05,6.08,3.04,3.94,6.62,4.65,,3.22,13.78,4.29,8.77,3.22,4.29,2.68,8.23,6.26,3.94,3.58,3.4,2.68,4.65,4.83,2.86,6.8,28.98,7.33,,4.12,2.68,4.12,5.19,3.04,6.08,32.56,2.86,6.08,,4.12,5.37,4.83,,4.47,,,-5.638889,-9.394444,-1.505556,0.0254,180.34,-9.677778,73.312672
