location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48067,2020-01-13,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,8.82,12.0,5.29,13.05,8.47,14.11,22.23,6.0,35.64,8.47,6.922222,1.711111,16.033333,0.0,,4.172222,82.822199
US_TX_48067,2020-01-14,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,6.97,9.54,6.24,15.04,12.48,8.44,32.29,6.97,37.8,10.64,14.127778,12.366667,17.344444,12.2936,,12.816667,91.866341
US_TX_48067,2020-01-15,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,8.15,5.93,9.63,15.93,14.45,7.41,37.43,7.41,39.28,,18.694444,15.866667,23.311111,1.5748,,17.381944,92.624324
US_TX_48067,2020-01-16,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,8.03,9.18,6.5,19.51,,,35.2,5.74,32.14,5.74,15.844444,10.022222,21.416667,2.3876,,14.344444,90.931056
US_TX_48067,2020-01-17,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,7.68,11.9,6.91,16.51,10.75,6.91,29.57,6.14,40.32,6.14,9.538889,7.727778,13.611111,18.2626,,6.022222,78.831663
US_TX_48067,2020-01-18,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,13.96,10.24,,22.81,9.31,,27.46,8.38,47.01,6.98,15.788889,11.544444,18.755556,4.3688,,12.972222,83.40662
US_TX_48067,2020-01-19,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,10.11,11.95,,20.67,8.27,7.81,26.19,7.35,49.16,7.35,7.044444,0.577778,14.033333,2.2098,,-4.266667,44.627826
US_TX_48067,2020-01-20,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,7.72,12.71,9.08,24.06,7.72,9.99,32.69,,47.21,12.71,5.377778,-0.388889,12.172222,0.0,,-4.255556,50.12426
US_TX_48067,2020-01-21,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,9.47,8.71,6.44,20.84,12.12,8.71,41.67,9.09,43.57,6.06,2.727778,-2.005556,8.805556,0.0,,-3.155556,65.349876
US_TX_48067,2020-01-22,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,,11.52,7.43,22.66,14.12,5.94,31.95,5.57,35.29,5.57,2.605556,0.383333,5.922222,2.5908,,-0.722222,78.797392
