location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_grocery_and_pharmacy,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48461,2020-01-01,ChIJP_k6Srv1-YYRQvet7LkhSfA,Q113940,geoId/48461,US,United States of America,TX,Texas,48461,Upton County,US,USA,2,,,,,,,3658,1882,1776,616,554,441,512,395,402,383,215,140,1814672,31.36,-102.04,3216,80.25,,,6.488889,-0.011111,13.172222,0.0,,-2.611111,51.928434
US_TX_48461,2020-01-02,ChIJP_k6Srv1-YYRQvet7LkhSfA,Q113940,geoId/48461,US,United States of America,TX,Texas,48461,Upton County,US,USA,2,,,,,,,3658,1882,1776,616,554,441,512,395,402,383,215,140,1814672,31.36,-102.04,3216,80.25,,,10.711111,4.616667,16.666667,0.0,,-0.765432,44.83674
US_TX_48461,2020-01-03,ChIJP_k6Srv1-YYRQvet7LkhSfA,Q113940,geoId/48461,US,United States of America,TX,Texas,48461,Upton County,US,USA,2,,,,,,,3658,1882,1776,616,554,441,512,395,402,383,215,140,1814672,31.36,-102.04,3216,80.25,,,8.766667,5.194444,14.077778,0.580571,,1.444444,60.527547
US_TX_48461,2020-01-04,ChIJP_k6Srv1-YYRQvet7LkhSfA,Q113940,geoId/48461,US,United States of America,TX,Texas,48461,Upton County,US,USA,2,,,,,,,3658,1882,1776,616,554,441,512,395,402,383,215,140,1814672,31.36,-102.04,3216,80.25,,,6.788889,-1.544444,18.538889,0.5588,,-2.734568,50.423999
US_TX_48461,2020-01-05,ChIJP_k6Srv1-YYRQvet7LkhSfA,Q113940,geoId/48461,US,United States of America,TX,Texas,48461,Upton County,US,USA,2,,,,,,,3658,1882,1776,616,554,441,512,395,402,383,215,140,1814672,31.36,-102.04,3216,80.25,,,10.055556,0.327778,19.477778,0.0,,-4.425926,35.765155
US_TX_48461,2020-01-06,ChIJP_k6Srv1-YYRQvet7LkhSfA,Q113940,geoId/48461,US,United States of America,TX,Texas,48461,Upton County,US,USA,2,,,,,,,3658,1882,1776,616,554,441,512,395,402,383,215,140,1814672,31.36,-102.04,3216,80.25,,,8.594444,-0.694444,19.188889,0.0,,-4.759259,38.996263
US_TX_48461,2020-01-07,ChIJP_k6Srv1-YYRQvet7LkhSfA,Q113940,geoId/48461,US,United States of America,TX,Texas,48461,Upton County,US,USA,2,,,,,,,3658,1882,1776,616,554,441,512,395,402,383,215,140,1814672,31.36,-102.04,3216,80.25,,,5.95,-4.1,17.711111,0.0,,-8.820988,34.112828
US_TX_48461,2020-01-08,ChIJP_k6Srv1-YYRQvet7LkhSfA,Q113940,geoId/48461,US,United States of America,TX,Texas,48461,Upton County,US,USA,2,,,,,,,3658,1882,1776,616,554,441,512,395,402,383,215,140,1814672,31.36,-102.04,3216,80.25,,,8.161111,-0.627778,19.088889,0.0,,-7.777778,32.381337
US_TX_48461,2020-01-09,ChIJP_k6Srv1-YYRQvet7LkhSfA,Q113940,geoId/48461,US,United States of America,TX,Texas,48461,Upton County,US,USA,2,,,,,,,3658,1882,1776,616,554,441,512,395,402,383,215,140,1814672,31.36,-102.04,3216,80.25,,,14.283333,7.355556,23.183333,0.0,,3.592593,49.382205
US_TX_48461,2020-01-10,ChIJP_k6Srv1-YYRQvet7LkhSfA,Q113940,geoId/48461,US,United States of America,TX,Texas,48461,Upton County,US,USA,2,,,,,,,3658,1882,1776,616,554,441,512,395,402,383,215,140,1814672,31.36,-102.04,3216,80.25,,,12.866667,6.566667,20.75,0.0,,3.845679,54.255665
