location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01017,2020-01-01,ChIJ8wq7d0SgjIgR7dF0tFV4YxI,Q111280,geoId/01017,US,United States of America,AL,Alabama,01017,Chambers County,US,USA,2,,,,,,,33707,16152,17555,3983,3801,4405,3717,4148,4824,4448,2870,1511,1850799,32.911111,-85.393889,248,1562,73.611111,,,,,,5.47,12.16,10.64,7.9,,7.6,17.63,10.94,,6.69,5.17,,8.51,8.82,22.8,4.86,7.3,,39.22,6.99,6.08,5.877778,-0.7,14.205556,0.0,-1.894444,57.798971
US_AL_01017,2020-01-02,ChIJ8wq7d0SgjIgR7dF0tFV4YxI,Q111280,geoId/01017,US,United States of America,AL,Alabama,01017,Chambers County,US,USA,2,,,,,,,33707,16152,17555,3983,3801,4405,3717,4148,4824,4448,2870,1511,1850799,32.911111,-85.393889,248,1562,73.611111,,,,,,11.33,9.49,9.49,6.74,6.13,6.74,22.05,11.03,5.21,7.35,,7.66,,7.04,35.84,6.13,6.13,,37.06,8.27,7.35,8.833333,3.616667,12.833333,1.560286,5.272222,78.555195
US_AL_01017,2020-01-03,ChIJ8wq7d0SgjIgR7dF0tFV4YxI,Q111280,geoId/01017,US,United States of America,AL,Alabama,01017,Chambers County,US,USA,2,,,,,,,33707,16152,17555,3983,3801,4405,3717,4148,4824,4448,2870,1511,1850799,32.911111,-85.393889,248,1562,73.611111,,,,,,7.65,8.27,10.71,7.96,,7.65,18.67,12.86,5.2,7.04,6.12,5.82,4.9,9.18,27.86,4.29,8.27,5.2,34.9,7.65,,17.155556,10.011111,21.544444,24.746857,16.122222,93.706857
US_AL_01017,2020-01-04,ChIJ8wq7d0SgjIgR7dF0tFV4YxI,Q111280,geoId/01017,US,United States of America,AL,Alabama,01017,Chambers County,US,USA,2,,,,,,,33707,16152,17555,3983,3801,4405,3717,4148,4824,4448,2870,1511,1850799,32.911111,-85.393889,248,1562,73.611111,,,,,,5.39,6.98,6.66,7.29,5.39,7.29,20.61,10.46,,8.24,4.44,4.44,,8.56,22.52,,11.42,4.76,34.88,7.29,6.34,13.9,8.5,17.588889,16.800286,9.788889,76.338274
US_AL_01017,2020-01-05,ChIJ8wq7d0SgjIgR7dF0tFV4YxI,Q111280,geoId/01017,US,United States of America,AL,Alabama,01017,Chambers County,US,USA,2,,,,,,,33707,16152,17555,3983,3801,4405,3717,4148,4824,4448,2870,1511,1850799,32.911111,-85.393889,248,1562,73.611111,,,,,,5.66,6.29,7.55,4.41,5.35,4.72,20.14,13.53,,7.24,,,6.92,,22.34,6.61,9.44,5.66,35.87,6.92,5.66,5.161111,-1.411111,14.233333,0.4318,-2.188889,59.236598
US_AL_01017,2020-01-06,ChIJ8wq7d0SgjIgR7dF0tFV4YxI,Q111280,geoId/01017,US,United States of America,AL,Alabama,01017,Chambers County,US,USA,2,,,,,,,33707,16152,17555,3983,3801,4405,3717,4148,4824,4448,2870,1511,1850799,32.911111,-85.393889,248,1562,73.611111,,,,,,4.4,7.22,11.93,4.71,5.97,6.59,15.39,13.19,5.02,7.22,6.28,5.65,6.59,11.93,20.73,4.4,9.73,6.59,44.91,6.91,5.02,7.5,0.322222,18.255556,0.0,2.416667,70.438485
US_AL_01017,2020-01-07,ChIJ8wq7d0SgjIgR7dF0tFV4YxI,Q111280,geoId/01017,US,United States of America,AL,Alabama,01017,Chambers County,US,USA,2,,,,,,,33707,16152,17555,3983,3801,4405,3717,4148,4824,4448,2870,1511,1850799,32.911111,-85.393889,248,1562,73.611111,,,,,,4.37,7.17,9.04,4.99,4.68,7.17,14.65,8.73,4.37,8.73,4.99,,7.17,5.3,20.58,6.24,10.6,6.86,44.28,8.42,8.11,11.216667,5.066667,16.144444,0.362857,3.916667,60.827842
US_AL_01017,2020-01-08,ChIJ8wq7d0SgjIgR7dF0tFV4YxI,Q111280,geoId/01017,US,United States of America,AL,Alabama,01017,Chambers County,US,USA,2,,,,,,,33707,16152,17555,3983,3801,4405,3717,4148,4824,4448,2870,1511,1850799,32.911111,-85.393889,248,1562,73.611111,,,,,,5.38,7.59,7.59,6.96,4.74,10.75,16.44,13.6,,9.17,7.27,4.74,,9.49,28.14,6.64,7.27,7.59,39.21,11.07,5.69,6.855556,-1.272222,17.255556,0.0,-2.711111,50.957551
US_AL_01017,2020-01-09,ChIJ8wq7d0SgjIgR7dF0tFV4YxI,Q111280,geoId/01017,US,United States of America,AL,Alabama,01017,Chambers County,US,USA,2,,,,,,,33707,16152,17555,3983,3801,4405,3717,4148,4824,4448,2870,1511,1850799,32.911111,-85.393889,248,1562,73.611111,,,,,,6.28,,6.28,5.02,6.9,8.79,15.69,11.92,,6.28,,5.02,,10.98,32.63,7.53,5.33,,44.87,9.41,4.71,7.555556,-0.45,18.455556,0.0,0.15,59.827718
US_AL_01017,2020-01-10,ChIJ8wq7d0SgjIgR7dF0tFV4YxI,Q111280,geoId/01017,US,United States of America,AL,Alabama,01017,Chambers County,US,USA,2,,,,,,,33707,16152,17555,3983,3801,4405,3717,4148,4824,4448,2870,1511,1850799,32.911111,-85.393889,248,1562,73.611111,,,,,,,4.56,6.08,5.57,4.05,5.57,13.43,7.85,4.56,7.35,4.05,5.57,,6.33,20.77,6.08,4.05,4.56,32.42,6.33,5.57,15.983333,12.422222,20.966667,0.0,10.688889,70.886619
