location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47117,2020-01-01,ChIJ57A-IJS7Y4gRoHylw8oHt-U,Q495448,geoId/47117,US,United States of America,TN,Tennessee,47117,Marshall County,US,USA,2,,,,,,,33020,16181,16839,4127,4419,3995,4095,4368,4645,3955,2333,1083,1848189,35.47,-86.77,974,75.32,,,,,,6.38,9.25,8.61,11.16,8.61,7.02,6.06,6.06,28.71,16.91,7.66,4.79,,9.89,8.61,7.97,6.38,8.93,25.52,6.38,5.74,5.42,6.06,7.66,49.12,,6.7,5.1,,4.47,4.283333,-1.766667,11.322222,0.0254,,-3.555556,56.937308
US_TN_47117,2020-01-02,ChIJ57A-IJS7Y4gRoHylw8oHt-U,Q495448,geoId/47117,US,United States of America,TN,Tennessee,47117,Marshall County,US,USA,2,,,,,,,33020,16181,16839,4127,4419,3995,4095,4368,4645,3955,2333,1083,1848189,35.47,-86.77,974,75.32,,,,,,6.08,9.73,,14.6,8.52,7.3,8.52,5.47,25.85,19.46,5.17,8.52,5.17,6.39,7.91,4.56,5.78,12.16,33.15,7.91,6.69,5.78,4.87,7.6,50.48,4.87,7.91,,4.87,5.78,9.005556,6.027778,11.266667,0.112889,,3.083333,66.686932
US_TN_47117,2020-01-03,ChIJ57A-IJS7Y4gRoHylw8oHt-U,Q495448,geoId/47117,US,United States of America,TN,Tennessee,47117,Marshall County,US,USA,2,,,,,,,33020,16181,16839,4127,4419,3995,4095,4368,4645,3955,2333,1083,1848189,35.47,-86.77,974,75.32,,,,,,6.5,12.68,4.95,12.68,7.12,5.57,6.5,5.57,21.96,12.99,4.95,8.35,8.97,10.52,5.26,6.19,8.66,12.38,30.01,4.95,8.04,12.38,7.12,6.19,49.19,5.57,4.64,7.12,5.57,6.81,12.344444,10.194444,14.888889,19.614444,,11.927778,97.331616
US_TN_47117,2020-01-04,ChIJ57A-IJS7Y4gRoHylw8oHt-U,Q495448,geoId/47117,US,United States of America,TN,Tennessee,47117,Marshall County,US,USA,2,,,,,,,33020,16181,16839,4127,4419,3995,4095,4368,4645,3955,2333,1083,1848189,35.47,-86.77,974,75.32,,,,,,6.36,11.13,7.95,9.22,7.95,5.72,8.9,7.32,24.17,13.04,,12.72,,5.09,7.0,,8.59,7.32,28.62,7.63,11.13,,,6.36,49.93,,5.72,7.32,6.36,6.04,9.005556,3.155556,14.216667,2.568222,,6.227778,82.812637
US_TN_47117,2020-01-05,ChIJ57A-IJS7Y4gRoHylw8oHt-U,Q495448,geoId/47117,US,United States of America,TN,Tennessee,47117,Marshall County,US,USA,2,,,,,,,33020,16181,16839,4127,4419,3995,4095,4368,4645,3955,2333,1083,1848189,35.47,-86.77,974,75.32,,,,,,4.44,10.46,4.44,7.61,10.14,9.51,8.24,,20.6,15.85,8.88,6.02,,6.66,4.75,,,4.44,33.6,7.92,9.19,,4.44,5.71,51.67,7.29,6.34,8.56,5.39,,3.488889,-2.683333,12.377778,0.3048,,-1.8,68.429924
US_TN_47117,2020-01-06,ChIJ57A-IJS7Y4gRoHylw8oHt-U,Q495448,geoId/47117,US,United States of America,TN,Tennessee,47117,Marshall County,US,USA,2,,,,,,,33020,16181,16839,4127,4419,3995,4095,4368,4645,3955,2333,1083,1848189,35.47,-86.77,974,75.32,,,,,,7.47,10.58,,12.13,12.13,6.84,8.4,6.22,20.85,12.13,,9.02,,7.47,4.36,8.09,5.6,7.16,30.18,4.98,8.09,,6.84,5.91,52.9,8.71,8.71,5.29,,4.67,5.85,-1.538889,14.127778,0.1778,,0.5,68.781316
US_TN_47117,2020-01-07,ChIJ57A-IJS7Y4gRoHylw8oHt-U,Q495448,geoId/47117,US,United States of America,TN,Tennessee,47117,Marshall County,US,USA,2,,,,,,,33020,16181,16839,4127,4419,3995,4095,4368,4645,3955,2333,1083,1848189,35.47,-86.77,974,75.32,,,,,,7.08,6.8,4.53,10.48,4.53,5.1,4.25,4.81,20.11,11.04,7.93,11.33,10.76,4.25,8.21,,6.51,8.5,30.59,6.51,7.36,,5.66,6.51,44.75,5.66,7.93,6.23,5.38,4.81,8.638889,3.222222,12.233333,0.395111,,1.222222,59.758061
US_TN_47117,2020-01-08,ChIJ57A-IJS7Y4gRoHylw8oHt-U,Q495448,geoId/47117,US,United States of America,TN,Tennessee,47117,Marshall County,US,USA,2,,,,,,,33020,16181,16839,4127,4419,3995,4095,4368,4645,3955,2333,1083,1848189,35.47,-86.77,974,75.32,,,,,,6.94,8.05,,9.16,7.5,4.72,5.55,5.28,13.88,9.44,4.72,8.88,5.55,6.94,,4.72,,13.88,36.37,5.55,8.33,,5.55,4.44,52.48,3.89,8.05,6.94,6.66,,5.5,-1.766667,14.938889,0.1016,,-2.961111,54.81563
US_TN_47117,2020-01-09,ChIJ57A-IJS7Y4gRoHylw8oHt-U,Q495448,geoId/47117,US,United States of America,TN,Tennessee,47117,Marshall County,US,USA,2,,,,,,,33020,16181,16839,4127,4419,3995,4095,4368,4645,3955,2333,1083,1848189,35.47,-86.77,974,75.32,,,,,,5.43,7.43,,9.71,11.43,4.29,7.71,,16.86,10.57,7.14,10.57,,7.14,7.43,,5.43,11.14,36.57,8.0,8.29,5.71,7.14,5.43,49.14,4.0,12.29,9.43,6.0,,6.838889,-0.472222,15.983333,0.0508,,-2.077778,53.365525
US_TN_47117,2020-01-10,ChIJ57A-IJS7Y4gRoHylw8oHt-U,Q495448,geoId/47117,US,United States of America,TN,Tennessee,47117,Marshall County,US,USA,2,,,,,,,33020,16181,16839,4127,4419,3995,4095,4368,4645,3955,2333,1083,1848189,35.47,-86.77,974,75.32,,,,,,6.42,8.03,4.55,7.49,5.89,,4.82,5.62,17.12,12.04,5.62,9.1,5.08,5.08,,4.28,4.55,9.37,26.49,5.08,8.03,5.08,,6.42,35.59,5.35,6.15,4.01,4.28,,15.6,13.611111,18.305556,0.084667,,8.2,61.519195
