location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KS_20061,2020-01-01,ChIJL6uclBxMvIcR9z0xoumfuKI,Q377148,geoId/20061,US,United States of America,KS,Kansas,20061,Geary County,US,USA,2,,,,,,,33774,17836,15938,7232,4099,8376,5532,2657,2148,1793,1209,728,1070378,38.908611,-96.752222,1047,76.957143,,,,,,4.52,9.91,6.03,9.26,4.31,7.11,5.82,6.89,3.02,15.51,3.88,7.97,,4.74,6.89,3.88,3.88,6.25,3.45,5.6,5.6,3.45,6.25,21.76,5.38,,7.54,,3.66,,4.74,42.22,5.82,6.46,4.95,3.66,,4.74,4.09,2.592593,-4.425926,12.796296,0.0,,-3.673611,63.859905
US_KS_20061,2020-01-02,ChIJL6uclBxMvIcR9z0xoumfuKI,Q377148,geoId/20061,US,United States of America,KS,Kansas,20061,Geary County,US,USA,2,,,,,,,33774,17836,15938,7232,4099,8376,5532,2657,2148,1793,1209,728,1070378,38.908611,-96.752222,1047,76.957143,,,,,,5.03,9.48,2.71,5.22,7.74,4.84,7.93,4.26,3.1,14.9,2.71,7.93,4.06,3.29,5.03,3.68,,4.84,3.29,4.06,3.68,,3.29,21.48,7.16,4.06,5.42,4.64,3.87,5.8,5.22,40.05,2.71,5.8,5.8,2.9,6.0,3.68,3.29,6.061728,0.04321,12.351852,0.0,,1.347222,72.50984
US_KS_20061,2020-01-03,ChIJL6uclBxMvIcR9z0xoumfuKI,Q377148,geoId/20061,US,United States of America,KS,Kansas,20061,Geary County,US,USA,2,,,,,,,33774,17836,15938,7232,4099,8376,5532,2657,2148,1793,1209,728,1070378,38.908611,-96.752222,1047,76.957143,,,,,,5.22,8.31,4.64,9.66,8.12,5.61,5.61,5.8,,14.3,5.8,11.21,2.71,4.06,8.31,5.61,4.83,2.71,5.8,4.45,4.45,2.71,7.73,27.64,6.76,,7.15,3.29,4.06,5.61,5.03,37.3,,4.83,3.87,3.67,4.06,3.48,5.61,3.469136,-3.358025,10.08642,0.0,,-1.104167,71.78409
US_KS_20061,2020-01-04,ChIJL6uclBxMvIcR9z0xoumfuKI,Q377148,geoId/20061,US,United States of America,KS,Kansas,20061,Geary County,US,USA,2,,,,,,,33774,17836,15938,7232,4099,8376,5532,2657,2148,1793,1209,728,1070378,38.908611,-96.752222,1047,76.957143,,,,,,3.78,8.89,3.6,8.89,5.87,6.62,5.87,6.62,3.03,17.78,,10.59,3.78,3.6,5.3,4.73,6.43,6.81,2.65,4.16,5.11,3.4,7.95,20.05,5.11,3.4,5.68,,,4.16,4.35,34.24,2.65,7.19,5.3,4.73,3.03,6.43,4.35,1.493827,-6.12963,9.296296,0.0,,-7.451389,51.173299
US_KS_20061,2020-01-05,ChIJL6uclBxMvIcR9z0xoumfuKI,Q377148,geoId/20061,US,United States of America,KS,Kansas,20061,Geary County,US,USA,2,,,,,,,33774,17836,15938,7232,4099,8376,5532,2657,2148,1793,1209,728,1070378,38.908611,-96.752222,1047,76.957143,,,,,,6.8,8.5,5.29,10.96,7.56,4.34,6.42,3.4,4.16,17.0,,8.88,3.21,,6.99,4.34,3.02,5.86,5.29,7.93,6.99,3.4,4.53,22.86,4.16,3.02,5.67,3.21,2.83,6.42,5.1,40.81,3.97,6.61,5.86,3.4,3.78,3.97,3.21,5.62963,-1.444444,11.740741,0.0,,-3.833333,50.855168
US_KS_20061,2020-01-06,ChIJL6uclBxMvIcR9z0xoumfuKI,Q377148,geoId/20061,US,United States of America,KS,Kansas,20061,Geary County,US,USA,2,,,,,,,33774,17836,15938,7232,4099,8376,5532,2657,2148,1793,1209,728,1070378,38.908611,-96.752222,1047,76.957143,,,,,,4.16,7.41,,7.77,8.67,6.33,8.67,5.96,3.61,16.81,3.98,9.22,5.6,4.16,6.51,5.6,6.87,4.16,3.61,5.24,3.25,3.98,6.51,28.37,6.51,5.42,8.49,4.16,5.6,2.89,6.51,37.41,4.88,6.69,6.51,4.16,3.98,3.98,3.07,0.888889,-5.493827,10.345679,0.0,,-5.25,62.988856
US_KS_20061,2020-01-07,ChIJL6uclBxMvIcR9z0xoumfuKI,Q377148,geoId/20061,US,United States of America,KS,Kansas,20061,Geary County,US,USA,2,,,,,,,33774,17836,15938,7232,4099,8376,5532,2657,2148,1793,1209,728,1070378,38.908611,-96.752222,1047,76.957143,,,,,,4.83,6.73,3.97,11.39,9.15,4.14,7.59,4.49,2.93,13.12,5.01,7.94,4.32,4.32,8.11,3.62,8.46,5.7,,3.62,6.04,2.59,7.25,25.55,4.66,4.49,7.08,2.93,5.7,5.18,5.7,40.39,4.32,6.04,5.87,3.8,4.83,4.32,3.8,3.104938,-4.611111,13.592593,0.0,,-5.6875,52.47302
US_KS_20061,2020-01-08,ChIJL6uclBxMvIcR9z0xoumfuKI,Q377148,geoId/20061,US,United States of America,KS,Kansas,20061,Geary County,US,USA,2,,,,,,,33774,17836,15938,7232,4099,8376,5532,2657,2148,1793,1209,728,1070378,38.908611,-96.752222,1047,76.957143,,,,,,5.45,8.96,2.81,8.26,11.43,5.27,3.16,4.39,4.57,12.83,2.99,8.96,3.87,5.1,7.56,2.99,4.57,4.75,3.52,2.99,4.75,2.81,5.27,34.8,4.57,2.99,5.98,,4.92,5.8,4.04,37.79,2.64,14.06,7.38,3.87,4.75,,2.64,3.759259,-4.049383,14.685185,0.0,,-4.645833,54.092477
US_KS_20061,2020-01-09,ChIJL6uclBxMvIcR9z0xoumfuKI,Q377148,geoId/20061,US,United States of America,KS,Kansas,20061,Geary County,US,USA,2,,,,,,,33774,17836,15938,7232,4099,8376,5532,2657,2148,1793,1209,728,1070378,38.908611,-96.752222,1047,76.957143,,,,,,5.69,6.22,3.73,9.42,8.36,3.91,4.98,5.51,2.67,15.29,,7.82,2.84,7.47,7.29,4.44,5.33,5.33,3.91,3.73,5.87,,8.53,31.11,6.04,4.98,7.29,,5.33,7.47,5.51,39.82,4.44,12.27,7.82,2.67,6.22,3.56,3.02,11.135802,6.481481,14.728395,0.0,,0.243056,47.080609
US_KS_20061,2020-01-10,ChIJL6uclBxMvIcR9z0xoumfuKI,Q377148,geoId/20061,US,United States of America,KS,Kansas,20061,Geary County,US,USA,2,,,,,,,33774,17836,15938,7232,4099,8376,5532,2657,2148,1793,1209,728,1070378,38.908611,-96.752222,1047,76.957143,,,,,,4.07,7.8,6.1,7.96,6.61,3.73,3.05,2.54,4.75,10.51,,4.92,2.71,5.76,7.29,4.58,3.39,4.75,4.41,3.39,3.73,3.73,6.61,26.61,5.08,3.22,7.29,,3.9,,6.61,35.42,3.9,11.02,5.42,2.71,,2.71,2.71,2.04321,-3.222222,9.796296,0.508,,-1.75,75.494092
