location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13069,2020-01-01,ChIJadDi3k8u8IgRjLuFYXH82FE,Q156503,geoId/13069,US,United States of America,GA,Georgia,13069,Coffee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42880,21950,20930,5875,5793,6310,5744,5578,5501,4365,2557,1157,1073783,31.55,-82.85,1561,73.1625,,,,,8.26,8.56,,11.92,8.87,6.42,10.09,,17.73,13.15,,7.03,5.81,4.89,6.73,,,6.12,,20.79,7.34,10.39,,6.12,5.2,48.0,6.12,6.42,5.5,,9.78,8.822222,2.505556,16.322222,0.0,-0.35,52.993995
US_GA_13069,2020-01-02,ChIJadDi3k8u8IgRjLuFYXH82FE,Q156503,geoId/13069,US,United States of America,GA,Georgia,13069,Coffee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42880,21950,20930,5875,5793,6310,5744,5578,5501,4365,2557,1157,1073783,31.55,-82.85,1561,73.1625,,,,,6.27,9.54,,13.35,8.45,7.36,6.27,4.09,13.9,10.08,,13.62,4.36,5.99,5.45,7.63,3.81,5.72,10.63,31.61,6.27,10.63,4.9,8.99,,44.96,5.72,8.99,5.72,6.81,10.63,12.355556,4.783333,22.016667,0.0,4.972222,61.061737
US_GA_13069,2020-01-03,ChIJadDi3k8u8IgRjLuFYXH82FE,Q156503,geoId/13069,US,United States of America,GA,Georgia,13069,Coffee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42880,21950,20930,5875,5793,6310,5744,5578,5501,4365,2557,1157,1073783,31.55,-82.85,1561,73.1625,,,,,5.24,7.86,,12.04,5.5,5.5,,4.45,17.28,9.43,4.19,10.47,,5.76,4.45,6.81,,5.5,9.16,28.8,5.76,8.12,6.55,4.45,8.12,42.42,8.38,11.26,7.07,6.55,8.38,20.861111,15.961111,26.555556,0.0,16.233333,75.092464
US_GA_13069,2020-01-04,ChIJadDi3k8u8IgRjLuFYXH82FE,Q156503,geoId/13069,US,United States of America,GA,Georgia,13069,Coffee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42880,21950,20930,5875,5793,6310,5744,5578,5501,4365,2557,1157,1073783,31.55,-82.85,1561,73.1625,,,,,6.07,10.12,4.63,10.7,,4.92,5.5,4.63,15.62,6.65,,5.78,4.05,4.92,6.94,,8.68,6.36,10.41,22.27,5.78,8.1,6.36,6.36,,38.75,4.92,10.12,4.92,,5.78,19.116667,14.755556,24.705556,6.35,15.372222,79.014657
US_GA_13069,2020-01-05,ChIJadDi3k8u8IgRjLuFYXH82FE,Q156503,geoId/13069,US,United States of America,GA,Georgia,13069,Coffee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42880,21950,20930,5875,5793,6310,5744,5578,5501,4365,2557,1157,1073783,31.55,-82.85,1561,73.1625,,,,,5.76,7.58,,11.82,5.15,,6.67,5.15,13.64,6.97,6.67,7.58,6.06,4.24,6.67,,7.88,6.97,8.19,23.64,5.76,9.09,4.55,5.46,6.06,36.98,8.49,6.97,5.76,4.24,6.06,8.805556,2.633333,15.838889,0.6604,-1.805556,47.64208
US_GA_13069,2020-01-06,ChIJadDi3k8u8IgRjLuFYXH82FE,Q156503,geoId/13069,US,United States of America,GA,Georgia,13069,Coffee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42880,21950,20930,5875,5793,6310,5744,5578,5501,4365,2557,1157,1073783,31.55,-82.85,1561,73.1625,,,,,4.3,7.53,,10.22,6.46,6.19,7.8,6.73,13.72,10.76,,10.76,3.77,4.57,,7.0,,7.53,12.91,27.98,7.26,7.0,,7.26,5.65,43.59,,4.84,7.0,5.92,7.53,9.238889,2.466667,19.672222,0.0,2.527778,63.169748
US_GA_13069,2020-01-07,ChIJadDi3k8u8IgRjLuFYXH82FE,Q156503,geoId/13069,US,United States of America,GA,Georgia,13069,Coffee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42880,21950,20930,5875,5793,6310,5744,5578,5501,4365,2557,1157,1073783,31.55,-82.85,1561,73.1625,,,,,5.2,9.37,4.68,16.91,6.5,4.68,4.16,,14.05,8.33,,10.67,3.64,,,8.59,4.16,6.76,12.23,22.64,6.76,8.07,4.68,4.42,5.2,44.23,9.11,10.93,5.2,6.25,7.03,11.155556,4.283333,19.222222,0.0,5.583333,68.726627
US_GA_13069,2020-01-08,ChIJadDi3k8u8IgRjLuFYXH82FE,Q156503,geoId/13069,US,United States of America,GA,Georgia,13069,Coffee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42880,21950,20930,5875,5793,6310,5744,5578,5501,4365,2557,1157,1073783,31.55,-82.85,1561,73.1625,,,,,3.87,9.28,4.13,9.54,6.45,5.93,4.9,3.87,14.96,11.35,3.61,12.38,5.42,5.16,6.96,4.9,5.16,,9.28,35.07,7.48,10.31,4.9,,8.51,49.0,4.64,11.35,3.87,7.99,6.19,9.072222,0.527778,18.283333,0.0,-1.827778,46.907377
US_GA_13069,2020-01-09,ChIJadDi3k8u8IgRjLuFYXH82FE,Q156503,geoId/13069,US,United States of America,GA,Georgia,13069,Coffee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42880,21950,20930,5875,5793,6310,5744,5578,5501,4365,2557,1157,1073783,31.55,-82.85,1561,73.1625,,,,,5.72,8.58,,12.48,9.88,6.5,5.72,5.72,13.78,7.28,4.68,10.4,6.24,4.16,,6.24,4.94,,10.4,31.98,7.54,10.92,4.68,6.5,4.68,44.2,4.42,14.56,9.1,4.16,7.8,9.022222,0.438889,21.844444,0.0,2.994444,66.200092
US_GA_13069,2020-01-10,ChIJadDi3k8u8IgRjLuFYXH82FE,Q156503,geoId/13069,US,United States of America,GA,Georgia,13069,Coffee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42880,21950,20930,5875,5793,6310,5744,5578,5501,4365,2557,1157,1073783,31.55,-82.85,1561,73.1625,,,,,4.01,9.8,4.01,13.37,6.24,3.56,5.12,,12.48,8.91,4.01,8.47,3.12,4.46,,,3.12,4.46,6.91,28.07,5.12,6.46,3.12,5.12,5.12,37.65,3.34,8.47,4.01,,6.68,17.594444,12.788889,24.9,0.0,12.194444,70.701231
