location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_VA_51109,2020-01-01,ChIJM-YQMED8s4kRu9b-4i_3E_w,Q515166,geoId/51109,US,United States of America,VA,Virginia,51109,Louisa County,US,USA,2,,,,,,,35912,17774,18138,3979,3950,3789,4107,4352,5926,5344,3125,1340,1633329,37.99,-77.96,1323,77.566667,,,,,4.75,5.54,10.82,7.65,4.75,11.35,17.41,12.93,5.28,4.75,,,3.96,4.49,3.69,6.33,23.48,5.01,7.92,5.28,,39.58,,7.12,8.71,4.75,3.69,5.144444,-1.516667,11.883333,0.0,-2.777778,57.614278
US_VA_51109,2020-01-02,ChIJM-YQMED8s4kRu9b-4i_3E_w,Q515166,geoId/51109,US,United States of America,VA,Virginia,51109,Louisa County,US,USA,2,,,,,,,35912,17774,18138,3979,3950,3789,4107,4352,5926,5344,3125,1340,1633329,37.99,-77.96,1323,77.566667,,,,,5.77,6.87,14.57,7.97,5.5,6.32,20.89,14.02,,13.47,,6.6,5.22,4.95,4.12,6.6,24.47,6.87,7.7,,6.6,42.34,,6.05,6.05,4.4,,4.144444,-2.794444,13.5,0.0,-2.462963,64.314667
US_VA_51109,2020-01-03,ChIJM-YQMED8s4kRu9b-4i_3E_w,Q515166,geoId/51109,US,United States of America,VA,Virginia,51109,Louisa County,US,USA,2,,,,,,,35912,17774,18138,3979,3950,3789,4107,4352,5926,5344,3125,1340,1633329,37.99,-77.96,1323,77.566667,,,,,5.53,8.57,12.72,5.26,4.7,4.98,17.7,10.79,4.43,8.02,4.98,6.64,4.43,8.3,5.53,8.57,26.0,8.02,8.02,5.81,4.98,39.0,,8.57,6.92,,4.15,10.033333,7.488889,12.366667,2.50825,6.395062,77.017652
US_VA_51109,2020-01-04,ChIJM-YQMED8s4kRu9b-4i_3E_w,Q515166,geoId/51109,US,United States of America,VA,Virginia,51109,Louisa County,US,USA,2,,,,,,,35912,17774,18138,3979,3950,3789,4107,4352,5926,5344,3125,1340,1633329,37.99,-77.96,1323,77.566667,,,,,4.94,9.32,9.05,7.41,8.23,6.31,16.18,8.5,6.03,6.86,3.84,,6.31,3.84,4.39,9.32,20.3,,7.41,,5.21,47.17,,3.84,4.11,3.84,,12.916667,8.938889,16.666667,3.65125,11.765432,92.495549
US_VA_51109,2020-01-05,ChIJM-YQMED8s4kRu9b-4i_3E_w,Q515166,geoId/51109,US,United States of America,VA,Virginia,51109,Louisa County,US,USA,2,,,,,,,35912,17774,18138,3979,3950,3789,4107,4352,5926,5344,3125,1340,1633329,37.99,-77.96,1323,77.566667,,,,,6.99,9.51,9.23,7.83,7.83,6.71,19.02,11.47,,6.71,7.27,5.04,5.04,6.71,4.47,7.27,25.73,6.99,7.27,4.75,8.67,38.32,,6.99,4.75,,,6.488889,0.927778,12.744444,8.636,-1.475309,56.189562
US_VA_51109,2020-01-06,ChIJM-YQMED8s4kRu9b-4i_3E_w,Q515166,geoId/51109,US,United States of America,VA,Virginia,51109,Louisa County,US,USA,2,,,,,,,35912,17774,18138,3979,3950,3789,4107,4352,5926,5344,3125,1340,1633329,37.99,-77.96,1323,77.566667,,,,,6.05,7.1,8.42,5.53,,6.58,16.05,8.16,7.1,5.53,4.47,,5.0,,3.68,8.16,24.73,3.68,,,,38.41,,5.53,4.47,,3.68,4.238889,-2.083333,13.088889,0.0,-3.314815,59.74524
US_VA_51109,2020-01-07,ChIJM-YQMED8s4kRu9b-4i_3E_w,Q515166,geoId/51109,US,United States of America,VA,Virginia,51109,Louisa County,US,USA,2,,,,,,,35912,17774,18138,3979,3950,3789,4107,4352,5926,5344,3125,1340,1633329,37.99,-77.96,1323,77.566667,,,,,5.29,5.02,6.61,6.61,6.34,4.49,16.38,10.04,5.81,9.51,5.02,3.96,3.7,4.23,5.55,6.87,24.84,5.81,6.87,6.08,5.55,39.64,5.02,6.08,9.25,,4.76,0.138889,-3.938889,6.933333,3.846286,-3.469136,78.836335
US_VA_51109,2020-01-08,ChIJM-YQMED8s4kRu9b-4i_3E_w,Q515166,geoId/51109,US,United States of America,VA,Virginia,51109,Louisa County,US,USA,2,,,,,,,35912,17774,18138,3979,3950,3789,4107,4352,5926,5344,3125,1340,1633329,37.99,-77.96,1323,77.566667,,,,,6.49,6.19,10.91,5.31,5.31,9.14,15.04,9.73,,7.96,4.42,,5.9,,7.08,5.9,28.01,7.96,6.49,5.6,,44.52,5.01,5.31,,4.72,6.49,2.322222,-3.994444,9.211111,3.937,-4.160494,63.337696
US_VA_51109,2020-01-09,ChIJM-YQMED8s4kRu9b-4i_3E_w,Q515166,geoId/51109,US,United States of America,VA,Virginia,51109,Louisa County,US,USA,2,,,,,,,35912,17774,18138,3979,3950,3789,4107,4352,5926,5344,3125,1340,1633329,37.99,-77.96,1323,77.566667,,,,,5.88,9.89,9.89,9.09,5.62,5.62,13.91,7.22,4.01,8.56,4.55,4.81,,,,6.42,23.0,7.22,8.29,4.81,3.74,35.57,,9.09,11.23,6.15,,-0.438889,-6.038889,7.033333,0.0,-7.666667,58.997852
US_VA_51109,2020-01-10,ChIJM-YQMED8s4kRu9b-4i_3E_w,Q515166,geoId/51109,US,United States of America,VA,Virginia,51109,Louisa County,US,USA,2,,,,,,,35912,17774,18138,3979,3950,3789,4107,4352,5926,5344,3125,1340,1633329,37.99,-77.96,1323,77.566667,,,,,3.67,8.14,11.81,6.3,,7.35,11.02,7.09,7.87,9.45,7.09,6.3,5.25,3.67,3.67,6.56,27.3,7.87,6.04,4.2,3.94,37.27,4.72,7.09,5.51,5.25,3.94,5.3,-3.011111,15.455556,0.0,-0.055556,68.30243
