location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55067,2020-01-01,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,9.16,,18.9,13.17,21.19,,38.37,,-9.777778,-16.011111,-1.461111,0.145143,265.43,-11.511111,87.21562
US_WI_55067,2020-01-02,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,7.05,16.92,11.28,26.32,,42.78,,-0.311111,-3.811111,2.161111,0.0,265.43,-1.855556,89.467037
US_WI_55067,2020-01-03,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,7.95,10.75,,16.36,7.01,35.52,7.48,-1.311111,-3.338889,1.194444,0.0,255.27,-4.733333,77.73377
US_WI_55067,2020-01-04,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,8.38,,10.61,,30.73,,36.87,9.5,-4.177778,-5.794444,-2.011111,0.0,255.27,-6.75,82.526334
US_WI_55067,2020-01-05,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,,13.82,,24.18,9.79,45.48,,-4.15,-5.872222,-0.483333,0.5715,240.03,-5.955556,87.360405
US_WI_55067,2020-01-06,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,9.04,15.7,,27.59,,29.01,,-3.622222,-7.466667,0.388889,0.790222,289.56,-8.216667,70.678765
US_WI_55067,2020-01-07,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,7.16,18.62,7.64,26.73,,38.19,,-3.088889,-7.138889,-0.427778,0.0,265.43,-7.888889,69.625462
US_WI_55067,2020-01-08,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,,12.95,11.03,21.59,7.2,33.1,7.67,-14.016667,-19.1,-5.566667,0.028222,265.43,-19.744444,62.252483
US_WI_55067,2020-01-09,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,7.93,9.34,14.94,8.4,30.34,,36.41,9.34,-6.333333,-13.972222,0.927778,0.181429,255.27,-9.355556,79.19813
US_WI_55067,2020-01-10,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,7.11,17.07,7.59,23.24,,40.78,,-1.938889,-6.327778,1.944444,0.197556,240.03,-4.527778,82.554109
US_WI_55067,2020-01-11,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,11.55,16.75,8.66,19.06,,41.01,,-7.7,-11.427778,-2.816667,0.0,240.03,-12.827778,66.791907
US_WI_55067,2020-01-12,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,11.94,13.07,,33.53,,35.8,10.23,-11.677778,-19.172222,-6.405556,0.0,240.03,-15.288889,74.631594
US_WI_55067,2020-01-13,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,10.4,8.51,8.04,19.38,,35.93,7.09,-6.472222,-9.3,-3.272222,0.979714,264.16,-8.572222,85.061991
US_WI_55067,2020-01-14,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,7.23,12.04,10.12,18.79,,36.13,10.12,-2.766667,-5.261111,-0.022222,0.943429,264.16,-3.966667,91.5115
US_WI_55067,2020-01-15,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,9.96,8.06,18.5,8.54,21.82,,31.31,10.44,-4.238889,-7.038889,-1.711111,0.635,264.16,-6.866667,81.961476
US_WI_55067,2020-01-16,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,9.42,14.6,9.89,19.78,,26.37,7.53,-12.25,-19.255556,-3.038889,0.084667,274.32,-16.527778,70.546619
US_WI_55067,2020-01-17,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,,16.08,7.57,28.85,,28.38,,-17.288889,-24.866667,-6.161111,0.0,264.16,-20.244444,77.792024
US_WI_55067,2020-01-18,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,9.09,15.75,9.09,27.26,,46.04,12.12,-4.194444,-7.894444,-2.1,1.161143,314.96,-5.966667,87.491186
US_WI_55067,2020-01-19,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,14.63,14.63,,22.82,,40.37,,-9.505556,-13.455556,-4.155556,2.794,394.97,-13.055556,75.480849
US_WI_55067,2020-01-20,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,8.39,22.38,,27.42,11.75,38.61,10.63,-8.938889,-15.916667,-4.755556,0.0,394.97,-12.255556,77.071714
US_WI_55067,2020-01-21,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,,19.06,10.09,24.11,10.09,45.97,,-12.694444,-19.494444,-5.061111,0.0508,394.97,-15.75,77.950821
US_WI_55067,2020-01-22,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,8.34,11.77,10.79,25.51,,30.41,,-5.244444,-9.8,-0.594444,2.0955,381.0,-8.077778,80.579933
US_WI_55067,2020-01-23,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,8.04,24.62,7.54,33.66,,34.66,7.54,-1.761111,-3.833333,-0.65,6.531429,444.5,-2.722222,93.221021
US_WI_55067,2020-01-24,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,,25.83,,26.79,,34.44,10.52,-0.505556,-1.933333,0.672222,1.161143,495.3,-1.15,95.439696
US_WI_55067,2020-01-25,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,,,19.0,10.13,31.03,,34.83,,0.055556,-0.905556,1.327778,2.830286,505.46,-0.722222,94.547161
US_WI_55067,2020-01-26,ChIJ_bQO3li-VE0R8XF-n_yK0Hc,Q495326,geoId/55067,US,United States of America,WI,Wisconsin,55067,Langlade County,US,USA,2,,,,,,,19175,9642,9533,1997,2180,1777,1970,2024,3145,2997,1880,1205,1799706,45.216667,-89.0,2300,,,,,12.27,12.27,25.65,10.04,24.53,,40.14,10.04,-0.85,-2.0,0.566667,1.397,505.46,-2.172222,90.847636
