location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IA_19191,2020-01-01,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,8.66,19.37,,7.65,15.29,,12.23,20.9,,,37.72,,,-4.777778,-10.583333,4.016667,0.0508,53.34,-7.744444,80.057812
US_IA_19191,2020-01-02,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,,,8.02,,15.14,9.35,7.13,24.94,,,45.43,,8.46,2.583333,0.805556,4.85,0.0,53.34,0.027778,83.665192
US_IA_19191,2020-01-03,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,,,8.72,,14.39,,,18.32,7.85,6.54,36.2,6.54,8.29,0.122222,-1.622222,2.494444,0.0,50.8,-1.938889,86.386964
US_IA_19191,2020-01-04,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,7.52,,,,15.03,,,25.55,,13.03,37.58,8.52,,-2.416667,-5.138889,0.683333,0.719667,30.48,-4.222222,87.745814
US_IA_19191,2020-01-05,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,9.13,9.59,7.31,,18.73,7.31,,33.34,,7.31,37.91,,,-1.166667,-5.077778,3.9,0.0508,30.48,-3.933333,81.900274
US_IA_19191,2020-01-06,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,10.23,9.53,5.29,6.35,13.06,5.65,4.94,31.76,7.41,,39.53,,8.82,-1.866667,-6.483333,3.088889,0.254,30.48,-6.355556,71.878302
US_IA_19191,2020-01-07,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,,10.26,8.13,5.3,14.5,7.43,11.67,28.3,4.95,,39.61,6.37,,-1.511111,-5.144444,1.338889,0.0,,-4.655556,79.563496
US_IA_19191,2020-01-08,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,6.92,8.74,8.74,,13.83,11.65,8.37,25.12,7.64,7.64,38.95,8.01,7.28,-10.872222,-15.566667,-2.688889,0.0508,,-16.055556,66.091018
US_IA_19191,2020-01-09,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,13.18,7.69,9.15,,15.37,6.95,8.05,22.33,9.52,5.49,31.11,5.49,,-1.561111,-9.944444,8.366667,0.0,30.48,-6.583333,68.990253
US_IA_19191,2020-01-10,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,8.63,10.79,7.91,,16.18,,,22.65,,5.39,30.56,5.03,5.75,-2.205556,-4.866667,5.666667,0.0254,30.48,-4.733333,83.278214
