location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18027,2020-01-01,ChIJE_9QATrabYgRL8NN1vVVlj8,Q220005,geoId/18027,US,United States of America,IN,Indiana,18027,Daviess County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33136,16703,16433,5471,5046,4206,3862,3565,4067,3540,2124,1255,1482336,38.7,-87.08,1131,76.971429,,,,,5.67,7.45,9.93,,6.03,7.09,16.67,8.51,7.45,,,7.09,23.05,7.45,8.51,,36.17,7.45,4.96,3.222222,-1.305556,9.738889,0.0,,-2.037037,68.303119
US_IN_18027,2020-01-02,ChIJE_9QATrabYgRL8NN1vVVlj8,Q220005,geoId/18027,US,United States of America,IN,Indiana,18027,Daviess County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33136,16703,16433,5471,5046,4206,3862,3565,4067,3540,2124,1255,1482336,38.7,-87.08,1131,76.971429,,,,,9.04,10.01,7.42,8.07,5.81,6.78,18.4,11.95,9.69,6.13,,9.69,23.57,6.78,9.04,,45.52,5.17,8.39,6.933333,1.5,10.838889,0.366889,,0.771605,65.317842
US_IN_18027,2020-01-03,ChIJE_9QATrabYgRL8NN1vVVlj8,Q220005,geoId/18027,US,United States of America,IN,Indiana,18027,Daviess County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33136,16703,16433,5471,5046,4206,3862,3565,4067,3540,2124,1255,1482336,38.7,-87.08,1131,76.971429,,,,,,8.45,7.83,6.89,4.38,5.32,15.03,10.33,10.96,,,8.45,26.61,,6.26,5.63,32.24,5.95,,8.594444,5.394444,9.933333,9.9568,,7.950617,96.091671
US_IN_18027,2020-01-04,ChIJE_9QATrabYgRL8NN1vVVlj8,Q220005,geoId/18027,US,United States of America,IN,Indiana,18027,Daviess County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33136,16703,16433,5471,5046,4206,3862,3565,4067,3540,2124,1255,1482336,38.7,-87.08,1131,76.971429,,,,,6.53,4.81,4.81,7.21,9.62,,18.55,7.21,9.27,,4.81,5.15,18.2,,,,38.81,,5.84,3.316667,1.377778,7.277778,2.9972,,1.395062,87.406047
US_IN_18027,2020-01-05,ChIJE_9QATrabYgRL8NN1vVVlj8,Q220005,geoId/18027,US,United States of America,IN,Indiana,18027,Daviess County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33136,16703,16433,5471,5046,4206,3862,3565,4067,3540,2124,1255,1482336,38.7,-87.08,1131,76.971429,,,,,7.01,7.36,8.77,4.91,,,11.57,13.32,6.31,5.26,9.47,5.26,24.89,7.71,8.77,5.61,39.62,7.01,10.87,1.983333,-3.572222,10.383333,0.5588,,-1.907407,75.17155
US_IN_18027,2020-01-06,ChIJE_9QATrabYgRL8NN1vVVlj8,Q220005,geoId/18027,US,United States of America,IN,Indiana,18027,Daviess County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33136,16703,16433,5471,5046,4206,3862,3565,4067,3540,2124,1255,1482336,38.7,-87.08,1131,76.971429,,,,,5.92,6.18,5.92,4.38,,4.63,9.53,5.92,10.04,4.38,4.12,7.47,21.11,4.89,6.95,7.72,35.27,7.98,5.92,3.344444,-3.211111,9.177778,0.1778,,-2.944444,63.579586
US_IN_18027,2020-01-07,ChIJE_9QATrabYgRL8NN1vVVlj8,Q220005,geoId/18027,US,United States of America,IN,Indiana,18027,Daviess County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33136,16703,16433,5471,5046,4206,3862,3565,4067,3540,2124,1255,1482336,38.7,-87.08,1131,76.971429,,,,,5.34,4.01,9.08,5.08,4.01,,10.42,5.34,10.69,5.34,,10.15,20.04,4.54,10.15,6.95,35.54,6.14,,1.861111,-3.683333,8.588889,0.0254,,-3.462963,68.438763
US_IN_18027,2020-01-08,ChIJE_9QATrabYgRL8NN1vVVlj8,Q220005,geoId/18027,US,United States of America,IN,Indiana,18027,Daviess County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33136,16703,16433,5471,5046,4206,3862,3565,4067,3540,2124,1255,1482336,38.7,-87.08,1131,76.971429,,,,,6.51,6.78,6.78,10.04,5.15,8.41,8.95,,9.49,5.15,,10.31,28.21,5.97,7.32,4.88,36.07,8.41,5.97,2.0,-2.422222,6.411111,0.0,,-6.364198,54.459611
US_IN_18027,2020-01-09,ChIJE_9QATrabYgRL8NN1vVVlj8,Q220005,geoId/18027,US,United States of America,IN,Indiana,18027,Daviess County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33136,16703,16433,5471,5046,4206,3862,3565,4067,3540,2124,1255,1482336,38.7,-87.08,1131,76.971429,,,,,,8.79,10.44,10.99,,5.22,12.91,7.97,14.29,7.14,4.67,5.49,33.79,4.39,4.95,,36.26,12.36,,4.933333,-1.255556,13.188889,0.028222,,-4.308642,51.015147
US_IN_18027,2020-01-10,ChIJE_9QATrabYgRL8NN1vVVlj8,Q220005,geoId/18027,US,United States of America,IN,Indiana,18027,Daviess County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33136,16703,16433,5471,5046,4206,3862,3565,4067,3540,2124,1255,1482336,38.7,-87.08,1131,76.971429,,,,,5.21,7.55,7.03,,5.21,4.69,10.41,4.95,9.63,4.69,3.9,10.68,28.38,6.51,5.47,5.99,34.89,8.07,6.25,11.672222,6.3,14.194444,19.2532,,8.290123,80.200877
