location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IL_17075,2020-01-01,ChIJQd5V1dmiDYgRgNXq21Ht1TY,Q491011,geoId/17075,US,United States of America,IL,Illinois,17075,Iroquois County,US,USA,2,,,,,,,27777,13628,14149,3146,3521,2908,3003,3173,4073,3758,2539,1656,1800375,40.74,-87.82,2896,77.766667,,,,,,,8.14,9.25,5.55,15.54,,7.4,24.79,,,33.3,5.55,,0.5,-4.796296,7.265432,0.0,-2.638889,79.889749
US_IL_17075,2020-01-02,ChIJQd5V1dmiDYgRgNXq21Ht1TY,Q491011,geoId/17075,US,United States of America,IL,Illinois,17075,Iroquois County,US,USA,2,,,,,,,27777,13628,14149,3146,3521,2908,3003,3173,4073,3758,2539,1656,1800375,40.74,-87.82,2896,77.766667,,,,,,9.83,8.69,9.07,8.31,17.39,,9.83,29.86,7.94,6.05,43.09,6.05,6.05,5.203704,1.567901,9.839506,0.0,0.361111,70.718318
US_IL_17075,2020-01-03,ChIJQd5V1dmiDYgRgNXq21Ht1TY,Q491011,geoId/17075,US,United States of America,IL,Illinois,17075,Iroquois County,US,USA,2,,,,,,,27777,13628,14149,3146,3521,2908,3003,3173,4073,3758,2539,1656,1800375,40.74,-87.82,2896,77.766667,,,,,,7.8,9.29,9.29,,17.09,10.4,8.92,28.98,6.32,6.69,45.33,8.55,,4.12963,1.493827,7.209877,0.0,3.138889,93.055699
US_IL_17075,2020-01-04,ChIJQd5V1dmiDYgRgNXq21Ht1TY,Q491011,geoId/17075,US,United States of America,IL,Illinois,17075,Iroquois County,US,USA,2,,,,,,,27777,13628,14149,3146,3521,2908,3003,3173,4073,3758,2539,1656,1800375,40.74,-87.82,2896,77.766667,,,,,,5.65,9.04,,,11.68,9.42,,21.1,6.78,5.65,38.8,,5.65,0.811111,-0.533333,2.855556,0.338667,-0.925926,88.464093
US_IL_17075,2020-01-05,ChIJQd5V1dmiDYgRgNXq21Ht1TY,Q491011,geoId/17075,US,United States of America,IL,Illinois,17075,Iroquois County,US,USA,2,,,,,,,27777,13628,14149,3146,3521,2908,3003,3173,4073,3758,2539,1656,1800375,40.74,-87.82,2896,77.766667,,,,,,8.32,6.43,8.32,7.18,15.88,7.18,7.56,23.06,,,37.81,,,0.327778,-4.288889,7.638889,0.0254,-3.185185,77.356543
US_IL_17075,2020-01-06,ChIJQd5V1dmiDYgRgNXq21Ht1TY,Q491011,geoId/17075,US,United States of America,IL,Illinois,17075,Iroquois County,US,USA,2,,,,,,,27777,13628,14149,3146,3521,2908,3003,3173,4073,3758,2539,1656,1800375,40.74,-87.82,2896,77.766667,,,,,,,6.94,5.84,,13.15,6.94,6.58,33.24,,6.21,38.72,6.21,,0.527778,-4.683333,5.455556,0.0,-3.598765,73.779527
US_IL_17075,2020-01-07,ChIJQd5V1dmiDYgRgNXq21Ht1TY,Q491011,geoId/17075,US,United States of America,IL,Illinois,17075,Iroquois County,US,USA,2,,,,,,,27777,13628,14149,3146,3521,2908,3003,3173,4073,3758,2539,1656,1800375,40.74,-87.82,2896,77.766667,,,,,,7.07,13.12,,7.07,14.47,6.73,5.05,31.63,4.71,5.72,39.04,5.38,6.73,-0.111111,-5.244444,6.027778,0.0508,-3.895062,75.727997
US_IL_17075,2020-01-08,ChIJQd5V1dmiDYgRgNXq21Ht1TY,Q491011,geoId/17075,US,United States of America,IL,Illinois,17075,Iroquois County,US,USA,2,,,,,,,27777,13628,14149,3146,3521,2908,3003,3173,4073,3758,2539,1656,1800375,40.74,-87.82,2896,77.766667,,,,,,6.02,10.71,5.35,4.68,12.71,10.71,5.69,24.76,5.69,5.69,29.77,11.04,,-2.583333,-6.838889,2.638889,0.0508,-8.734568,62.86049
US_IL_17075,2020-01-09,ChIJQd5V1dmiDYgRgNXq21Ht1TY,Q491011,geoId/17075,US,United States of America,IL,Illinois,17075,Iroquois County,US,USA,2,,,,,,,27777,13628,14149,3146,3521,2908,3003,3173,4073,3758,2539,1656,1800375,40.74,-87.82,2896,77.766667,,,,,,5.46,8.87,9.55,6.14,9.55,7.84,7.84,30.7,4.78,,33.77,8.87,,1.416667,-4.983333,10.711111,0.127,-4.808642,63.568394
US_IL_17075,2020-01-10,ChIJQd5V1dmiDYgRgNXq21Ht1TY,Q491011,geoId/17075,US,United States of America,IL,Illinois,17075,Iroquois County,US,USA,2,,,,,,,27777,13628,14149,3146,3521,2908,3003,3173,4073,3758,2539,1656,1800375,40.74,-87.82,2896,77.766667,,,,,,4.64,7.62,8.62,7.96,13.59,6.63,,22.54,5.97,,31.83,5.3,,9.65,6.811111,12.822222,8.019143,8.197531,90.930185
