location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13191,2020-01-01,ChIJN7KqIl8u-4gRmjuitsfp_PQ,Q492652,geoId/13191,US,United States of America,GA,Georgia,13191,McIntosh County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14080,6910,7170,1189,1397,1505,1321,1592,2198,2411,1692,775,1073923,31.48,-81.37,1488,77.366667,,,,,22.97,55.65,10.858025,5.833333,17.222222,0.0,,0.842593,52.51927
US_GA_13191,2020-01-02,ChIJN7KqIl8u-4gRmjuitsfp_PQ,Q492652,geoId/13191,US,United States of America,GA,Georgia,13191,McIntosh County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14080,6910,7170,1189,1397,1505,1321,1592,2198,2411,1692,775,1073923,31.48,-81.37,1488,77.366667,,,,,40.67,31.72,12.388889,6.679012,19.919753,0.0,,5.425926,65.512587
US_GA_13191,2020-01-03,ChIJN7KqIl8u-4gRmjuitsfp_PQ,Q492652,geoId/13191,US,United States of America,GA,Georgia,13191,McIntosh County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14080,6910,7170,1189,1397,1505,1321,1592,2198,2411,1692,775,1073923,31.48,-81.37,1488,77.366667,,,,,18.95,37.91,19.851852,12.296296,25.296296,0.0,,16.314815,80.10586
US_GA_13191,2020-01-04,ChIJN7KqIl8u-4gRmjuitsfp_PQ,Q492652,geoId/13191,US,United States of America,GA,Georgia,13191,McIntosh County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14080,6910,7170,1189,1397,1505,1321,1592,2198,2411,1692,775,1073923,31.48,-81.37,1488,77.366667,,,,,33.2,30.71,20.320988,17.0,23.407407,1.0795,,16.361111,78.515484
US_GA_13191,2020-01-05,ChIJN7KqIl8u-4gRmjuitsfp_PQ,Q492652,geoId/13191,US,United States of America,GA,Georgia,13191,McIntosh County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14080,6910,7170,1189,1397,1505,1321,1592,2198,2411,1692,775,1073923,31.48,-81.37,1488,77.366667,,,,,23.39,38.68,10.666667,4.41358,20.277778,5.588,,-0.574074,47.497633
US_GA_13191,2020-01-06,ChIJN7KqIl8u-4gRmjuitsfp_PQ,Q492652,geoId/13191,US,United States of America,GA,Georgia,13191,McIntosh County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14080,6910,7170,1189,1397,1505,1321,1592,2198,2411,1692,775,1073923,31.48,-81.37,1488,77.366667,,,,,39.24,59.79,10.481481,4.475309,20.148148,0.0,,2.898148,62.344137
US_GA_13191,2020-01-07,ChIJN7KqIl8u-4gRmjuitsfp_PQ,Q492652,geoId/13191,US,United States of America,GA,Georgia,13191,McIntosh County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14080,6910,7170,1189,1397,1505,1321,1592,2198,2411,1692,775,1073923,31.48,-81.37,1488,77.366667,,,,,25.58,66.91,13.030864,6.62963,20.67284,0.0,,6.759259,68.378664
US_GA_13191,2020-01-08,ChIJN7KqIl8u-4gRmjuitsfp_PQ,Q492652,geoId/13191,US,United States of America,GA,Georgia,13191,McIntosh County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14080,6910,7170,1189,1397,1505,1321,1592,2198,2411,1692,775,1073923,31.48,-81.37,1488,77.366667,,,,,18.95,37.04,10.944444,3.407407,19.345679,0.0,,-0.759259,46.331593
US_GA_13191,2020-01-09,ChIJN7KqIl8u-4gRmjuitsfp_PQ,Q492652,geoId/13191,US,United States of America,GA,Georgia,13191,McIntosh County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14080,6910,7170,1189,1397,1505,1321,1592,2198,2411,1692,775,1073923,31.48,-81.37,1488,77.366667,,,,14.06,31.63,45.69,10.962963,3.401235,21.567901,0.0,,5.037037,71.660641
US_GA_13191,2020-01-10,ChIJN7KqIl8u-4gRmjuitsfp_PQ,Q492652,geoId/13191,US,United States of America,GA,Georgia,13191,McIntosh County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14080,6910,7170,1189,1397,1505,1321,1592,2198,2411,1692,775,1073923,31.48,-81.37,1488,77.366667,,,,,31.34,39.8,18.04321,14.876543,23.265432,0.0,,13.518519,77.96571
