location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_KY_21013,2020-01-01,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,10.0,13.75,12.5,,21.26,11.67,9.59,31.68,,7.5,49.6,8.34,,5.17284,0.598765,9.679012,0.0,-3.08642,55.224976
US_KY_21013,2020-01-02,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,7.69,9.61,8.46,,21.91,5.76,10.76,29.59,,11.14,49.19,11.53,6.92,4.524691,-0.0,7.95679,1.415143,-0.222222,71.875281
US_KY_21013,2020-01-03,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,10.14,14.82,9.36,5.85,17.16,11.7,9.75,29.25,6.63,10.14,47.98,8.58,9.75,9.0,5.388889,11.753086,16.256,8.791667,98.036752
US_KY_21013,2020-01-04,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,7.99,14.72,6.31,,18.93,11.36,8.41,29.03,6.31,8.84,50.48,7.99,13.88,9.111111,1.845679,12.882716,5.479143,7.17284,87.770801
US_KY_21013,2020-01-05,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,7.58,8.42,10.1,6.73,26.09,8.42,,30.72,8.0,10.1,49.24,8.42,,3.259259,0.611111,9.296296,0.580571,-2.246914,67.358046
US_KY_21013,2020-01-06,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,10.17,8.14,11.53,,22.72,9.49,7.46,26.79,6.78,7.46,35.61,8.14,7.12,3.518519,-2.654321,11.018519,0.0,-2.567901,64.628729
US_KY_21013,2020-01-07,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,9.4,16.11,9.4,4.7,19.14,10.07,13.76,26.18,4.7,9.4,39.95,7.38,5.71,4.376543,-0.111111,9.666667,2.503714,-0.938272,68.76042
US_KY_21013,2020-01-08,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,,11.74,7.95,6.56,16.24,9.33,,29.02,11.05,5.18,36.62,11.4,5.53,4.919753,-0.654321,11.475309,0.254,-3.975309,52.764077
US_KY_21013,2020-01-09,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,8.74,11.43,7.73,6.38,19.83,12.1,5.71,35.62,,8.06,37.63,14.45,7.06,4.135802,-2.876543,14.432099,0.0,-2.12963,64.096099
US_KY_21013,2020-01-10,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,6.55,12.06,14.82,,13.44,9.31,11.37,41.36,,5.17,35.5,9.65,4.83,12.32716,8.314815,16.919753,0.0,4.074074,57.446304
US_KY_21013,2020-01-11,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,11.59,10.76,9.52,,19.45,14.07,12.83,33.1,8.28,12.83,45.11,8.69,,17.611111,12.209877,22.808642,2.612571,12.117284,70.329529
US_KY_21013,2020-01-12,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,11.42,13.11,7.61,,19.87,11.42,6.34,29.18,,8.88,46.51,11.42,6.77,11.925926,6.759259,18.814815,10.16,7.481481,74.45229
US_KY_21013,2020-01-13,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,5.96,10.6,5.63,5.3,17.88,9.93,10.27,33.11,5.96,7.29,40.4,7.95,6.95,6.95679,2.623457,14.530864,0.0,5.277778,89.18354
US_KY_21013,2020-01-14,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,7.4,8.37,8.69,4.5,20.59,10.3,8.37,73.69,10.62,7.72,38.94,9.01,,12.493827,8.858025,15.148148,4.354286,11.691358,94.91102
US_KY_21013,2020-01-15,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,8.39,10.06,11.07,5.7,19.46,6.04,11.41,37.91,6.71,,37.24,6.71,6.04,13.777778,11.048611,17.069444,2.074333,13.229167,96.543982
US_KY_21013,2020-01-16,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,7.63,5.72,9.54,4.77,14.94,15.26,10.17,25.75,6.99,7.63,45.78,,,10.993056,5.993056,16.541667,1.016,4.784722,65.682296
US_KY_21013,2020-01-17,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,7.69,11.71,,5.02,15.39,10.7,8.36,27.43,6.69,5.35,39.81,5.69,8.03,1.534722,-2.145833,5.972222,0.0,-7.388889,51.810574
US_KY_21013,2020-01-18,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,10.81,6.41,8.01,,14.81,8.41,8.41,32.03,9.61,10.01,40.03,9.21,,6.583333,2.305556,9.236111,0.931333,-2.319444,53.208278
US_KY_21013,2020-01-19,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,9.49,11.15,8.26,,15.69,6.19,7.43,30.55,9.91,7.84,49.95,8.67,9.08,2.333333,-3.031746,9.373016,4.354286,-3.531746,65.304337
US_KY_21013,2020-01-20,ChIJka5I0dGiXIgRrT8ryCgcKC0,Q491941,geoId/21013,US,United States of America,KY,Kentucky,21013,Bell County,US,USA,2,,,,,,,26863,13148,13715,3092,3150,3429,3033,3415,3854,3540,2231,1119,1846499,36.74,-83.67,936,74.211111,,,,,11.11,16.47,9.57,,19.92,9.96,8.04,40.98,6.51,5.75,47.88,8.43,5.36,-5.444444,-7.126984,-3.103175,0.0,-11.31746,63.513125
