location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13071,2020-01-01,ChIJmcR5Wg7m7YgRPxieQUHBCjE,Q113005,geoId/13071,US,United States of America,GA,Georgia,13071,Colquitt County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45480,22519,22961,6708,6402,5852,5855,5662,5608,4878,2994,1521,1027986,31.19,-83.77,1441,75.31,,,,,11.52,9.96,6.85,9.34,10.28,8.72,,5.61,21.49,4.36,12.14,6.85,6.23,12.14,7.16,10.28,4.98,8.1,5.92,,,9.65,28.65,8.41,,9.65,,4.36,5.29,54.18,4.98,5.61,9.34,5.29,9.34,,7.972222,1.338889,16.261111,0.0,0.569444,58.433818
US_GA_13071,2020-01-02,ChIJmcR5Wg7m7YgRPxieQUHBCjE,Q113005,geoId/13071,US,United States of America,GA,Georgia,13071,Colquitt County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45480,22519,22961,6708,6402,5852,5855,5662,5608,4878,2994,1521,1027986,31.19,-83.77,1441,75.31,,,,,7.29,14.87,5.05,15.43,10.38,5.89,7.01,5.89,25.24,,11.22,5.89,7.57,18.51,,6.45,7.57,,5.61,6.17,,14.3,33.94,7.85,3.93,12.9,4.77,7.85,8.7,48.24,6.73,8.7,7.01,8.13,7.57,4.77,13.538889,5.394444,23.972222,0.0254,6.520833,62.306648
US_GA_13071,2020-01-03,ChIJmcR5Wg7m7YgRPxieQUHBCjE,Q113005,geoId/13071,US,United States of America,GA,Georgia,13071,Colquitt County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45480,22519,22961,6708,6402,5852,5855,5662,5608,4878,2994,1521,1027986,31.19,-83.77,1441,75.31,,,,,8.02,12.17,,14.39,9.41,6.64,4.7,6.92,19.92,4.98,13.28,,6.64,11.62,4.15,8.58,5.81,6.64,8.85,6.92,,12.45,34.03,5.53,4.7,6.92,7.19,7.19,9.41,52.01,6.64,9.13,6.09,7.47,6.09,,22.505556,19.477778,26.622222,1.124857,19.548611,83.884381
US_GA_13071,2020-01-04,ChIJmcR5Wg7m7YgRPxieQUHBCjE,Q113005,geoId/13071,US,United States of America,GA,Georgia,13071,Colquitt County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45480,22519,22961,6708,6402,5852,5855,5662,5608,4878,2994,1521,1027986,31.19,-83.77,1441,75.31,,,,,6.08,11.24,8.2,10.63,7.59,7.59,6.68,,19.14,,10.63,4.25,,8.2,6.38,8.2,7.9,8.51,,4.25,7.29,10.33,30.68,9.11,5.16,10.63,,6.08,10.02,40.4,5.16,6.68,11.85,5.77,8.51,,18.466667,13.838889,24.472222,26.125714,15.458333,81.234372
US_GA_13071,2020-01-05,ChIJmcR5Wg7m7YgRPxieQUHBCjE,Q113005,geoId/13071,US,United States of America,GA,Georgia,13071,Colquitt County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45480,22519,22961,6708,6402,5852,5855,5662,5608,4878,2994,1521,1027986,31.19,-83.77,1441,75.31,,,,,7.04,12.24,5.2,13.46,10.1,7.34,7.04,,18.36,7.65,14.99,5.51,6.12,9.79,5.51,10.1,6.12,5.2,7.04,,4.28,8.87,29.37,8.57,,11.93,,4.28,9.49,47.73,4.28,8.57,,,5.2,6.43,8.527778,1.822222,14.716667,1.143,-0.638889,52.253456
US_GA_13071,2020-01-06,ChIJmcR5Wg7m7YgRPxieQUHBCjE,Q113005,geoId/13071,US,United States of America,GA,Georgia,13071,Colquitt County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45480,22519,22961,6708,6402,5852,5855,5662,5608,4878,2994,1521,1027986,31.19,-83.77,1441,75.31,,,,,6.18,8.87,5.64,13.44,8.33,6.72,7.79,4.57,11.55,4.03,13.7,,5.11,11.55,,7.52,6.72,6.45,5.91,7.25,,9.67,31.98,10.48,4.03,8.33,4.84,5.64,,47.56,5.91,9.4,5.64,6.18,7.25,5.11,8.55,1.477778,19.6,0.0,3.166667,67.761564
US_GA_13071,2020-01-07,ChIJmcR5Wg7m7YgRPxieQUHBCjE,Q113005,geoId/13071,US,United States of America,GA,Georgia,13071,Colquitt County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45480,22519,22961,6708,6402,5852,5855,5662,5608,4878,2994,1521,1027986,31.19,-83.77,1441,75.31,,,,,3.91,9.2,,11.51,6.67,,7.36,4.37,13.81,3.22,12.66,5.06,3.91,11.97,4.14,4.37,3.45,5.52,3.22,3.91,4.37,11.28,25.31,4.37,,4.83,,5.06,9.43,44.41,4.83,5.06,4.6,7.36,5.75,3.68,11.233333,4.227778,18.872222,0.0,6.069444,70.281576
US_GA_13071,2020-01-08,ChIJmcR5Wg7m7YgRPxieQUHBCjE,Q113005,geoId/13071,US,United States of America,GA,Georgia,13071,Colquitt County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45480,22519,22961,6708,6402,5852,5855,5662,5608,4878,2994,1521,1027986,31.19,-83.77,1441,75.31,,,,,5.88,6.53,3.7,10.45,5.01,6.53,5.44,4.79,14.37,3.05,10.02,,5.23,10.67,3.48,4.57,6.97,4.14,3.7,3.27,,10.45,36.37,7.62,5.66,7.4,5.01,3.27,6.75,35.28,3.92,13.5,5.01,6.1,6.1,5.23,8.433333,-0.322222,18.088889,0.0,-0.701389,51.977407
US_GA_13071,2020-01-09,ChIJmcR5Wg7m7YgRPxieQUHBCjE,Q113005,geoId/13071,US,United States of America,GA,Georgia,13071,Colquitt County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45480,22519,22961,6708,6402,5852,5855,5662,5608,4878,2994,1521,1027986,31.19,-83.77,1441,75.31,,,,,4.34,6.51,4.77,13.45,4.99,5.64,4.99,5.86,13.01,3.9,11.28,3.9,6.72,13.66,5.21,3.47,4.12,6.51,4.77,5.42,3.69,8.24,37.09,11.71,,7.59,4.55,6.29,9.54,40.34,,14.53,5.42,8.03,6.07,4.34,8.761111,-0.022222,21.561111,0.0,3.013889,66.019159
US_GA_13071,2020-01-10,ChIJmcR5Wg7m7YgRPxieQUHBCjE,Q113005,geoId/13071,US,United States of America,GA,Georgia,13071,Colquitt County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45480,22519,22961,6708,6402,5852,5855,5662,5608,4878,2994,1521,1027986,31.19,-83.77,1441,75.31,,,,,3.23,5.81,,10.98,8.39,5.6,4.74,4.3,13.99,,8.61,,5.17,7.1,3.66,3.66,4.95,3.23,6.46,,4.95,7.53,28.2,7.53,4.74,8.82,3.01,5.81,6.24,36.37,4.52,11.19,6.24,4.74,5.38,,17.65,12.805556,25.227778,0.0,12.888889,72.87754
