location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_PA_42031,2020-01-01,ChIJcUFYhLk2M4gRiTuqqefh1Xs,Q494198,geoId/42031,US,United States of America,PA,Pennsylvania,42031,Clarion County,US,USA,2,,,,,,,38998,19109,19889,4013,5048,6069,3924,4320,5422,5121,3130,1951,416697,41.19,-79.42,1577,79.18,,,,,7.89,10.1,,7.89,10.41,6.94,6.94,5.36,20.19,11.99,7.89,6.63,7.26,5.36,6.94,6.31,5.05,6.63,5.05,23.03,7.89,6.94,6.94,4.42,7.26,44.49,5.36,9.15,7.89,,,-1.683333,-3.422222,2.522222,1.143,-5.75,73.835395
US_PA_42031,2020-01-02,ChIJcUFYhLk2M4gRiTuqqefh1Xs,Q494198,geoId/42031,US,United States of America,PA,Pennsylvania,42031,Clarion County,US,USA,2,,,,,,,38998,19109,19889,4013,5048,6069,3924,4320,5422,5121,3130,1951,416697,41.19,-79.42,1577,79.18,,,,,,8.32,8.62,13.37,8.32,6.24,7.72,,21.1,14.56,,11.29,6.54,6.54,7.13,,4.16,4.46,9.51,30.31,5.05,5.35,4.75,5.64,8.32,40.11,,8.32,7.13,4.46,4.75,1.883333,-3.1,7.65,0.0254,-4.033333,64.971547
US_PA_42031,2020-01-03,ChIJcUFYhLk2M4gRiTuqqefh1Xs,Q494198,geoId/42031,US,United States of America,PA,Pennsylvania,42031,Clarion County,US,USA,2,,,,,,,38998,19109,19889,4013,5048,6069,3924,4320,5422,5121,3130,1951,416697,41.19,-79.42,1577,79.18,,,,,7.03,12.01,5.27,9.08,5.57,,4.98,,16.4,8.79,6.15,9.66,4.69,6.15,5.27,,5.86,6.74,11.42,29.58,6.44,8.79,5.27,,5.57,43.35,,5.86,4.69,,5.57,7.855556,3.25,9.405556,1.68275,6.372222,90.428651
US_PA_42031,2020-01-04,ChIJcUFYhLk2M4gRiTuqqefh1Xs,Q494198,geoId/42031,US,United States of America,PA,Pennsylvania,42031,Clarion County,US,USA,2,,,,,,,38998,19109,19889,4013,5048,6069,3924,4320,5422,5121,3130,1951,416697,41.19,-79.42,1577,79.18,,,,,,6.28,,7.85,8.16,6.28,5.34,6.28,20.1,10.05,4.4,9.74,,6.59,6.28,4.71,,,6.59,22.61,5.97,8.79,,4.4,7.22,43.97,,9.11,7.22,6.28,5.65,5.822222,0.883333,9.127778,6.31825,4.955556,94.231779
US_PA_42031,2020-01-05,ChIJcUFYhLk2M4gRiTuqqefh1Xs,Q494198,geoId/42031,US,United States of America,PA,Pennsylvania,42031,Clarion County,US,USA,2,,,,,,,38998,19109,19889,4013,5048,6069,3924,4320,5422,5121,3130,1951,416697,41.19,-79.42,1577,79.18,,,,,4.91,14.72,,12.27,9.51,6.13,8.59,5.83,18.1,11.96,,7.36,6.75,,4.91,7.05,5.21,5.83,7.05,25.46,7.67,11.35,4.91,5.83,7.05,46.01,,7.36,5.52,,4.6,-1.366667,-2.438889,3.422222,0.979714,-4.416667,79.856864
US_PA_42031,2020-01-06,ChIJcUFYhLk2M4gRiTuqqefh1Xs,Q494198,geoId/42031,US,United States of America,PA,Pennsylvania,42031,Clarion County,US,USA,2,,,,,,,38998,19109,19889,4013,5048,6069,3924,4320,5422,5121,3130,1951,416697,41.19,-79.42,1577,79.18,,,,,4.31,7.55,6.2,9.7,10.24,,8.36,6.74,15.1,9.97,,10.78,5.93,6.74,5.66,5.66,,4.31,9.7,26.15,4.85,6.74,5.66,5.66,5.66,42.59,,7.28,5.12,4.04,5.12,1.505556,-1.883333,4.194444,0.564444,-3.861111,67.586681
US_PA_42031,2020-01-07,ChIJcUFYhLk2M4gRiTuqqefh1Xs,Q494198,geoId/42031,US,United States of America,PA,Pennsylvania,42031,Clarion County,US,USA,2,,,,,,,38998,19109,19889,4013,5048,6069,3924,4320,5422,5121,3130,1951,416697,41.19,-79.42,1577,79.18,,,,,6.46,7.75,4.91,9.04,5.94,5.42,3.87,5.94,16.01,8.26,,9.55,4.39,6.71,,,,,10.07,30.98,,7.23,,4.65,7.23,47.25,,5.68,8.52,3.62,8.78,-0.855556,-4.694444,3.261111,0.141111,-5.327778,71.909536
US_PA_42031,2020-01-08,ChIJcUFYhLk2M4gRiTuqqefh1Xs,Q494198,geoId/42031,US,United States of America,PA,Pennsylvania,42031,Clarion County,US,USA,2,,,,,,,38998,19109,19889,4013,5048,6069,3924,4320,5422,5121,3130,1951,416697,41.19,-79.42,1577,79.18,,,,,,6.37,5.86,10.19,6.62,4.33,,,16.04,10.7,,9.68,3.82,5.09,4.84,,4.58,4.07,6.37,27.25,5.86,4.58,3.56,4.58,6.37,38.2,4.07,,4.58,3.82,6.37,-1.783333,-5.655556,1.755556,0.798286,-6.8,68.947996
US_PA_42031,2020-01-09,ChIJcUFYhLk2M4gRiTuqqefh1Xs,Q494198,geoId/42031,US,United States of America,PA,Pennsylvania,42031,Clarion County,US,USA,2,,,,,,,38998,19109,19889,4013,5048,6069,3924,4320,5422,5121,3130,1951,416697,41.19,-79.42,1577,79.18,,,,,5.63,5.12,,10.76,6.66,7.17,5.38,5.63,13.83,9.99,9.22,11.78,4.1,8.2,4.1,,4.36,4.1,10.5,19.47,6.66,6.92,5.63,4.61,8.2,41.5,4.61,4.1,5.38,8.2,5.38,-5.511111,-11.4,1.677778,0.112889,-11.633333,62.154839
US_PA_42031,2020-01-10,ChIJcUFYhLk2M4gRiTuqqefh1Xs,Q494198,geoId/42031,US,United States of America,PA,Pennsylvania,42031,Clarion County,US,USA,2,,,,,,,38998,19109,19889,4013,5048,6069,3924,4320,5422,5121,3130,1951,416697,41.19,-79.42,1577,79.18,,,,,6.74,8.04,3.63,10.37,12.71,8.3,,4.15,17.38,5.45,5.19,9.6,,5.96,,3.89,,5.96,8.82,23.34,7.52,7.0,4.15,7.78,5.45,31.64,4.93,8.82,5.45,,,5.111111,-0.761111,9.327778,0.290286,-0.783333,66.145732
