location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WV_54009,2020-01-12,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,6.39,6.75,7.11,,,12.43,10.3,6.75,7.11,24.16,8.17,7.46,39.08,7.82,6.75,9.123457,3.907407,21.209877,5.479143,,5.425926,77.736092
US_WV_54009,2020-01-13,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,8.87,10.58,7.72,,5.15,11.44,10.3,5.15,10.3,21.45,5.43,7.72,38.33,9.72,6.58,4.364198,-0.32716,15.833333,0.846667,,0.938272,78.465513
US_WV_54009,2020-01-14,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,6.98,8.94,9.5,,7.82,12.01,8.66,6.42,8.1,23.74,6.98,5.03,40.78,5.87,5.03,4.728395,-0.753086,11.104938,0.0,,2.345679,84.651573
US_WV_54009,2020-01-15,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,8.28,8.83,10.21,,4.14,11.03,8.0,4.96,7.72,22.62,8.0,4.41,33.65,6.07,3.86,5.401235,-0.518519,12.493827,0.254,,2.345679,80.761982
US_WV_54009,2020-01-16,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,6.35,8.37,11.26,6.06,5.2,10.39,8.08,,10.1,27.7,7.79,5.48,43.0,6.35,4.91,4.919753,-1.679012,12.512346,1.487714,,0.259259,72.004769
US_WV_54009,2020-01-17,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,7.25,11.3,9.28,8.41,6.09,13.62,8.7,,8.12,20.58,,6.09,32.76,6.67,,-3.209877,-5.358025,-1.08642,0.145143,,-8.987654,64.523173
US_WV_54009,2020-01-18,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,6.42,7.77,5.74,,,10.13,10.81,,5.4,22.29,,9.46,32.09,8.11,,-0.487654,-5.203704,8.049383,1.560286,30.48,-3.524691,80.018934
US_WV_54009,2020-01-19,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,10.14,9.16,4.58,5.23,4.58,14.07,8.18,,5.56,21.26,,,37.95,6.22,,-2.450617,-8.746914,8.277778,17.562286,30.48,-6.246914,75.263246
US_WV_54009,2020-01-20,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,6.05,10.9,11.2,4.24,7.26,17.25,9.69,4.84,9.99,26.33,5.75,6.96,41.46,5.75,,-7.45679,-10.592593,1.277778,0.145143,,-11.135802,74.999053
US_WV_54009,2020-01-21,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,6.0,7.91,6.54,5.18,,13.36,12.27,5.18,7.91,31.36,7.63,7.63,39.26,9.54,6.54,-6.537037,-10.58642,-2.895062,0.0,,-10.716049,72.29949
