location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_parks,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IL_17087,2020-01-01,ChIJcxvGEXFOd4gRniVweG8q3Kc,Q389783,geoId/17087,US,United States of America,IL,Illinois,17087,Johnson County,US,USA,2,,,,,,,12399,6793,5606,1202,1396,1543,1453,1560,1781,1670,1189,605,1800893,37.46,-88.87,904,77.433333,,,,21.55,21.55,4.444444,-1.506173,11.765432,0.0,,-2.580247,60.569526
US_IL_17087,2020-01-02,ChIJcxvGEXFOd4gRniVweG8q3Kc,Q389783,geoId/17087,US,United States of America,IL,Illinois,17087,Johnson County,US,USA,2,,,,,,,12399,6793,5606,1202,1396,1543,1453,1560,1781,1670,1189,605,1800893,37.46,-88.87,904,77.433333,,,,31.68,40.59,8.333333,5.388889,10.185185,1.227667,,2.58642,67.311226
US_IL_17087,2020-01-03,ChIJcxvGEXFOd4gRniVweG8q3Kc,Q389783,geoId/17087,US,United States of America,IL,Illinois,17087,Johnson County,US,USA,2,,,,,,,12399,6793,5606,1202,1396,1543,1453,1560,1781,1670,1189,605,1800893,37.46,-88.87,904,77.433333,,,,26.24,35.32,9.530864,6.592593,10.858025,11.030857,,9.061728,96.935563
US_IL_17087,2020-01-04,ChIJcxvGEXFOd4gRniVweG8q3Kc,Q389783,geoId/17087,US,United States of America,IL,Illinois,17087,Johnson County,US,USA,2,,,,,,,12399,6793,5606,1202,1396,1543,1453,1560,1781,1670,1189,605,1800893,37.46,-88.87,904,77.433333,,,,18.64,30.03,3.716049,0.82716,6.975309,0.85725,,0.925926,82.183268
US_IL_17087,2020-01-05,ChIJcxvGEXFOd4gRniVweG8q3Kc,Q389783,geoId/17087,US,United States of America,IL,Illinois,17087,Johnson County,US,USA,2,,,,,,,12399,6793,5606,1202,1396,1543,1453,1560,1781,1670,1189,605,1800893,37.46,-88.87,904,77.433333,,,,,27.04,3.018519,-2.814815,12.506173,0.0,,-1.012346,74.97879
US_IL_17087,2020-01-06,ChIJcxvGEXFOd4gRniVweG8q3Kc,Q389783,geoId/17087,US,United States of America,IL,Illinois,17087,Johnson County,US,USA,2,,,,,,,12399,6793,5606,1202,1396,1543,1453,1560,1781,1670,1189,605,1800893,37.46,-88.87,904,77.433333,,,,29.34,33.53,4.166667,-2.635802,10.04321,0.0,,-1.888889,64.921877
US_IL_17087,2020-01-07,ChIJcxvGEXFOd4gRniVweG8q3Kc,Q389783,geoId/17087,US,United States of America,IL,Illinois,17087,Johnson County,US,USA,2,,,,,,,12399,6793,5606,1202,1396,1543,1453,1560,1781,1670,1189,605,1800893,37.46,-88.87,904,77.433333,,,,27.75,24.28,3.623457,-2.537037,9.907407,0.0,,-2.45679,64.754237
US_IL_17087,2020-01-08,ChIJcxvGEXFOd4gRniVweG8q3Kc,Q389783,geoId/17087,US,United States of America,IL,Illinois,17087,Johnson County,US,USA,2,,,,,,,12399,6793,5606,1202,1396,1543,1453,1560,1781,1670,1189,605,1800893,37.46,-88.87,904,77.433333,,,,24.7,33.21,4.58642,-1.395062,10.5,0.0,,-3.740741,55.077495
US_IL_17087,2020-01-09,ChIJcxvGEXFOd4gRniVweG8q3Kc,Q389783,geoId/17087,US,United States of America,IL,Illinois,17087,Johnson County,US,USA,2,,,,,,,12399,6793,5606,1202,1396,1543,1453,1560,1781,1670,1189,605,1800893,37.46,-88.87,904,77.433333,,,,22.19,46.02,8.395062,2.302469,14.481481,0.036286,,-0.277778,54.697032
US_IL_17087,2020-01-10,ChIJcxvGEXFOd4gRniVweG8q3Kc,Q389783,geoId/17087,US,United States of America,IL,Illinois,17087,Johnson County,US,USA,2,,,,,,,12399,6793,5606,1202,1396,1543,1453,1560,1781,1670,1189,605,1800893,37.46,-88.87,904,77.433333,,,,28.8,41.01,13.574074,10.395062,15.54321,19.666857,,10.679012,82.899791
US_IL_17087,2020-01-11,ChIJcxvGEXFOd4gRniVweG8q3Kc,Q389783,geoId/17087,US,United States of America,IL,Illinois,17087,Johnson County,US,USA,2,,,,,,,12399,6793,5606,1202,1396,1543,1453,1560,1781,1670,1189,605,1800893,37.46,-88.87,904,77.433333,,,,23.27,27.15,11.401235,3.41358,18.438272,53.158571,,10.12963,91.975256
US_IL_17087,2020-01-12,ChIJcxvGEXFOd4gRniVweG8q3Kc,Q389783,geoId/17087,US,United States of America,IL,Illinois,17087,Johnson County,US,USA,2,,,,,,,12399,6793,5606,1202,1396,1543,1453,1560,1781,1670,1189,605,1800893,37.46,-88.87,904,77.433333,,,,16.35,35.76,1.777778,-0.123457,3.641975,14.804571,,0.030864,88.302831
US_IL_17087,2020-01-13,ChIJcxvGEXFOd4gRniVweG8q3Kc,Q389783,geoId/17087,US,United States of America,IL,Illinois,17087,Johnson County,US,USA,2,,,,,,,12399,6793,5606,1202,1396,1543,1453,1560,1781,1670,1189,605,1800893,37.46,-88.87,904,77.433333,,,,17.62,30.21,3.783951,1.104938,8.209877,0.0,,1.438272,84.802429
US_IL_17087,2020-01-14,ChIJcxvGEXFOd4gRniVweG8q3Kc,Q389783,geoId/17087,US,United States of America,IL,Illinois,17087,Johnson County,US,USA,2,,,,,,,12399,6793,5606,1202,1396,1543,1453,1560,1781,1670,1189,605,1800893,37.46,-88.87,904,77.433333,,,,30.97,35.86,5.802469,1.253086,11.41358,0.0,,4.382716,90.672489
