location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26107,2020-01-01,ChIJGQJQyqrGGIgRNx1OO8SdkS8,Q74686,geoId/26107,US,United States of America,MI,Michigan,26107,Mecosta County,US,USA,2,,,,,,,43258,21739,21519,4268,6542,8044,4129,4145,5513,5434,3563,1620,1907323,43.64,-85.32,1479,77.8,,,,,,5.35,9.64,3.75,6.96,8.56,6.16,,5.08,,,,16.33,4.01,10.17,,,5.89,5.08,,4.55,,5.35,,8.3,7.49,4.28,28.64,6.69,,6.96,,,4.82,8.03,41.49,3.75,5.08,,5.08,3.75,4.01,4.55,4.28,3.75,,-1.938889,-6.283333,1.827778,0.108857,40.64,-6.083333,73.395466
US_MI_26107,2020-01-02,ChIJGQJQyqrGGIgRNx1OO8SdkS8,Q74686,geoId/26107,US,United States of America,MI,Michigan,26107,Mecosta County,US,USA,2,,,,,,,43258,21739,21519,4268,6542,8044,4129,4145,5513,5434,3563,1620,1907323,43.64,-85.32,1479,77.8,,,,,,7.04,7.54,4.53,9.56,7.8,4.53,,7.8,,,4.78,20.37,3.77,10.56,3.52,6.04,7.8,6.29,3.77,4.02,4.78,4.53,,6.54,,7.8,28.67,7.04,,9.05,3.77,3.52,8.3,5.03,43.51,4.02,5.03,,5.03,,4.53,4.02,6.29,,,3.577778,-1.127778,6.733333,0.0,30.48,-1.8,68.066453
US_MI_26107,2020-01-03,ChIJGQJQyqrGGIgRNx1OO8SdkS8,Q74686,geoId/26107,US,United States of America,MI,Michigan,26107,Mecosta County,US,USA,2,,,,,,,43258,21739,21519,4268,6542,8044,4129,4145,5513,5434,3563,1620,1907323,43.64,-85.32,1479,77.8,,,,,,6.76,8.51,6.01,10.77,5.76,7.26,,5.76,,3.51,4.76,20.53,3.76,10.27,,6.26,8.26,4.51,,6.51,4.76,5.01,,5.01,,6.51,31.3,6.51,,11.02,4.01,5.26,5.51,7.76,40.81,7.26,8.26,,8.01,3.76,4.51,,5.76,5.51,,2.616667,0.522222,5.116667,0.0,50.8,-0.277778,81.315861
US_MI_26107,2020-01-04,ChIJGQJQyqrGGIgRNx1OO8SdkS8,Q74686,geoId/26107,US,United States of America,MI,Michigan,26107,Mecosta County,US,USA,2,,,,,,,43258,21739,21519,4268,6542,8044,4129,4145,5513,5434,3563,1620,1907323,43.64,-85.32,1479,77.8,,,,,,7.16,7.43,3.98,9.81,8.22,6.9,,5.57,4.51,,,18.83,7.69,11.41,3.98,4.51,8.75,4.78,3.71,4.24,3.98,3.71,6.63,6.1,5.57,7.69,22.28,5.3,4.24,8.49,,,,7.16,43.5,5.3,7.43,4.24,,6.1,4.78,,4.24,4.24,,-0.055556,-1.166667,1.727778,0.0,,-3.561111,77.404578
US_MI_26107,2020-01-05,ChIJGQJQyqrGGIgRNx1OO8SdkS8,Q74686,geoId/26107,US,United States of America,MI,Michigan,26107,Mecosta County,US,USA,2,,,,,,,43258,21739,21519,4268,6542,8044,4129,4145,5513,5434,3563,1620,1907323,43.64,-85.32,1479,77.8,,,,,,3.95,8.69,,9.48,11.33,6.32,,5.8,6.06,,4.22,19.5,7.38,11.86,3.95,,8.96,,4.22,9.75,,,,7.38,,,25.82,5.01,5.01,10.28,,,6.59,6.59,38.2,,9.22,,4.22,5.53,,4.22,4.22,,,-0.744444,-2.083333,1.166667,0.084667,,-4.783333,74.276682
US_MI_26107,2020-01-06,ChIJGQJQyqrGGIgRNx1OO8SdkS8,Q74686,geoId/26107,US,United States of America,MI,Michigan,26107,Mecosta County,US,USA,2,,,,,,,43258,21739,21519,4268,6542,8044,4129,4145,5513,5434,3563,1620,1907323,43.64,-85.32,1479,77.8,,,,,2.95,3.79,10.73,3.79,9.47,5.05,5.05,,4.84,4.21,4.84,4.42,15.57,2.95,10.31,,6.73,7.79,6.31,4.21,5.89,5.68,4.21,,4.63,3.16,6.31,25.25,5.47,4.42,7.79,,4.42,3.58,5.68,37.25,5.89,7.37,,6.1,,3.58,,4.0,,,1.238889,-1.672222,3.788889,0.296333,,-4.277778,66.761697
US_MI_26107,2020-01-07,ChIJGQJQyqrGGIgRNx1OO8SdkS8,Q74686,geoId/26107,US,United States of America,MI,Michigan,26107,Mecosta County,US,USA,2,,,,,,,43258,21739,21519,4268,6542,8044,4129,4145,5513,5434,3563,1620,1907323,43.64,-85.32,1479,77.8,,,,,3.05,5.29,5.49,3.05,7.32,9.96,4.88,5.9,4.07,4.27,3.05,,14.44,,8.54,3.25,,9.35,5.49,,4.88,4.88,3.25,3.46,4.68,2.85,8.74,24.2,4.88,4.27,5.9,,5.29,4.27,6.3,36.6,4.47,6.51,3.86,4.88,4.27,,4.27,3.46,4.07,,0.677778,-1.727778,3.205556,0.0,,-2.827778,77.495065
US_MI_26107,2020-01-08,ChIJGQJQyqrGGIgRNx1OO8SdkS8,Q74686,geoId/26107,US,United States of America,MI,Michigan,26107,Mecosta County,US,USA,2,,,,,,,43258,21739,21519,4268,6542,8044,4129,4145,5513,5434,3563,1620,1907323,43.64,-85.32,1479,77.8,,,,,,3.81,7.41,3.61,9.62,7.61,6.81,2.81,4.61,4.41,4.21,3.41,16.03,,9.82,,6.21,7.61,3.61,2.81,5.01,7.61,,,2.81,3.61,4.41,35.46,5.81,3.0,7.41,,3.0,4.61,5.41,31.45,5.61,11.62,2.81,5.81,,3.41,,,,,-4.694444,-8.777778,1.627778,0.169333,,-11.016667,61.350221
US_MI_26107,2020-01-09,ChIJGQJQyqrGGIgRNx1OO8SdkS8,Q74686,geoId/26107,US,United States of America,MI,Michigan,26107,Mecosta County,US,USA,2,,,,,,,43258,21739,21519,4268,6542,8044,4129,4145,5513,5434,3563,1620,1907323,43.64,-85.32,1479,77.8,,,,,3.33,4.7,8.03,4.5,8.42,7.05,3.72,,5.09,4.31,4.11,3.33,15.66,4.89,10.96,,6.07,7.44,2.74,3.52,4.89,3.92,2.94,3.52,5.48,3.52,7.83,31.91,6.46,3.72,4.5,3.13,5.87,5.68,5.48,39.55,3.72,10.57,2.94,6.26,3.13,,3.72,,6.85,,-4.588889,-10.366667,5.561111,0.0,,-10.283333,64.565702
US_MI_26107,2020-01-10,ChIJGQJQyqrGGIgRNx1OO8SdkS8,Q74686,geoId/26107,US,United States of America,MI,Michigan,26107,Mecosta County,US,USA,2,,,,,,,43258,21739,21519,4268,6542,8044,4129,4145,5513,5434,3563,1620,1907323,43.64,-85.32,1479,77.8,,,,,,5.89,5.33,4.94,10.46,7.04,3.99,5.13,5.13,3.61,,3.04,13.31,3.42,5.33,,7.99,6.47,3.04,3.61,3.23,,,3.99,4.75,,3.61,24.53,4.37,3.04,5.89,,4.94,4.37,7.23,33.28,,8.75,,3.61,3.99,3.99,,,,,6.694444,4.061111,8.266667,0.127,,3.394444,79.646661
