location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IN_18073,2020-01-01,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,4.31,7.85,,9.12,6.08,5.07,,,19.25,15.96,3.8,8.36,5.07,6.33,4.31,,,4.05,5.32,25.33,6.33,5.32,,4.56,3.8,34.45,,5.32,5.57,,5.32,-0.376543,-5.148148,5.296296,0.0,-3.87037,77.421052
US_IN_18073,2020-01-02,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,3.98,9.46,3.74,11.21,5.48,6.23,5.48,,18.18,13.45,,5.23,3.98,5.73,4.48,4.23,,6.72,8.47,35.86,4.73,5.48,,6.23,5.23,39.35,5.73,8.22,8.72,3.98,4.23,5.04321,1.691358,9.345679,0.0,-0.345679,68.487038
US_IN_18073,2020-01-03,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,4.24,7.73,3.49,9.72,6.23,6.23,5.24,4.24,16.45,11.22,,8.48,5.49,,5.73,5.49,,5.98,10.22,21.19,4.99,6.98,4.74,5.24,5.98,40.14,,7.73,6.73,,5.24,4.271605,1.691358,7.135802,0.0,2.722222,89.757944
US_IN_18073,2020-01-04,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,3.71,7.43,6.19,8.42,,5.7,5.45,,19.56,10.65,5.94,6.69,4.95,3.71,,,,4.46,8.17,21.54,7.92,9.16,,3.71,4.46,43.33,,9.16,5.45,,5.7,1.049383,-0.160494,3.104938,0.0,-1.111111,85.668159
US_IN_18073,2020-01-05,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,5.92,7.15,,8.14,5.43,4.19,6.91,5.43,13.57,7.89,4.93,8.14,4.93,5.67,6.17,,7.15,6.66,6.66,24.17,,5.18,3.45,6.66,3.7,38.97,4.19,7.15,4.93,,6.41,0.308642,-3.475309,6.561728,0.0,-3.833333,73.829932
US_IN_18073,2020-01-06,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,5.56,7.18,,9.49,7.18,3.47,6.48,,17.36,10.19,4.4,9.72,4.17,4.86,3.94,,4.63,5.33,5.33,29.64,5.33,6.48,3.24,6.02,5.09,40.52,4.63,6.71,6.25,4.63,4.63,1.012346,-3.777778,5.790123,0.0,-4.166667,68.890867
US_IN_18073,2020-01-07,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,6.73,9.42,3.59,9.19,6.95,3.59,4.71,3.81,16.14,10.09,3.14,9.64,6.05,4.04,4.48,,,3.14,6.73,28.02,5.38,7.85,3.36,4.04,5.16,38.34,,6.28,6.28,3.14,4.93,0.246914,-4.753086,5.808642,0.0,-4.549383,70.532003
US_IN_18073,2020-01-08,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,4.6,8.55,,9.43,7.02,4.6,4.6,4.17,14.03,9.43,4.82,8.11,3.73,4.38,3.73,,4.17,4.17,6.58,28.28,7.24,7.67,4.17,,5.92,41.88,4.6,9.87,5.7,3.07,3.95,-2.740741,-6.753086,2.555556,0.0,-9.518519,59.840888
US_IN_18073,2020-01-09,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,,9.66,3.73,11.2,7.46,5.49,6.59,,17.78,14.49,3.07,9.44,5.71,4.17,3.51,6.59,3.07,4.61,5.93,33.15,8.56,9.44,,3.73,3.95,33.81,,10.98,6.81,5.93,5.05,0.246914,-6.567901,10.061728,0.0,-6.376543,61.31461
US_IN_18073,2020-01-10,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,3.42,8.21,4.11,7.07,5.93,5.71,5.02,,13.01,8.21,3.88,8.21,5.48,3.42,4.56,6.62,4.34,3.88,7.53,23.73,4.79,4.11,4.56,4.56,5.71,35.14,3.42,6.39,4.34,3.19,3.88,8.765432,6.265432,11.432099,2.5908,6.45679,85.510932
US_IN_18073,2020-01-11,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,7.6,9.62,5.57,7.85,6.84,5.32,5.07,,13.17,4.56,4.56,7.09,4.81,6.33,4.05,,5.07,3.8,8.36,24.82,7.6,5.32,,4.56,6.84,35.2,3.8,8.1,5.57,,3.8,5.901235,0.802469,11.679012,41.293143,5.333333,96.219983
US_IN_18073,2020-01-12,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,6.1,10.98,4.39,5.37,4.88,5.85,6.58,,13.41,6.83,3.42,7.07,4.39,,4.39,4.88,,4.88,4.63,23.17,4.15,8.05,3.42,,,39.76,3.9,11.71,4.63,,3.9,-0.666667,-2.024691,0.888889,5.406571,-2.055556,90.371097
US_IN_18073,2020-01-13,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,5.02,3.71,3.28,9.83,10.27,5.02,5.9,4.59,10.7,5.9,6.33,11.14,,5.68,5.9,7.21,4.8,3.93,7.86,23.59,7.21,6.55,,3.71,5.24,39.31,4.59,6.12,5.46,5.46,3.71,0.746914,-0.425926,1.54321,0.169333,-0.901235,88.843299
US_IN_18073,2020-01-14,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,6.07,7.87,,7.87,7.65,4.95,6.52,5.62,16.42,6.3,6.75,10.8,4.27,3.6,4.72,4.95,5.17,4.5,7.87,22.27,9.9,5.62,4.5,5.4,4.05,38.69,3.82,7.65,5.4,6.52,3.15,2.080247,-0.265432,6.061728,0.028222,0.407407,88.820928
US_IN_18073,2020-01-15,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,7.66,7.21,6.53,9.23,9.01,4.28,5.63,,14.64,6.08,4.73,8.33,6.53,4.96,4.5,3.38,4.73,4.28,5.41,23.43,6.31,6.53,5.63,5.63,6.31,38.29,3.6,8.56,5.86,5.18,6.08,1.148148,-2.067901,4.098765,0.0,0.759259,97.26742
US_IN_18073,2020-01-16,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,5.18,7.43,4.28,8.34,5.86,,4.96,3.15,14.87,8.79,3.6,7.43,4.73,3.83,,,3.83,6.31,9.69,23.2,5.63,4.5,4.73,5.63,3.83,40.1,,5.63,5.63,4.5,3.6,-1.746914,-6.123457,2.925926,0.056444,-5.339506,76.679683
US_IN_18073,2020-01-17,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,4.07,6.78,3.39,9.04,8.36,,10.4,,13.79,7.46,5.65,8.59,5.2,5.88,6.33,5.42,,3.84,7.23,26.67,6.33,6.78,,,8.36,30.06,4.07,4.97,4.52,7.46,3.62,-4.450617,-6.753086,-1.296296,0.0508,-9.135802,69.942871
