location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05059,2020-01-01,ChIJW-WD6GDbMoYRabA96YPRPYo,Q61348,geoId/05059,US,United States of America,AR,Arkansas,05059,Hot Spring County,US,USA,2,,,,,,,33606,17600,16006,3612,4056,4221,4120,4343,4688,4401,2754,1411,1826747,34.318611,-92.953889,1611,73.414286,,,,,,,9.07,8.74,8.42,8.74,,14.57,8.1,9.72,5.83,6.15,,23.96,5.18,5.83,5.83,32.71,,6.15,3.729167,-1.3125,10.895833,0.0,,-2.541667,64.01801
US_AR_05059,2020-01-02,ChIJW-WD6GDbMoYRabA96YPRPYo,Q61348,geoId/05059,US,United States of America,AR,Arkansas,05059,Hot Spring County,US,USA,2,,,,,,,33606,17600,16006,3612,4056,4221,4120,4343,4688,4401,2754,1411,1826747,34.318611,-92.953889,1611,73.414286,,,,,,,7.44,9.61,7.44,8.99,5.58,17.05,8.99,9.92,,4.65,8.37,22.63,8.06,6.2,4.65,34.41,5.89,4.34,9.958333,8.256944,12.513889,0.108857,,5.506944,73.892503
US_AR_05059,2020-01-03,ChIJW-WD6GDbMoYRabA96YPRPYo,Q61348,geoId/05059,US,United States of America,AR,Arkansas,05059,Hot Spring County,US,USA,2,,,,,,,33606,17600,16006,3612,4056,4221,4120,4343,4688,4401,2754,1411,1826747,34.318611,-92.953889,1611,73.414286,,,,,,5.1,7.97,12.12,4.78,5.74,4.78,17.86,10.21,10.84,,4.78,,21.69,5.42,6.06,7.65,36.04,6.7,6.06,13.180556,10.916667,16.111111,12.917714,,11.520833,89.732308
US_AR_05059,2020-01-04,ChIJW-WD6GDbMoYRabA96YPRPYo,Q61348,geoId/05059,US,United States of America,AR,Arkansas,05059,Hot Spring County,US,USA,2,,,,,,,33606,17600,16006,3612,4056,4221,4120,4343,4688,4401,2754,1411,1826747,34.318611,-92.953889,1611,73.414286,,,,,,,8.02,8.68,6.34,4.67,5.01,18.7,10.35,7.01,9.35,6.01,,19.7,5.68,7.68,6.01,36.4,9.35,6.01,7.708333,2.277778,12.756944,1.596571,,-0.801587,55.678208
US_AR_05059,2020-01-05,ChIJW-WD6GDbMoYRabA96YPRPYo,Q61348,geoId/05059,US,United States of America,AR,Arkansas,05059,Hot Spring County,US,USA,2,,,,,,,33606,17600,16006,3612,4056,4221,4120,4343,4688,4401,2754,1411,1826747,34.318611,-92.953889,1611,73.414286,,,,,,,8.12,9.74,5.19,4.54,5.19,16.23,8.77,6.82,,,6.49,23.05,,7.79,5.84,37.01,9.09,6.17,5.604167,-2.979167,19.375,0.0,,-0.388889,65.669826
US_AR_05059,2020-01-06,ChIJW-WD6GDbMoYRabA96YPRPYo,Q61348,geoId/05059,US,United States of America,AR,Arkansas,05059,Hot Spring County,US,USA,2,,,,,,,33606,17600,16006,3612,4056,4221,4120,4343,4688,4401,2754,1411,1826747,34.318611,-92.953889,1611,73.414286,,,,,,,5.26,9.35,6.42,6.42,6.72,12.56,9.64,7.88,4.67,5.84,11.39,19.57,4.67,4.67,,36.51,6.42,6.13,7.229167,0.458333,15.347222,0.0,,1.513889,67.238546
US_AR_05059,2020-01-07,ChIJW-WD6GDbMoYRabA96YPRPYo,Q61348,geoId/05059,US,United States of America,AR,Arkansas,05059,Hot Spring County,US,USA,2,,,,,,,33606,17600,16006,3612,4056,4221,4120,4343,4688,4401,2754,1411,1826747,34.318611,-92.953889,1611,73.414286,,,,,,,6.3,8.57,5.04,4.54,7.56,9.08,7.82,9.58,,,7.06,20.42,5.04,4.29,6.05,30.0,4.79,,7.166667,0.340278,15.590278,0.0,,-1.8125,53.005435
US_AR_05059,2020-01-08,ChIJW-WD6GDbMoYRabA96YPRPYo,Q61348,geoId/05059,US,United States of America,AR,Arkansas,05059,Hot Spring County,US,USA,2,,,,,,,33606,17600,16006,3612,4056,4221,4120,4343,4688,4401,2754,1411,1826747,34.318611,-92.953889,1611,73.414286,,,,,,,5.5,7.26,8.26,,5.0,7.51,8.01,7.01,3.75,,6.51,22.02,4.25,6.26,4.75,27.28,9.51,,5.604167,-2.951389,17.888889,0.0,,-2.354167,56.941465
US_AR_05059,2020-01-09,ChIJW-WD6GDbMoYRabA96YPRPYo,Q61348,geoId/05059,US,United States of America,AR,Arkansas,05059,Hot Spring County,US,USA,2,,,,,,,33606,17600,16006,3612,4056,4221,4120,4343,4688,4401,2754,1411,1826747,34.318611,-92.953889,1611,73.414286,,,,,,,5.39,4.68,7.26,5.15,7.73,11.71,8.2,9.6,4.45,,,24.12,,5.62,3.75,30.91,7.73,3.51,11.506173,7.703704,16.487654,0.0,,5.388889,66.852152
US_AR_05059,2020-01-10,ChIJW-WD6GDbMoYRabA96YPRPYo,Q61348,geoId/05059,US,United States of America,AR,Arkansas,05059,Hot Spring County,US,USA,2,,,,,,,33606,17600,16006,3612,4056,4221,4120,4343,4688,4401,2754,1411,1826747,34.318611,-92.953889,1611,73.414286,,,,,,,3.36,8.29,6.28,4.93,,8.29,6.05,6.5,3.14,,6.95,16.81,3.36,4.48,,22.64,5.6,4.48,17.493827,15.469136,20.148148,3.011714,,15.125,85.498625
