location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NE_31025,2020-01-01,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,,5.66,6.36,,,19.45,10.25,7.78,,,5.3,26.87,8.13,6.01,5.66,37.48,,6.36,0.266667,-4.25,8.166667,0.0,30.48,-4.049383,72.988454
US_NE_31025,2020-01-02,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,6.35,8.59,8.96,,,16.43,12.32,7.09,,,7.09,25.39,8.96,,6.35,33.24,,5.23,2.794444,-2.4,6.827778,0.0,,-0.055556,81.197432
US_NE_31025,2020-01-03,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,11.83,8.87,9.61,5.55,7.39,22.93,10.72,6.66,,,8.5,28.1,7.03,12.2,,40.3,,6.66,0.555556,-4.405556,5.75,0.0,,-2.197531,81.521306
US_NE_31025,2020-01-04,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,8.04,6.21,9.14,,5.48,19.38,10.97,5.85,5.85,,6.58,27.42,7.68,7.31,5.48,35.1,6.21,,-0.483333,-6.861111,6.766667,0.0,,-6.228395,65.220868
US_NE_31025,2020-01-05,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,8.94,7.15,17.87,5.36,9.29,17.16,14.65,6.43,,7.15,8.94,24.66,5.0,7.15,,39.67,5.36,,5.216667,0.927778,8.494444,0.0,,-3.166667,55.016936
US_NE_31025,2020-01-06,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,9.12,9.12,11.78,,5.32,19.76,10.64,8.36,8.36,,10.26,29.64,6.46,6.46,6.84,38.0,6.46,,0.138889,-4.611111,7.177778,0.0,,-4.654321,69.449098
US_NE_31025,2020-01-07,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,4.99,7.83,32.76,7.12,6.41,17.8,9.97,6.76,4.99,,,27.06,8.19,4.99,,33.82,8.19,,1.755556,-4.122222,9.444444,0.0,,-3.759259,66.710636
US_NE_31025,2020-01-08,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,,11.07,24.29,7.14,7.5,11.43,7.5,9.29,,,5.36,40.71,8.21,7.5,6.79,38.21,11.79,6.07,-1.366667,-6.6,5.955556,0.0,,-7.530864,62.97659
US_NE_31025,2020-01-09,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,7.84,9.62,30.66,,6.42,14.97,9.27,9.98,6.77,,5.35,34.22,6.77,,,30.3,8.2,4.99,5.572222,0.25,8.761111,0.0,,-2.253086,57.105871
US_NE_31025,2020-01-10,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,6.05,,22.41,,,15.65,13.52,6.76,,,4.98,19.57,,5.69,8.18,35.94,,,-2.6,-7.922222,4.561111,0.979714,64.77,-4.987654,83.718456
US_NE_31025,2020-01-11,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,6.84,8.28,5.4,5.4,5.4,14.04,6.48,7.56,6.48,,,23.4,9.36,5.04,,42.84,6.12,6.48,-10.222222,-14.527778,-4.444444,0.762,54.61,-15.487654,65.223141
US_NE_31025,2020-01-12,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,10.03,9.31,6.45,,6.09,22.56,6.45,8.6,5.37,,5.73,23.64,8.6,8.24,,32.59,6.45,,-8.277778,-12.555556,-2.955556,0.0,37.253333,-10.790123,81.068288
US_NE_31025,2020-01-13,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,,12.49,24.63,,,16.78,7.85,8.21,,5.0,7.85,28.56,,6.78,5.0,34.27,6.78,6.78,-2.538889,-6.738889,0.905556,0.762,30.48,-3.166667,95.127991
US_NE_31025,2020-01-14,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,,7.37,33.88,6.26,6.26,15.47,9.95,9.58,,5.89,7.37,23.57,,7.0,6.26,40.52,5.53,7.74,-1.316667,-6.894444,1.288889,0.0762,30.48,-3.013889,87.814962
US_NE_31025,2020-01-15,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,6.36,10.24,32.84,7.42,4.94,8.47,10.59,12.36,4.94,6.0,5.65,49.43,6.36,6.71,,34.96,,7.42,-2.838889,-10.433333,-0.077778,0.0,30.48,-5.253086,83.880168
US_NE_31025,2020-01-16,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,6.04,6.4,29.16,,,13.16,7.47,9.6,6.76,,6.04,28.09,7.47,,,32.0,6.4,6.76,-14.083333,-17.711111,-9.161111,0.0,,-19.265432,65.015549
US_NE_31025,2020-01-17,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,7.43,11.68,8.5,5.31,,15.22,6.37,8.14,8.5,,,24.78,,8.14,8.14,35.4,7.43,5.66,-5.827778,-12.3,0.255556,1.467556,50.8,-8.302469,82.514412
US_NE_31025,2020-01-18,ChIJQUxLZEAOlIcRfHBCP2mWL-w,Q484239,geoId/31025,US,United States of America,NE,Nebraska,31025,Cass County,US,USA,2,,,,,,,25935,13059,12876,3343,3519,2552,3084,3220,3957,3433,1786,1041,1425442,40.91,-96.14,1466,78.8,,,,,8.2,7.13,8.2,4.99,8.91,12.12,9.62,7.13,5.7,7.13,,25.3,4.99,,,36.7,5.7,,-4.883333,-10.761111,1.233333,4.064,44.026667,-8.030864,78.832834
