location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_autoimmune_disease,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_bruise,search_trends_burn,search_trends_candidiasis,search_trends_chest_pain,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_psychosis,search_trends_scar,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NY_36051,2020-01-11,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,,6.47,7.16,4.41,9.22,,6.47,4.96,,2.62,,3.72,3.85,2.62,3.85,3.85,2.62,3.44,,11.98,4.41,5.51,3.72,1.93,3.72,,7.71,4.13,,,3.44,5.78,4.41,3.58,4.13,2.62,2.06,5.09,,2.34,6.19,1.93,21.2,6.06,2.34,4.82,2.48,3.58,3.99,2.62,,4.96,38.13,,1.93,,,,3.85,4.82,,3.85,2.2,,4.54,4.13,3.17,3.3,3.17,3.99,,10.755556,3.938889,16.761111,2.906889,,7.694444,80.700431
US_NY_36051,2020-01-12,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,2.21,6.63,8.71,4.81,8.45,1.82,7.54,5.2,,,,5.2,4.03,2.86,2.34,,1.82,2.73,1.82,17.68,3.51,9.88,3.38,1.95,4.94,,7.15,5.33,,2.73,2.47,6.76,5.46,2.99,3.64,2.6,,4.42,,2.6,6.89,1.95,19.76,4.42,2.08,6.37,3.12,4.03,4.03,2.08,,5.59,38.62,2.6,,,2.6,3.64,3.9,5.85,,,2.08,2.47,4.29,3.12,3.51,3.77,3.38,5.46,3.77,5.033333,-1.033333,13.466667,2.963333,,2.104167,77.178388
US_NY_36051,2020-01-13,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,2.59,3.58,6.29,4.68,10.23,2.47,6.78,6.41,2.1,4.81,1.73,5.55,3.94,2.34,4.19,,,,,16.15,3.58,8.51,3.7,3.21,4.32,2.34,7.64,5.18,2.1,2.47,2.59,4.56,5.05,,3.7,3.58,,3.7,2.47,2.83,6.41,2.59,22.68,5.42,3.7,5.42,1.97,4.19,5.3,,,5.67,35.13,,1.97,,1.73,2.96,3.7,4.81,2.22,2.71,2.59,,5.05,4.07,4.19,4.07,2.47,3.7,2.34,0.716667,-2.394444,8.088889,0.7874,,-2.451389,77.681852
US_NY_36051,2020-01-14,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,3.13,4.89,8.14,5.51,10.15,3.88,8.02,6.51,2.25,2.63,,4.89,3.38,2.25,4.26,,,1.75,,16.29,2.76,9.15,3.13,,4.51,2.0,8.02,2.88,2.25,1.75,2.25,6.89,7.64,,4.76,4.26,,4.76,,4.63,7.27,3.13,26.94,5.26,3.26,6.01,2.63,5.26,4.26,1.88,2.0,6.01,38.34,2.25,2.13,2.51,2.13,2.63,3.38,5.89,,,2.0,1.75,5.01,3.38,3.63,2.88,2.51,3.51,2.0,2.977778,-1.372222,8.083333,0.0,,-0.604167,77.920543
US_NY_36051,2020-01-15,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,2.78,5.05,6.19,3.29,9.1,3.54,8.34,5.05,2.02,3.79,2.15,5.56,4.93,,4.3,,,2.78,,18.83,2.91,8.34,3.79,3.03,3.41,2.78,7.46,4.93,,3.54,2.65,5.81,5.94,3.29,4.68,2.27,,6.45,2.02,3.16,7.58,2.78,22.87,7.71,3.29,6.7,3.16,6.45,5.31,2.02,1.9,5.05,37.03,,2.02,,2.4,2.4,4.3,6.57,2.27,4.42,,1.9,3.92,5.05,3.54,2.91,3.67,3.03,2.27,3.722222,0.127778,7.277778,0.0,,-2.048611,67.422277
US_NY_36051,2020-01-16,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,2.01,5.53,5.15,4.15,8.42,3.14,7.41,7.41,,2.39,2.51,6.78,4.52,2.14,3.52,,,3.02,1.88,15.83,3.39,9.92,2.89,,4.15,2.26,6.28,3.52,2.14,1.88,2.14,4.52,5.53,2.64,4.27,2.89,,5.03,1.88,2.64,9.04,,23.37,6.16,3.02,6.03,4.4,2.39,5.15,,1.88,3.39,35.93,1.88,2.51,,1.88,3.52,4.27,5.28,2.26,2.89,2.64,2.89,4.02,2.26,4.65,2.51,2.76,3.77,,1.194444,-2.716667,4.922222,1.749778,30.48,-2.430556,78.046759
US_NY_36051,2020-01-17,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,,3.42,5.71,5.33,8.75,1.77,5.58,5.71,,2.54,2.15,4.18,3.8,,2.54,1.9,,2.15,2.54,14.96,2.54,8.62,2.03,,2.66,2.28,7.23,4.06,2.41,,3.42,1.77,4.82,2.15,3.68,5.07,,5.2,,2.41,6.47,2.28,21.68,5.33,1.9,6.85,1.77,5.07,5.07,1.9,,4.69,32.58,,,,2.03,,3.04,6.34,2.15,1.9,2.28,,4.31,3.3,3.93,2.03,3.42,5.45,2.66,-8.444444,-11.805556,-0.211111,1.721556,50.8,-14.048611,65.624423
US_NY_36051,2020-01-18,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,2.41,4.82,5.35,6.02,7.76,3.48,6.29,7.36,2.54,,,4.68,4.55,3.35,3.35,1.87,3.35,3.61,,17.4,4.82,10.3,3.75,2.01,2.94,2.41,7.09,6.16,3.75,,2.68,5.08,6.29,4.42,3.61,2.94,,4.28,,2.94,5.35,,22.88,4.42,4.42,4.82,,3.61,3.61,,2.01,5.35,33.86,3.21,,,2.41,2.68,2.81,5.89,1.87,3.35,2.54,,5.89,2.94,2.54,4.82,2.81,2.94,,-7.288889,-11.8,-0.7,0.141111,139.7,-11.472222,72.98455
US_NY_36051,2020-01-19,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,1.96,4.95,6.91,4.82,9.12,2.61,5.61,5.87,1.96,4.43,,7.17,3.78,2.74,3.52,,2.22,,,13.69,2.48,8.34,2.48,3.0,3.13,,6.91,3.39,,,2.87,5.34,5.47,3.91,3.91,3.26,,4.17,1.82,2.61,3.91,,19.42,4.04,2.74,6.65,2.09,2.87,4.56,1.96,,1.96,38.19,,,,2.35,2.35,4.3,6.65,1.82,,2.87,,4.95,3.78,4.3,3.13,3.0,2.22,1.82,-1.288889,-9.305556,3.166667,4.656667,114.3,-5.090278,76.928712
US_NY_36051,2020-01-20,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,2.67,6.87,8.02,4.33,10.05,2.67,8.53,4.71,2.42,3.69,,5.22,3.44,2.8,2.16,,2.16,3.18,,19.09,4.2,10.44,2.8,,4.96,2.29,8.65,4.2,,1.91,3.18,5.22,5.86,1.91,3.18,3.44,2.16,4.58,,3.06,5.35,2.16,27.36,5.47,2.8,7.0,2.67,3.82,4.46,1.91,2.67,5.47,41.24,2.16,,,,2.16,4.84,6.11,1.78,3.18,4.2,3.69,6.36,4.58,3.18,,3.95,3.69,4.58,-8.461111,-11.672222,-3.277778,0.338667,104.14,-13.868056,68.278987
