location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19087,2020-01-01,ChIJJ3UvvXGV5ocRaCg1fNfgLLA,Q178281,geoId/19087,US,United States of America,IA,Iowa,19087,Henry County,US,USA,2,,,,,,,20044,10366,9678,2336,2600,2626,2401,2377,2715,2461,1543,985,1790071,40.986667,-91.541944,1131,79.76,,,,,,,8.34,7.85,19.13,,,20.6,9.32,47.09,,0.2,-5.444444,10.1,0.0,-3.461111,76.568288
US_IA_19087,2020-01-02,ChIJJ3UvvXGV5ocRaCg1fNfgLLA,Q178281,geoId/19087,US,United States of America,IA,Iowa,19087,Henry County,US,USA,2,,,,,,,20044,10366,9678,2336,2600,2626,2401,2377,2715,2461,1543,985,1790071,40.986667,-91.541944,1131,79.76,,,,,,10.85,9.5,9.04,16.73,9.5,7.24,19.45,8.14,28.49,8.14,6.6,2.038889,11.444444,0.0,1.094444,68.042273
US_IA_19087,2020-01-03,ChIJJ3UvvXGV5ocRaCg1fNfgLLA,Q178281,geoId/19087,US,United States of America,IA,Iowa,19087,Henry County,US,USA,2,,,,,,,20044,10366,9678,2336,2600,2626,2401,2377,2715,2461,1543,985,1790071,40.986667,-91.541944,1131,79.76,,,,,,10.52,6.86,,16.47,,7.32,27.91,,39.8,,2.027778,-0.05,6.4,0.0,0.1,87.269993
US_IA_19087,2020-01-04,ChIJJ3UvvXGV5ocRaCg1fNfgLLA,Q178281,geoId/19087,US,United States of America,IA,Iowa,19087,Henry County,US,USA,2,,,,,,,20044,10366,9678,2336,2600,2626,2401,2377,2715,2461,1543,985,1790071,40.986667,-91.541944,1131,79.76,,,,,,8.77,,8.77,16.56,,10.71,21.91,7.3,33.6,7.79,-0.228395,-2.882716,1.432099,0.3175,-1.716049,89.830089
US_IA_19087,2020-01-05,ChIJJ3UvvXGV5ocRaCg1fNfgLLA,Q178281,geoId/19087,US,United States of America,IA,Iowa,19087,Henry County,US,USA,2,,,,,,,20044,10366,9678,2336,2600,2626,2401,2377,2715,2461,1543,985,1790071,40.986667,-91.541944,1131,79.76,,,,,,,7.37,,19.16,,,20.63,8.35,38.8,,1.755556,-4.672222,8.788889,0.0,-2.794444,72.077789
US_IA_19087,2020-01-06,ChIJJ3UvvXGV5ocRaCg1fNfgLLA,Q178281,geoId/19087,US,United States of America,IA,Iowa,19087,Henry County,US,USA,2,,,,,,,20044,10366,9678,2336,2600,2626,2401,2377,2715,2461,1543,985,1790071,40.986667,-91.541944,1131,79.76,,,,,,11.05,7.22,12.32,17.0,7.65,8.5,26.77,8.92,36.97,8.92,-0.072222,-5.2,5.05,0.0,-4.272222,73.488495
US_IA_19087,2020-01-07,ChIJJ3UvvXGV5ocRaCg1fNfgLLA,Q178281,geoId/19087,US,United States of America,IA,Iowa,19087,Henry County,US,USA,2,,,,,,,20044,10366,9678,2336,2600,2626,2401,2377,2715,2461,1543,985,1790071,40.986667,-91.541944,1131,79.76,,,,,,6.39,8.38,7.59,16.77,,7.19,20.76,,33.54,6.39,0.566667,-2.861111,5.688889,0.0,-4.283333,70.094217
US_IA_19087,2020-01-08,ChIJJ3UvvXGV5ocRaCg1fNfgLLA,Q178281,geoId/19087,US,United States of America,IA,Iowa,19087,Henry County,US,USA,2,,,,,,,20044,10366,9678,2336,2600,2626,2401,2377,2715,2461,1543,985,1790071,40.986667,-91.541944,1131,79.76,,,,,,,6.34,7.19,,6.34,8.88,26.21,8.46,31.28,13.11,-3.994444,-8.983333,2.177778,0.0,-11.233333,57.232788
US_IA_19087,2020-01-09,ChIJJ3UvvXGV5ocRaCg1fNfgLLA,Q178281,geoId/19087,US,United States of America,IA,Iowa,19087,Henry County,US,USA,2,,,,,,,20044,10366,9678,2336,2600,2626,2401,2377,2715,2461,1543,985,1790071,40.986667,-91.541944,1131,79.76,,,,,,,8.92,9.81,15.16,11.59,,26.31,7.58,37.45,9.36,5.188889,-3.905556,16.011111,0.0,-1.444444,62.363242
US_IA_19087,2020-01-10,ChIJJ3UvvXGV5ocRaCg1fNfgLLA,Q178281,geoId/19087,US,United States of America,IA,Iowa,19087,Henry County,US,USA,2,,,,,,,20044,10366,9678,2336,2600,2626,2401,2377,2715,2461,1543,985,1790071,40.986667,-91.541944,1131,79.76,,,,,,,9.95,7.46,12.86,,,21.98,6.63,29.45,,2.861111,-1.0,12.255556,1.2192,0.377778,83.9119
