location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13293,2020-01-01,ChIJj0Uxk_1-84gRULKHhYqffxo,Q498377,geoId/13293,US,United States of America,GA,Georgia,13293,Upson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26201,12440,13761,3205,3229,3267,2857,3247,3809,3361,2136,1090,1029447,32.88,-84.3,849,73.071429,,,,,5.75,7.55,12.59,8.27,6.83,8.63,14.38,11.15,,7.91,,,9.35,5.39,19.06,8.27,7.55,,48.19,5.39,,7.566667,1.505556,15.072222,0.0,-2.183333,50.189888
US_GA_13293,2020-01-02,ChIJj0Uxk_1-84gRULKHhYqffxo,Q498377,geoId/13293,US,United States of America,GA,Georgia,13293,Upson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26201,12440,13761,3205,3229,3267,2857,3247,3809,3361,2136,1090,1029447,32.88,-84.3,849,73.071429,,,,,7.29,17.01,12.85,5.56,4.86,7.29,16.32,12.5,,9.72,7.29,5.21,5.9,9.72,30.56,6.95,8.68,7.29,46.88,7.29,5.21,9.133333,4.166667,13.666667,0.211667,4.711111,74.101314
US_GA_13293,2020-01-03,ChIJj0Uxk_1-84gRULKHhYqffxo,Q498377,geoId/13293,US,United States of America,GA,Georgia,13293,Upson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26201,12440,13761,3205,3229,3267,2857,3247,3809,3361,2136,1090,1029447,32.88,-84.3,849,73.071429,,,,,7.13,9.84,6.79,,6.45,,16.29,10.52,4.75,8.48,,5.77,6.11,7.81,28.85,9.16,7.81,7.47,37.67,8.15,6.11,17.711111,9.766667,22.866667,13.208,15.883333,89.383524
US_GA_13293,2020-01-04,ChIJj0Uxk_1-84gRULKHhYqffxo,Q498377,geoId/13293,US,United States of America,GA,Georgia,13293,Upson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26201,12440,13761,3205,3229,3267,2857,3247,3809,3361,2136,1090,1029447,32.88,-84.3,849,73.071429,,,,,,9.32,9.68,6.1,6.81,,15.78,9.68,5.02,9.68,7.17,,6.1,5.74,14.7,7.53,7.89,,43.03,6.1,,15.072222,9.983333,19.972222,18.161,11.027778,76.826072
US_GA_13293,2020-01-05,ChIJj0Uxk_1-84gRULKHhYqffxo,Q498377,geoId/13293,US,United States of America,GA,Georgia,13293,Upson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26201,12440,13761,3205,3229,3267,2857,3247,3809,3361,2136,1090,1029447,32.88,-84.3,849,73.071429,,,,,6.61,11.75,9.18,6.61,,5.87,15.79,12.48,,9.18,6.24,5.51,6.61,8.44,23.5,6.61,9.91,,35.24,5.14,7.71,6.05,0.033333,15.283333,0.3048,-2.433333,54.683115
US_GA_13293,2020-01-06,ChIJj0Uxk_1-84gRULKHhYqffxo,Q498377,geoId/13293,US,United States of America,GA,Georgia,13293,Upson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26201,12440,13761,3205,3229,3267,2857,3247,3809,3361,2136,1090,1029447,32.88,-84.3,849,73.071429,,,,,6.5,10.84,11.92,10.47,8.31,7.22,13.72,5.42,,10.84,5.42,,,9.75,28.53,5.06,7.22,5.06,49.12,9.03,5.78,8.533333,1.261111,18.488889,0.0,1.866667,63.092273
US_GA_13293,2020-01-07,ChIJj0Uxk_1-84gRULKHhYqffxo,Q498377,geoId/13293,US,United States of America,GA,Georgia,13293,Upson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26201,12440,13761,3205,3229,3267,2857,3247,3809,3361,2136,1090,1029447,32.88,-84.3,849,73.071429,,,,,,14.27,10.1,11.49,,5.92,12.53,9.05,,12.18,6.96,,6.96,9.4,29.24,8.35,7.31,,46.64,8.7,6.61,11.677778,4.933333,17.088889,0.15875,4.138889,59.915745
US_GA_13293,2020-01-08,ChIJj0Uxk_1-84gRULKHhYqffxo,Q498377,geoId/13293,US,United States of America,GA,Georgia,13293,Upson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26201,12440,13761,3205,3229,3267,2857,3247,3809,3361,2136,1090,1029447,32.88,-84.3,849,73.071429,,,,,4.53,6.34,4.83,6.95,5.74,8.46,11.48,6.65,8.46,13.9,5.44,6.04,,8.76,30.21,4.53,9.97,6.95,42.3,10.27,5.44,8.194444,0.388889,17.494444,0.0,-2.983333,45.415205
US_GA_13293,2020-01-09,ChIJj0Uxk_1-84gRULKHhYqffxo,Q498377,geoId/13293,US,United States of America,GA,Georgia,13293,Upson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26201,12440,13761,3205,3229,3267,2857,3247,3809,3361,2136,1090,1029447,32.88,-84.3,849,73.071429,,,,,4.53,8.15,10.27,9.66,4.23,6.34,14.49,10.27,,10.57,7.55,,5.43,7.85,31.1,6.04,8.45,4.53,43.18,7.85,5.74,8.077778,-0.488889,18.938889,0.0,0.566667,59.411649
US_GA_13293,2020-01-10,ChIJj0Uxk_1-84gRULKHhYqffxo,Q498377,geoId/13293,US,United States of America,GA,Georgia,13293,Upson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26201,12440,13761,3205,3229,3267,2857,3247,3809,3361,2136,1090,1029447,32.88,-84.3,849,73.071429,,,,,,5.72,8.44,7.23,6.63,5.12,12.05,6.33,4.52,9.34,,4.22,,8.13,29.53,6.33,11.45,4.22,38.57,8.44,,15.65,10.961111,20.911111,0.0,10.505556,71.526896
