location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26101,2020-01-01,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,10.52,7.51,6.76,,6.39,15.78,8.26,,9.02,25.92,6.76,,44.33,10.52,,-2.127778,-6.244444,2.522222,0.028222,99.06,-6.119048,73.456698
US_MI_26101,2020-01-02,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,7.17,6.81,,6.45,7.17,18.28,8.6,5.74,10.04,25.09,10.39,7.88,37.63,6.45,,4.094444,1.333333,5.805556,0.0508,30.48,-0.547619,72.603141
US_MI_26101,2020-01-03,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,6.7,7.45,7.07,9.68,,12.29,,,5.58,22.71,,8.56,44.3,6.33,,2.077778,0.25,5.216667,0.0,,-1.746032,75.673734
US_MI_26101,2020-01-04,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,8.86,6.94,6.94,5.78,6.17,20.04,11.56,,,23.12,,6.17,31.6,5.78,,-0.711111,-1.7,0.722222,0.042333,,-3.888889,79.248183
US_MI_26101,2020-01-05,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,8.68,11.84,18.16,,7.5,18.95,8.29,,6.32,22.5,11.05,,27.23,,7.5,-0.577778,-2.072222,1.055556,0.0,78.74,-4.380952,76.454121
US_MI_26101,2020-01-06,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,5.83,,8.02,6.56,,20.79,9.12,,8.75,27.35,,6.2,35.37,,,0.511111,-1.844444,2.472222,0.47625,78.74,-4.992063,67.272206
US_MI_26101,2020-01-07,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,6.63,14.36,6.63,,6.63,12.15,6.63,7.36,9.2,22.82,6.26,,38.28,,5.89,1.283333,-1.116667,2.905556,0.0,50.8,-3.626984,71.790895
US_MI_26101,2020-01-08,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,,5.92,7.03,6.29,5.55,10.36,7.4,6.29,,24.05,,5.55,38.48,8.51,,-6.133333,-9.188889,0.894444,0.0,50.8,-12.420635,60.75589
US_MI_26101,2020-01-09,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,,11.46,7.02,6.65,5.91,10.35,8.5,,8.5,25.87,,7.39,45.83,6.28,5.54,-4.711111,-9.711111,3.977778,0.181429,50.8,-10.47619,66.576336
US_MI_26101,2020-01-10,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,4.94,8.82,6.71,7.41,5.65,9.88,7.41,,7.41,20.82,,6.0,38.47,5.65,,4.75,1.094444,8.005556,0.108857,,2.380952,82.41457
US_MI_26101,2020-01-11,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,7.68,7.3,6.91,,6.53,9.99,8.84,,6.15,19.97,,,35.72,8.84,,-0.6,-3.588889,4.066667,3.937,78.74,-2.634921,85.263249
US_MI_26101,2020-01-12,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,,8.24,8.24,,,13.73,9.81,,,22.36,,7.06,36.88,,7.45,-6.755556,-9.7,-2.416667,0.22225,99.06,-10.047619,79.059077
US_MI_26101,2020-01-13,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,5.7,11.4,12.47,,,12.82,8.9,,4.99,23.15,6.77,6.41,35.26,8.9,,-3.45,-6.772222,0.2,0.544286,129.54,-5.47619,86.734335
US_MI_26101,2020-01-14,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,7.9,8.98,7.18,,6.83,16.89,11.86,,8.98,26.23,,8.26,41.68,6.47,,0.327778,-1.461111,2.227778,0.108857,78.74,-1.690476,87.25861
US_MI_26101,2020-01-15,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,,5.07,10.15,5.8,,15.59,14.5,,6.89,21.75,5.07,5.8,35.88,6.16,5.07,0.955556,-0.65,2.144444,0.0,78.74,-2.015873,80.47913
US_MI_26101,2020-01-16,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,5.78,14.81,5.78,,,13.0,7.22,,12.64,21.31,,8.31,36.84,5.06,5.06,-3.227778,-7.588889,1.077778,0.042333,129.54,-6.246032,77.965963
US_MI_26101,2020-01-17,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,8.04,8.41,6.58,5.12,,12.43,6.22,,8.41,16.46,6.22,,31.82,8.41,6.22,-6.788889,-8.927778,-3.3,0.0,99.06,-11.428571,68.022178
US_MI_26101,2020-01-18,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,6.24,8.97,7.41,6.63,,14.05,,,10.14,23.8,6.24,8.19,35.51,8.19,,-3.038889,-5.305556,0.561111,0.47625,200.66,-5.650794,84.243996
US_MI_26101,2020-01-19,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,,8.73,,7.21,,9.87,,,,25.43,5.69,6.45,35.68,6.45,,-4.161111,-6.927778,-0.188889,1.947333,248.92,-7.531746,76.791459
US_MI_26101,2020-01-20,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,8.45,12.86,11.76,,,11.03,10.29,,8.82,18.01,,,39.69,8.45,13.6,-4.911111,-7.355556,-2.894444,0.169333,248.92,-9.373016,72.350625
US_MI_26101,2020-01-21,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,6.6,6.96,9.16,,6.96,16.49,,,8.43,28.59,5.86,,39.95,8.06,,-5.833333,-11.222222,-1.583333,0.0,231.14,-10.071429,74.884892
US_MI_26101,2020-01-22,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,,,6.29,,5.92,14.44,5.92,,11.11,21.85,,,38.14,,6.29,-0.544444,-2.6,2.172222,0.0,180.34,-4.190476,75.686215
US_MI_26101,2020-01-23,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,5.99,8.98,9.35,,,16.83,7.48,,,19.83,7.48,7.86,36.29,,,-0.205556,-1.777778,1.361111,0.290286,180.34,-3.579365,78.825016
US_MI_26101,2020-01-24,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,,8.85,9.59,,5.53,22.5,7.75,,5.53,25.45,6.27,7.38,30.61,,,0.933333,-0.105556,2.95,0.98425,180.34,-0.412698,91.559873
US_MI_26101,2020-01-25,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,10.52,7.8,8.57,,,21.05,7.8,,7.41,24.95,6.63,12.08,33.91,7.41,,1.172222,0.172222,2.533333,2.2225,129.54,0.428571,94.829008
US_MI_26101,2020-01-26,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,9.32,,6.71,,6.71,18.26,,,5.96,33.17,,7.08,28.7,6.71,,1.122222,0.316667,2.161111,0.28575,129.54,-0.206349,91.674938
US_MI_26101,2020-01-27,ChIJRWp_YrpCHogRPxUSaocrMSM,Q502727,geoId/26101,US,United States of America,MI,Michigan,26101,Manistee County,US,USA,2,,,,,,,24393,12563,11830,2089,2669,2631,2362,2600,3698,4301,2607,1436,1907321,44.3,-86.31,3317,77.775,,,,,6.71,6.34,,6.71,,13.04,8.2,,6.71,24.97,,8.95,29.44,13.42,,0.583333,-0.122222,1.744444,0.127,99.06,-1.349206,87.474364
