location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IL_17055,2020-01-01,ChIJVepyV9rQdogRg0PlzAok3RI,Q486491,geoId/17055,US,United States of America,IL,Illinois,17055,Franklin County,US,USA,2,,,,,,,38995,19226,19769,4718,4777,4339,4402,4841,5377,5080,3519,1942,1800954,37.99,-88.92,1117,75.3,,,,,,9.46,9.46,5.68,10.82,5.14,5.41,,4.87,16.5,6.49,4.33,6.22,5.41,5.95,4.87,4.87,5.14,4.87,5.41,30.02,5.68,8.11,4.6,4.06,4.06,42.73,5.95,8.65,3.79,,5.41,3.983333,-1.938889,11.644444,0.0,-1.95,65.428292
US_IL_17055,2020-01-02,ChIJVepyV9rQdogRg0PlzAok3RI,Q486491,geoId/17055,US,United States of America,IL,Illinois,17055,Franklin County,US,USA,2,,,,,,,38995,19226,19769,4718,4777,4339,4402,4841,5377,5080,3519,1942,1800954,37.99,-88.92,1117,75.3,,,,,,8.71,5.17,,8.98,6.81,5.45,7.62,,19.6,13.07,5.17,8.44,5.45,6.26,3.81,6.26,,7.08,8.71,32.4,7.08,4.9,3.81,5.45,5.99,38.66,4.36,7.62,5.99,7.08,6.54,7.7,4.294444,11.144444,0.5715,2.094444,67.801052
US_IL_17055,2020-01-03,ChIJVepyV9rQdogRg0PlzAok3RI,Q486491,geoId/17055,US,United States of America,IL,Illinois,17055,Franklin County,US,USA,2,,,,,,,38995,19226,19769,4718,4777,4339,4402,4841,5377,5080,3519,1942,1800954,37.99,-88.92,1117,75.3,,,,,,7.0,5.71,5.71,9.86,6.23,6.23,,4.41,16.34,7.0,5.71,9.34,4.41,3.63,6.23,4.67,,5.19,7.78,23.35,6.75,6.75,3.63,5.71,5.45,42.29,,6.75,5.71,6.23,4.93,8.15,4.877778,9.716667,6.053667,7.866667,98.10379
US_IL_17055,2020-01-04,ChIJVepyV9rQdogRg0PlzAok3RI,Q486491,geoId/17055,US,United States of America,IL,Illinois,17055,Franklin County,US,USA,2,,,,,,,38995,19226,19769,4718,4777,4339,4402,4841,5377,5080,3519,1942,1800954,37.99,-88.92,1117,75.3,,,,,,4.09,6.82,,13.1,7.64,,6.28,8.19,17.46,9.82,4.64,6.0,4.91,,,6.55,,4.37,9.28,27.56,4.91,9.28,,4.91,7.09,40.93,4.91,6.28,3.82,,6.0,2.872222,0.616667,5.333333,0.544286,0.888889,86.876929
US_IL_17055,2020-01-05,ChIJVepyV9rQdogRg0PlzAok3RI,Q486491,geoId/17055,US,United States of America,IL,Illinois,17055,Franklin County,US,USA,2,,,,,,,38995,19226,19769,4718,4777,4339,4402,4841,5377,5080,3519,1942,1800954,37.99,-88.92,1117,75.3,,,,,,8.23,9.61,,11.8,9.88,8.23,7.13,6.59,17.84,12.07,4.12,5.49,3.84,6.86,7.68,6.86,3.84,6.04,3.84,20.58,6.31,6.86,4.94,5.49,,44.73,,6.31,7.68,4.39,4.94,2.661111,-2.927778,12.138889,0.0254,-1.7,73.047333
US_IL_17055,2020-01-06,ChIJVepyV9rQdogRg0PlzAok3RI,Q486491,geoId/17055,US,United States of America,IL,Illinois,17055,Franklin County,US,USA,2,,,,,,,38995,19226,19769,4718,4777,4339,4402,4841,5377,5080,3519,1942,1800954,37.99,-88.92,1117,75.3,,,,,,4.62,5.78,4.86,7.17,8.79,,7.4,,13.64,8.55,5.32,10.64,,7.17,5.32,3.7,,,6.24,21.04,5.78,5.78,3.93,3.24,4.39,35.61,5.78,4.86,5.78,6.01,6.47,3.594444,-2.994444,9.455556,0.0,-2.633333,63.909036
US_IL_17055,2020-01-07,ChIJVepyV9rQdogRg0PlzAok3RI,Q486491,geoId/17055,US,United States of America,IL,Illinois,17055,Franklin County,US,USA,2,,,,,,,38995,19226,19769,4718,4777,4339,4402,4841,5377,5080,3519,1942,1800954,37.99,-88.92,1117,75.3,,,,,,4.26,5.39,3.81,8.08,4.71,4.71,,4.71,12.34,6.73,5.61,12.34,3.37,3.81,,4.49,3.14,4.04,8.53,22.22,7.85,5.39,3.59,4.04,5.61,32.76,4.26,7.18,,5.16,6.51,2.233333,-3.766667,8.755556,0.0,-2.922222,68.900468
US_IL_17055,2020-01-08,ChIJVepyV9rQdogRg0PlzAok3RI,Q486491,geoId/17055,US,United States of America,IL,Illinois,17055,Franklin County,US,USA,2,,,,,,,38995,19226,19769,4718,4777,4339,4402,4841,5377,5080,3519,1942,1800954,37.99,-88.92,1117,75.3,,,,,,5.17,8.55,4.72,8.33,7.2,5.62,9.23,3.38,13.73,8.78,3.83,8.33,4.5,4.05,,3.38,,4.72,7.2,25.43,3.6,5.62,5.62,,4.95,36.68,,9.0,5.85,4.5,3.83,3.122222,-1.244444,7.961111,0.0,-5.661111,52.691538
US_IL_17055,2020-01-09,ChIJVepyV9rQdogRg0PlzAok3RI,Q486491,geoId/17055,US,United States of America,IL,Illinois,17055,Franklin County,US,USA,2,,,,,,,38995,19226,19769,4718,4777,4339,4402,4841,5377,5080,3519,1942,1800954,37.99,-88.92,1117,75.3,,,,,,5.62,6.05,,6.92,6.05,4.54,5.19,3.24,11.46,6.7,4.54,11.46,4.97,4.76,4.33,5.19,,4.97,9.08,22.27,4.33,8.87,4.33,4.33,6.7,29.19,3.46,8.43,3.46,4.97,3.24,7.405556,1.311111,13.794444,0.0,-1.088889,55.015973
US_IL_17055,2020-01-10,ChIJVepyV9rQdogRg0PlzAok3RI,Q486491,geoId/17055,US,United States of America,IL,Illinois,17055,Franklin County,US,USA,2,,,,,,,38995,19226,19769,4718,4777,4339,4402,4841,5377,5080,3519,1942,1800954,37.99,-88.92,1117,75.3,,,,,,3.64,6.85,,9.63,4.49,7.06,,3.21,10.7,6.21,4.49,7.49,,4.49,,,3.21,4.07,10.27,24.18,3.64,6.42,,4.07,4.07,38.3,,6.85,5.14,4.07,6.85,12.505556,8.888889,14.572222,24.7015,10.8,89.386549
