location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,cumulative_confirmed,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,mobility_retail_and_recreation,mobility_parks,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_PR_72089,2020-01-20,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,25.037037,22.851852,27.851852,3.39725,22.011111,83.866061
US_PR_72089,2020-01-21,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.104938,23.438272,28.592593,3.104444,21.288889,75.358047
US_PR_72089,2020-01-22,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.160494,23.611111,28.679012,0.225778,21.811111,78.510058
US_PR_72089,2020-01-23,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,25.950617,23.469136,28.382716,2.19075,22.188889,81.72871
US_PR_72089,2020-01-24,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,24.709877,22.765432,27.753086,10.6045,22.144444,85.450014
US_PR_72089,2020-01-25,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,25.160494,22.296296,28.179012,5.334,21.066667,78.794802
US_PR_72089,2020-01-26,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,25.203704,22.734568,27.753086,1.411111,21.155556,79.669153
US_PR_72089,2020-01-27,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,24.975309,22.339506,27.95679,3.39725,21.569444,79.886378
US_PR_72089,2020-01-28,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,25.475309,22.345679,28.401235,1.157111,22.1,83.826171
US_PR_72089,2020-01-29,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,25.993827,22.641975,29.382716,0.197556,21.3,77.298665
US_PR_72089,2020-01-30,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.148148,22.5,29.567901,0.028222,21.466667,75.27781
US_PR_72089,2020-01-31,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.395062,23.271605,29.54321,0.0,21.8,76.390156
US_PR_72089,2020-02-01,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.641975,23.82716,29.0,0.056444,21.677778,74.090447
US_PR_72089,2020-02-02,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.58642,23.91358,29.617284,0.0,20.844444,71.849295
US_PR_72089,2020-02-03,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.345679,23.160494,29.481481,0.0,20.977778,72.587378
US_PR_72089,2020-02-04,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.611111,23.851852,29.216049,0.028222,20.655556,69.456789
US_PR_72089,2020-02-05,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.746914,24.302469,29.506173,0.028222,21.044444,70.807642
US_PR_72089,2020-02-06,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,27.111111,24.666667,29.67284,0.141111,21.255556,70.58104
US_PR_72089,2020-02-07,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.901235,24.617284,29.141975,0.254,21.2,71.546284
