location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48007,2020-01-01,ChIJJxJm5H5JaIYRwOZqhsJvLFU,Q107982,geoId/48007,US,United States of America,TX,Texas,48007,Aransas County,US,USA,2,,,,,,,25392,12573,12819,2638,2591,2621,2473,2578,3620,4060,3271,1540,1828408,28.1,-96.99,1367,76.32,,,,,,5.07,6.43,15.9,10.49,7.1,5.07,17.93,10.82,,10.15,,,6.43,9.13,21.31,,7.1,6.77,45.67,9.81,6.09,15.358025,13.506173,17.771605,0.73025,10.694444,71.073355
US_TX_48007,2020-01-02,ChIJJxJm5H5JaIYRwOZqhsJvLFU,Q107982,geoId/48007,US,United States of America,TX,Texas,48007,Aransas County,US,USA,2,,,,,,,25392,12573,12819,2638,2591,2621,2473,2578,3620,4060,3271,1540,1828408,28.1,-96.99,1367,76.32,,,,,,5.62,7.28,15.22,12.57,7.28,5.29,17.2,9.93,,7.94,6.62,,,10.92,21.5,5.96,5.62,5.29,40.36,6.62,4.96,16.345679,14.839506,17.864198,2.44475,15.333333,92.401083
US_TX_48007,2020-01-03,ChIJJxJm5H5JaIYRwOZqhsJvLFU,Q107982,geoId/48007,US,United States of America,TX,Texas,48007,Aransas County,US,USA,2,,,,,,,25392,12573,12819,2638,2591,2621,2473,2578,3620,4060,3271,1540,1828408,28.1,-96.99,1367,76.32,,,,,,,,9.45,4.9,4.9,,17.84,8.4,,9.45,,7.0,,8.75,17.14,7.35,5.25,,37.09,,5.6,16.753086,13.469136,21.45679,0.197556,12.111111,72.743621
US_TX_48007,2020-01-04,ChIJJxJm5H5JaIYRwOZqhsJvLFU,Q107982,geoId/48007,US,United States of America,TX,Texas,48007,Aransas County,US,USA,2,,,,,,,25392,12573,12819,2638,2591,2621,2473,2578,3620,4060,3271,1540,1828408,28.1,-96.99,1367,76.32,,,,,,5.68,6.75,12.08,6.39,6.75,5.33,9.95,6.75,,,,,,7.46,23.09,7.46,5.33,,40.15,5.68,,13.759259,8.265432,19.993827,0.0,5.152778,54.478856
US_TX_48007,2020-01-05,ChIJJxJm5H5JaIYRwOZqhsJvLFU,Q107982,geoId/48007,US,United States of America,TX,Texas,48007,Aransas County,US,USA,2,,,,,,,25392,12573,12819,2638,2591,2621,2473,2578,3620,4060,3271,1540,1828408,28.1,-96.99,1367,76.32,,,,,,,7.03,14.41,7.74,7.74,5.27,12.66,8.09,,9.49,,4.92,,8.09,17.58,6.33,5.98,,34.81,4.92,5.98,14.864198,9.055556,20.197531,0.056444,10.458333,71.682512
US_TX_48007,2020-01-06,ChIJJxJm5H5JaIYRwOZqhsJvLFU,Q107982,geoId/48007,US,United States of America,TX,Texas,48007,Aransas County,US,USA,2,,,,,,,25392,12573,12819,2638,2591,2621,2473,2578,3620,4060,3271,1540,1828408,28.1,-96.99,1367,76.32,,,,,,,8.84,16.66,6.8,,8.5,10.54,7.48,,10.2,,,,6.46,22.09,8.16,12.24,,39.43,,5.78,17.382716,14.203704,21.092593,0.056444,14.111111,78.371627
US_TX_48007,2020-01-07,ChIJJxJm5H5JaIYRwOZqhsJvLFU,Q107982,geoId/48007,US,United States of America,TX,Texas,48007,Aransas County,US,USA,2,,,,,,,25392,12573,12819,2638,2591,2621,2473,2578,3620,4060,3271,1540,1828408,28.1,-96.99,1367,76.32,,,,,,5.76,7.88,11.52,5.76,6.37,6.06,14.55,8.19,,10.31,4.85,,4.24,10.0,18.19,4.24,5.76,,34.86,6.06,,15.777778,12.037037,19.512346,0.084667,9.194444,63.333038
US_TX_48007,2020-01-08,ChIJJxJm5H5JaIYRwOZqhsJvLFU,Q107982,geoId/48007,US,United States of America,TX,Texas,48007,Aransas County,US,USA,2,,,,,,,25392,12573,12819,2638,2591,2621,2473,2578,3620,4060,3271,1540,1828408,28.1,-96.99,1367,76.32,,,,,,,6.96,13.0,5.75,5.75,6.05,14.21,7.26,4.54,8.47,4.84,6.35,,9.98,26.01,6.96,6.96,5.44,39.62,11.19,8.16,14.814815,9.777778,20.5,0.0,9.375,67.197552
US_TX_48007,2020-01-09,ChIJJxJm5H5JaIYRwOZqhsJvLFU,Q107982,geoId/48007,US,United States of America,TX,Texas,48007,Aransas County,US,USA,2,,,,,,,25392,12573,12819,2638,2591,2621,2473,2578,3620,4060,3271,1540,1828408,28.1,-96.99,1367,76.32,,,,,,,8.13,9.59,10.46,6.68,4.36,13.36,8.71,5.81,7.55,5.23,,4.36,7.26,25.27,6.97,7.55,7.26,28.75,10.75,4.07,19.993827,18.290123,22.487654,0.22225,17.944444,86.636179
US_TX_48007,2020-01-10,ChIJJxJm5H5JaIYRwOZqhsJvLFU,Q107982,geoId/48007,US,United States of America,TX,Texas,48007,Aransas County,US,USA,2,,,,,,,25392,12573,12819,2638,2591,2621,2473,2578,3620,4060,3271,1540,1828408,28.1,-96.99,1367,76.32,,,,,,5.76,6.03,10.42,6.31,8.23,5.49,9.87,5.49,3.84,10.97,5.21,,,4.94,18.37,7.13,5.21,5.49,39.21,5.76,5.76,20.771605,19.728395,22.197531,0.056444,19.541667,92.253201
US_TX_48007,2020-01-11,ChIJJxJm5H5JaIYRwOZqhsJvLFU,Q107982,geoId/48007,US,United States of America,TX,Texas,48007,Aransas County,US,USA,2,,,,,,,25392,12573,12819,2638,2591,2621,2473,2578,3620,4060,3271,1540,1828408,28.1,-96.99,1367,76.32,,,,,,,8.54,14.95,,7.47,,9.96,6.41,,9.25,,,6.76,10.68,27.05,,10.68,,33.81,8.19,6.05,18.148148,14.209877,22.148148,1.3335,11.736111,65.322535
US_TX_48007,2020-01-12,ChIJJxJm5H5JaIYRwOZqhsJvLFU,Q107982,geoId/48007,US,United States of America,TX,Texas,48007,Aransas County,US,USA,2,,,,,,,25392,12573,12819,2638,2591,2621,2473,2578,3620,4060,3271,1540,1828408,28.1,-96.99,1367,76.32,,,,,,,9.65,14.13,5.17,5.51,,11.03,6.55,,16.2,,,,8.62,21.71,4.82,6.55,6.2,37.56,6.55,5.51,14.950617,11.296296,20.04321,0.0,9.944444,69.258778
