location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13233,2020-01-01,ChIJDyJBVRO2iogRJeQ8QxtLUMw,Q498395,geoId/13233,US,United States of America,GA,Georgia,13233,Polk County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41818,20621,21197,5779,5847,5382,5357,5059,5479,4530,2993,1392,1029452,34.0,-85.18,808,73.728571,,,,,4.7,9.91,,9.91,8.09,3.65,5.48,6.52,,36.78,3.65,14.87,,4.17,5.48,4.43,6.78,7.56,7.04,7.56,7.56,7.56,8.35,23.74,6.26,,9.91,,7.04,5.48,7.04,39.91,4.43,9.39,8.87,4.7,5.22,,5.016667,-0.855556,12.427778,0.0,-3.45679,53.20263
US_GA_13233,2020-01-02,ChIJDyJBVRO2iogRJeQ8QxtLUMw,Q498395,geoId/13233,US,United States of America,GA,Georgia,13233,Polk County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41818,20621,21197,5779,5847,5382,5357,5059,5479,4530,2993,1392,1029452,34.0,-85.18,808,73.728571,,,,,9.35,11.12,4.8,13.14,8.09,5.56,7.08,5.81,,24.52,4.55,17.95,3.79,7.84,14.41,7.84,7.33,6.83,4.8,5.05,7.84,4.3,9.1,35.64,7.84,3.54,10.62,3.79,5.05,7.08,5.81,50.05,4.04,7.58,5.81,5.56,4.3,7.08,6.883333,2.611111,11.116667,0.127,3.191358,77.350564
US_GA_13233,2020-01-03,ChIJDyJBVRO2iogRJeQ8QxtLUMw,Q498395,geoId/13233,US,United States of America,GA,Georgia,13233,Polk County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41818,20621,21197,5779,5847,5382,5357,5059,5479,4530,2993,1392,1029452,34.0,-85.18,808,73.728571,,,,,9.22,8.22,3.74,14.2,9.22,4.98,5.48,3.99,,23.17,4.98,15.45,5.48,6.23,8.47,3.99,7.22,9.97,5.73,5.48,6.98,4.49,11.46,32.14,10.46,,11.71,4.98,3.49,4.73,6.48,47.84,6.23,6.23,,3.49,6.73,3.74,12.388889,7.188889,15.438889,32.088667,11.882716,96.067393
US_GA_13233,2020-01-04,ChIJDyJBVRO2iogRJeQ8QxtLUMw,Q498395,geoId/13233,US,United States of America,GA,Georgia,13233,Polk County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41818,20621,21197,5779,5847,5382,5357,5059,5479,4530,2993,1392,1029452,34.0,-85.18,808,73.728571,,,,,7.97,5.4,3.86,14.91,10.29,6.43,6.68,4.63,,24.68,6.43,11.83,5.4,3.6,9.26,3.86,3.6,5.91,5.14,3.6,6.68,,10.54,26.48,9.77,,10.29,3.6,,3.86,5.4,40.62,3.6,6.94,5.91,4.88,9.77,,11.744444,4.905556,14.427778,19.8628,7.864198,76.551888
US_GA_13233,2020-01-05,ChIJDyJBVRO2iogRJeQ8QxtLUMw,Q498395,geoId/13233,US,United States of America,GA,Georgia,13233,Polk County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41818,20621,21197,5779,5847,5382,5357,5059,5479,4530,2993,1392,1029452,34.0,-85.18,808,73.728571,,,,,5.71,9.34,5.45,12.45,7.78,6.75,4.93,4.15,3.63,19.46,5.45,12.71,4.41,,9.34,,5.71,7.0,5.97,3.63,5.97,5.71,6.49,23.87,8.56,,9.08,3.63,5.45,5.19,7.26,46.95,4.15,8.56,8.82,3.89,9.08,3.63,3.594444,-1.811111,12.283333,0.3302,-2.919753,62.019224
US_GA_13233,2020-01-06,ChIJDyJBVRO2iogRJeQ8QxtLUMw,Q498395,geoId/13233,US,United States of America,GA,Georgia,13233,Polk County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41818,20621,21197,5779,5847,5382,5357,5059,5479,4530,2993,1392,1029452,34.0,-85.18,808,73.728571,,,,,6.48,11.71,6.98,13.71,9.97,7.48,5.98,4.24,,22.43,7.23,14.46,4.24,7.23,7.73,3.99,5.73,5.98,3.99,5.48,4.99,4.49,7.73,26.67,4.24,6.73,11.21,,4.49,7.48,6.23,44.11,5.73,8.47,6.23,4.74,7.23,3.99,5.916667,-0.855556,15.877778,0.0,0.598765,67.813922
US_GA_13233,2020-01-07,ChIJDyJBVRO2iogRJeQ8QxtLUMw,Q498395,geoId/13233,US,United States of America,GA,Georgia,13233,Polk County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41818,20621,21197,5779,5847,5382,5357,5059,5479,4530,2993,1392,1029452,34.0,-85.18,808,73.728571,,,,,2.87,7.18,3.08,8.0,7.59,5.54,5.95,5.13,4.51,17.85,5.33,11.69,3.69,3.49,6.77,5.54,5.54,5.13,4.51,5.54,6.36,,8.82,31.59,7.38,3.9,9.23,2.87,3.9,6.15,6.57,46.16,4.92,10.87,5.95,4.72,6.36,3.69,9.922222,3.861111,13.955556,0.7112,2.740741,60.848863
US_GA_13233,2020-01-08,ChIJDyJBVRO2iogRJeQ8QxtLUMw,Q498395,geoId/13233,US,United States of America,GA,Georgia,13233,Polk County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41818,20621,21197,5779,5847,5382,5357,5059,5479,4530,2993,1392,1029452,34.0,-85.18,808,73.728571,,,,,5.21,6.21,4.01,10.83,8.62,6.01,3.81,6.01,3.61,19.85,5.61,10.22,2.81,3.81,8.82,4.41,5.21,4.61,4.01,4.21,3.41,,10.22,32.88,7.62,,8.22,,4.01,4.21,8.02,41.1,4.81,11.63,8.02,5.21,6.01,3.41,6.066667,-1.533333,15.627778,0.2794,-3.438272,49.747312
US_GA_13233,2020-01-09,ChIJDyJBVRO2iogRJeQ8QxtLUMw,Q498395,geoId/13233,US,United States of America,GA,Georgia,13233,Polk County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41818,20621,21197,5779,5847,5382,5357,5059,5479,4530,2993,1392,1029452,34.0,-85.18,808,73.728571,,,,,6.46,8.03,,10.97,9.2,4.11,4.7,4.5,3.13,19.58,5.09,10.38,,,8.62,4.5,7.05,5.88,5.09,3.92,5.09,4.5,8.22,32.31,7.44,2.94,8.03,,5.48,4.11,5.29,38.77,5.48,11.75,5.48,5.88,3.72,2.74,7.227778,-0.516667,16.55,0.0,-1.222222,54.855103
US_GA_13233,2020-01-10,ChIJDyJBVRO2iogRJeQ8QxtLUMw,Q498395,geoId/13233,US,United States of America,GA,Georgia,13233,Polk County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41818,20621,21197,5779,5847,5382,5357,5059,5479,4530,2993,1392,1029452,34.0,-85.18,808,73.728571,,,,,6.0,6.94,,9.19,8.81,4.87,4.12,3.75,2.81,15.37,,7.5,,5.06,11.62,3.75,5.44,,3.94,4.69,3.75,2.62,6.94,27.0,6.75,,6.94,4.69,6.19,,6.19,37.49,6.75,6.0,6.37,3.75,3.75,2.81,14.161111,11.061111,18.027778,0.0,7.722222,64.953859
