location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13227,2020-01-01,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,5.57,10.85,4.17,12.52,7.79,6.4,4.45,5.01,28.1,,17.53,,5.29,10.02,4.73,6.68,5.57,,6.96,7.79,4.17,27.27,8.9,7.23,,4.73,6.4,43.12,5.29,8.35,6.4,4.73,5.84,5.761111,0.172222,12.566667,0.0,-3.577778,51.27451
US_GA_13227,2020-01-02,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,6.69,5.89,,15.25,6.69,11.77,4.82,4.82,19.0,3.75,14.45,5.35,4.82,9.36,5.08,6.15,3.75,5.62,6.69,7.76,10.43,30.5,7.76,9.9,5.35,5.62,4.82,47.09,,10.17,8.56,,6.96,6.433333,1.605556,11.505556,1.9685,2.711111,77.228158
US_GA_13227,2020-01-03,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,5.43,9.24,5.98,8.15,7.07,9.51,7.07,,22.28,4.35,9.51,4.62,4.89,8.7,,5.71,5.16,8.15,,3.8,6.79,25.0,7.88,9.78,5.43,5.16,9.24,44.84,4.35,9.51,8.7,5.71,5.71,11.527778,6.433333,15.077778,31.71825,10.961111,96.423276
US_GA_13227,2020-01-04,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,7.53,10.03,4.18,13.1,7.53,6.41,7.25,5.02,18.4,5.3,10.59,,4.46,10.03,4.74,5.85,5.02,4.46,5.85,4.46,5.85,21.74,7.8,,6.69,7.8,5.85,53.52,6.13,5.85,6.97,5.02,7.53,12.1,5.594444,14.444444,23.948571,8.705556,79.909925
US_GA_13227,2020-01-05,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,6.88,8.03,5.45,12.33,9.75,5.73,6.59,4.01,16.34,,9.46,4.01,4.01,14.62,,6.02,5.73,4.87,7.45,6.02,10.32,21.79,6.02,6.02,,6.88,6.02,51.31,5.73,8.6,6.88,6.59,,4.411111,-0.422222,12.177778,0.620889,-2.733333,59.83932
US_GA_13227,2020-01-06,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,,11.39,5.13,10.82,11.96,6.83,7.97,,18.51,5.13,13.1,,5.41,15.09,6.55,5.13,,6.55,4.84,7.97,8.54,26.48,,10.54,5.13,6.26,,52.11,,5.98,5.13,10.25,5.7,6.15,-1.127778,15.605556,0.0,-0.038889,64.730068
US_GA_13227,2020-01-07,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,4.98,6.97,,11.2,12.69,6.22,3.73,,18.41,,10.7,4.23,,8.71,3.48,6.97,7.71,5.97,,6.22,11.2,23.64,6.72,4.98,6.72,7.71,4.48,40.56,,4.73,3.98,6.22,,9.611111,2.305556,14.516667,0.870857,2.188889,59.971192
US_GA_13227,2020-01-08,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,5.93,8.06,3.79,11.62,5.22,4.5,5.45,4.03,13.75,3.32,7.35,4.98,4.98,8.3,5.45,4.74,4.27,4.5,,5.22,6.88,24.89,6.88,3.79,3.32,4.03,6.17,41.97,4.5,11.14,6.88,5.45,5.22,6.638889,-0.677778,15.316667,0.0254,-3.338889,49.209879
US_GA_13227,2020-01-09,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,6.01,7.17,5.32,9.72,7.4,6.01,6.94,,16.66,4.16,8.79,4.16,5.55,10.41,4.4,5.09,4.4,3.7,3.24,6.94,8.1,28.69,4.63,6.25,4.4,4.63,7.4,43.03,5.32,12.03,6.48,3.47,3.93,7.088889,-1.194444,16.522222,0.0,-0.95,56.738729
US_GA_13227,2020-01-10,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,5.78,8.22,3.78,7.11,10.66,4.67,7.77,3.33,11.99,4.67,11.33,,6.44,11.77,4.22,4.89,5.78,3.78,4.89,6.44,8.22,20.66,7.11,6.44,3.78,6.44,7.33,38.43,,6.22,6.44,5.11,6.22,13.561111,9.661111,17.938889,0.0,6.072222,60.753881
