location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48373,2020-01-01,ChIJ0bDiw-jyOIYRPrqcrZnzyQc,Q113375,geoId/48373,US,United States of America,TX,Texas,48373,Polk County,US,USA,2,,,,,,,48990,26461,22529,5448,5559,5738,5985,5801,7129,8022,3940,1368,1841042,30.8,-94.83,2874,74.222222,,,,,,,9.58,4.79,8.62,11.18,5.43,9.9,9.26,5.11,19.8,,15.65,,,8.94,4.47,5.11,6.39,,4.79,,11.18,33.21,9.58,9.9,,,7.66,44.39,5.43,7.98,8.3,5.11,6.39,9.432099,4.216049,14.296296,0.0,,3.777778,68.273257
US_TX_48373,2020-01-02,ChIJ0bDiw-jyOIYRPrqcrZnzyQc,Q113375,geoId/48373,US,United States of America,TX,Texas,48373,Polk County,US,USA,2,,,,,,,48990,26461,22529,5448,5559,5738,5985,5801,7129,8022,3940,1368,1841042,30.8,-94.83,2874,74.222222,,,,,,,7.46,9.85,,10.15,8.96,7.76,10.15,7.17,22.69,,18.51,,8.36,11.64,,7.17,10.45,,5.97,6.57,13.13,25.67,8.36,5.97,6.27,8.96,8.96,49.26,,6.57,5.37,6.27,6.57,13.950617,10.388889,17.395062,9.035143,,12.697531,92.180817
US_TX_48373,2020-01-03,ChIJ0bDiw-jyOIYRPrqcrZnzyQc,Q113375,geoId/48373,US,United States of America,TX,Texas,48373,Polk County,US,USA,2,,,,,,,48990,26461,22529,5448,5559,5738,5985,5801,7129,8022,3940,1368,1841042,30.8,-94.83,2874,74.222222,,,,,,,8.48,6.06,5.76,11.52,9.39,5.46,5.46,,17.88,,13.03,6.36,,10.3,5.76,6.97,5.15,4.55,5.46,4.85,10.61,31.52,6.36,11.52,5.76,5.76,11.21,46.37,5.15,10.61,5.46,4.85,9.09,15.617284,12.080247,20.135802,10.268857,,13.12963,85.241227
US_TX_48373,2020-01-04,ChIJ0bDiw-jyOIYRPrqcrZnzyQc,Q113375,geoId/48373,US,United States of America,TX,Texas,48373,Polk County,US,USA,2,,,,,,,48990,26461,22529,5448,5559,5738,5985,5801,7129,8022,3940,1368,1841042,30.8,-94.83,2874,74.222222,,,,,,,5.3,8.1,5.61,7.79,8.41,8.73,7.17,6.86,13.09,4.99,12.46,5.3,,8.41,6.23,6.86,,,5.92,4.99,13.4,26.18,8.41,8.73,5.61,6.86,8.41,44.88,,7.79,7.48,,4.67,11.123457,3.296296,19.518519,0.0,,4.746914,65.298016
US_TX_48373,2020-01-05,ChIJ0bDiw-jyOIYRPrqcrZnzyQc,Q113375,geoId/48373,US,United States of America,TX,Texas,48373,Polk County,US,USA,2,,,,,,,48990,26461,22529,5448,5559,5738,5985,5801,7129,8022,3940,1368,1841042,30.8,-94.83,2874,74.222222,,,,,,,7.82,7.51,,12.52,6.26,7.82,5.95,7.2,15.96,,10.64,,5.63,10.64,5.01,5.95,5.01,4.69,6.57,,10.01,26.28,7.2,10.01,,5.32,11.26,45.68,,5.01,6.26,6.26,5.95,11.549383,3.777778,22.617284,0.0,,5.141975,65.279195
US_TX_48373,2020-01-06,ChIJ0bDiw-jyOIYRPrqcrZnzyQc,Q113375,geoId/48373,US,United States of America,TX,Texas,48373,Polk County,US,USA,2,,,,,,,48990,26461,22529,5448,5559,5738,5985,5801,7129,8022,3940,1368,1841042,30.8,-94.83,2874,74.222222,,,,,,,4.12,12.08,4.42,11.78,6.78,4.71,7.95,,17.67,,14.14,,,17.38,,4.42,,5.3,,7.95,12.96,23.57,4.42,7.95,5.3,5.3,8.54,48.01,5.3,7.95,12.08,5.6,7.07,14.197531,5.950617,23.055556,0.0,,9.222222,72.344831
US_TX_48373,2020-01-07,ChIJ0bDiw-jyOIYRPrqcrZnzyQc,Q113375,geoId/48373,US,United States of America,TX,Texas,48373,Polk County,US,USA,2,,,,,,,48990,26461,22529,5448,5559,5738,5985,5801,7129,8022,3940,1368,1841042,30.8,-94.83,2874,74.222222,,,,,,,4.52,8.44,,13.86,7.83,9.64,7.83,,15.97,,20.49,4.22,8.14,14.16,4.82,5.72,4.52,,6.03,5.42,9.64,31.64,13.26,8.44,7.53,,10.55,51.83,5.42,5.72,5.72,8.14,9.94,13.308642,4.839506,19.95679,0.0,,2.95679,49.739329
US_TX_48373,2020-01-08,ChIJ0bDiw-jyOIYRPrqcrZnzyQc,Q113375,geoId/48373,US,United States of America,TX,Texas,48373,Polk County,US,USA,2,,,,,,,48990,26461,22529,5448,5559,5738,5985,5801,7129,8022,3940,1368,1841042,30.8,-94.83,2874,74.222222,,,,,,,4.81,8.55,4.01,13.1,8.82,6.15,3.74,3.74,14.16,,10.42,,3.74,11.22,3.74,4.28,5.61,,4.54,6.15,9.62,30.73,9.62,12.56,5.34,8.29,9.09,37.95,5.34,13.36,5.61,7.48,4.81,8.740741,0.67284,19.537037,0.0,,1.95679,62.74438
US_TX_48373,2020-01-09,ChIJ0bDiw-jyOIYRPrqcrZnzyQc,Q113375,geoId/48373,US,United States of America,TX,Texas,48373,Polk County,US,USA,2,,,,,,,48990,26461,22529,5448,5559,5738,5985,5801,7129,8022,3940,1368,1841042,30.8,-94.83,2874,74.222222,,,,,,,6.7,4.72,,11.17,9.19,8.19,7.94,4.22,18.12,,11.67,4.47,4.96,16.63,,5.71,4.47,4.47,3.97,,8.94,28.8,4.96,7.94,7.7,3.48,6.95,41.45,4.72,11.91,5.96,7.94,,17.475309,13.17284,22.91358,0.0,,14.111111,80.688884
US_TX_48373,2020-01-10,ChIJ0bDiw-jyOIYRPrqcrZnzyQc,Q113375,geoId/48373,US,United States of America,TX,Texas,48373,Polk County,US,USA,2,,,,,,,48990,26461,22529,5448,5559,5738,5985,5801,7129,8022,3940,1368,1841042,30.8,-94.83,2874,74.222222,,,,,,,4.49,6.62,,11.12,8.28,6.39,4.02,3.31,9.93,,13.48,,,12.06,4.02,4.49,4.02,4.73,4.49,,10.88,26.02,5.2,6.86,4.26,,8.52,42.34,,8.75,5.44,7.33,4.49,21.58642,18.808642,23.833333,0.0635,,18.796296,84.262032
