location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_autoimmune_disease,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_bruise,search_trends_burn,search_trends_candidiasis,search_trends_chest_pain,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_panic_attack,search_trends_paresthesia,search_trends_perspiration,search_trends_psychosis,search_trends_scar,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_PA_42033,2020-01-11,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,,4.66,8.39,4.8,11.99,,7.99,6.93,,3.6,1.86,4.4,4.53,2.13,4.66,2.67,,3.33,2.0,16.25,3.86,8.66,3.2,,5.46,2.0,11.72,4.66,,2.8,5.06,5.86,4.53,3.33,4.0,3.6,,4.4,3.2,3.33,8.13,2.53,26.38,6.93,3.33,7.59,2.67,5.33,4.93,3.46,,7.06,41.44,,2.67,,,,2.93,4.13,8.39,2.0,3.86,3.2,2.53,7.2,6.79,4.0,4.8,2.4,4.4,3.2,11.45,2.95,18.377778,2.7305,7.827778,79.022172
US_PA_42033,2020-01-12,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,3.36,6.59,10.08,5.56,11.37,2.97,8.91,4.78,,2.2,,6.85,3.62,,3.88,,1.94,3.88,2.33,15.63,3.36,8.01,4.0,4.0,4.0,2.97,10.98,4.65,,3.62,4.0,6.33,5.81,2.58,5.04,4.13,,4.26,,4.26,5.68,2.84,27.78,6.85,3.23,6.72,4.0,5.04,3.23,,,8.79,43.02,,3.49,2.33,,3.1,2.97,5.43,6.33,2.2,3.49,3.49,1.81,6.46,4.78,3.23,4.39,4.0,5.56,2.33,10.194444,2.816667,18.044444,5.08,6.077778,75.677639
US_PA_42033,2020-01-13,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,3.25,4.65,8.44,4.54,10.28,,7.03,4.11,3.68,4.0,2.16,7.14,3.79,2.71,3.9,2.27,,2.92,,12.23,3.46,6.28,1.84,2.6,5.09,2.71,11.04,6.17,2.16,3.68,2.71,6.93,4.65,2.16,4.87,3.79,,5.09,2.71,3.46,7.68,3.25,27.6,6.49,3.46,6.6,4.33,6.38,4.98,2.81,1.51,5.19,41.45,,3.68,2.27,2.6,2.38,2.27,5.19,8.77,2.06,1.62,2.16,3.03,5.09,4.87,5.52,2.71,2.6,4.54,1.51,3.855556,-0.072222,12.3,0.7366,0.672222,79.794
US_PA_42033,2020-01-14,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,1.92,5.32,6.17,4.57,9.47,2.55,7.76,6.49,1.81,2.13,2.34,5.96,4.57,2.23,3.72,2.02,3.19,1.92,2.13,12.66,3.51,6.7,3.4,3.62,6.81,1.92,11.6,4.57,2.13,3.72,2.34,6.28,4.15,1.92,4.79,3.51,2.55,4.15,2.45,3.3,10.32,2.77,26.27,6.28,3.51,6.81,4.04,5.32,6.06,2.55,1.7,7.23,42.66,1.49,2.55,2.02,2.66,1.49,2.66,4.25,7.23,2.34,2.02,2.66,2.66,5.42,5.0,3.94,2.77,2.66,3.72,1.92,3.377778,-1.027778,8.772222,0.0,1.6,88.265758
US_PA_42033,2020-01-15,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,2.41,4.27,6.68,3.83,8.44,4.16,8.0,5.92,2.63,3.73,1.97,6.25,3.73,2.63,4.27,1.75,2.41,3.29,,12.82,3.07,7.89,3.94,3.29,5.92,2.52,10.63,6.03,2.08,3.62,3.62,7.23,5.15,2.52,4.93,3.73,,4.71,2.41,4.6,10.19,1.97,30.35,6.14,1.97,7.78,3.51,6.9,5.7,3.62,2.96,5.92,41.53,1.53,2.08,2.52,2.19,,1.97,3.94,5.59,1.64,2.74,2.3,3.62,8.22,5.04,6.58,1.86,3.07,2.74,2.63,5.222222,-0.522222,10.55,0.479778,0.738889,72.908907
US_PA_42033,2020-01-16,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,2.39,5.43,6.3,3.37,11.07,3.15,9.55,5.64,3.37,3.8,3.15,5.86,2.71,2.06,2.06,2.06,,2.5,1.52,11.07,3.58,8.25,3.37,2.71,5.1,1.52,11.51,4.56,,3.69,3.15,6.08,4.45,2.17,2.93,3.37,,7.27,2.28,2.93,9.66,1.74,20.95,7.82,4.02,6.95,2.82,4.78,7.05,3.58,2.17,8.25,39.08,1.74,2.39,2.06,1.74,1.63,3.8,3.26,6.51,1.63,3.58,2.5,4.34,5.21,5.54,4.12,2.71,3.26,2.82,1.52,3.977778,-1.827778,10.816667,1.560286,-0.705556,71.755945
US_PA_42033,2020-01-17,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,1.88,4.91,5.01,4.49,9.19,1.88,7.21,5.75,1.57,3.66,2.19,2.92,4.6,2.4,3.45,1.78,2.19,1.78,,13.27,2.82,7.63,3.13,1.99,3.66,1.46,10.55,4.07,1.67,2.92,2.19,5.54,3.13,2.3,4.28,4.07,,3.76,,4.28,7.52,1.67,22.04,5.75,3.34,5.75,2.19,4.91,3.76,2.72,2.19,6.27,32.17,,3.76,,2.92,,1.67,3.13,5.22,1.46,2.72,1.99,2.19,3.55,3.97,3.55,2.09,3.34,2.09,1.46,-4.888889,-7.383333,-1.705556,0.471714,-11.305556,61.004486
US_PA_42033,2020-01-18,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,2.46,4.91,7.5,3.49,10.6,1.94,7.89,2.97,,2.46,2.2,6.72,4.01,1.81,2.97,,,1.94,,11.89,2.84,8.14,3.75,3.88,4.65,2.71,9.57,5.82,,2.07,2.84,4.27,4.91,3.23,4.01,4.78,,4.27,,3.36,8.66,2.07,25.86,6.46,4.65,7.89,2.46,3.49,3.88,2.2,2.59,5.04,34.78,,2.84,2.2,,1.94,2.46,4.27,8.28,1.94,1.94,1.94,,5.82,5.3,4.14,4.14,2.84,3.23,,-4.366667,-7.666667,2.344444,0.108857,-8.3,74.05427
US_PA_42033,2020-01-19,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,2.98,4.93,7.65,2.46,11.41,2.46,8.3,5.06,,2.98,1.95,5.84,4.41,2.46,4.54,2.33,2.33,3.11,,15.31,3.5,9.08,4.28,3.5,5.45,2.72,10.64,4.02,,3.11,2.98,4.93,5.84,4.93,4.15,5.19,,3.76,2.72,3.11,5.32,1.95,21.92,4.8,3.63,7.26,3.37,3.89,4.8,,2.46,5.45,43.97,,2.85,,2.08,3.24,2.85,3.5,6.62,,4.28,2.46,2.85,7.52,5.32,4.93,4.02,4.28,2.72,,-1.972222,-8.338889,5.061111,9.978571,-5.7,75.740109
US_PA_42033,2020-01-20,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,4.35,4.85,8.7,3.98,9.08,4.72,8.08,6.59,2.24,2.73,1.99,7.71,6.84,2.36,4.48,,1.86,3.36,1.86,15.91,2.98,7.96,2.86,1.86,7.58,3.11,12.56,4.35,2.86,3.6,2.49,4.6,5.1,2.86,6.59,2.11,,6.34,2.98,3.98,10.44,2.73,31.45,7.96,4.23,7.96,5.22,7.21,5.47,2.49,1.86,6.34,44.51,1.86,3.36,2.11,2.86,2.11,3.23,4.6,10.32,2.36,2.73,2.36,4.23,7.46,6.84,6.84,4.1,3.48,5.47,4.97,-7.794444,-10.583333,-1.916667,0.145143,-13.4,64.614415
