location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19187,2020-01-01,ChIJ3cj6yqx38ocRdajiBfxR1AM,Q485726,geoId/19187,US,United States of America,IA,Iowa,19187,Webster County,US,USA,2,,,,,,,36637,18918,17719,4315,5003,5290,4167,3834,4908,4616,2612,1892,1789197,42.426111,-94.188611,718,76.508333,,,,,7.8,9.15,5.92,9.96,7.0,4.84,5.65,5.11,25.03,,13.72,,7.27,5.92,8.07,5.92,4.58,,6.73,9.15,,4.84,29.06,6.46,4.31,6.19,4.04,,4.04,38.21,,4.04,7.27,,4.31,,-2.622222,-8.077778,5.277778,0.0,-4.944444,84.255948
US_IA_19187,2020-01-02,ChIJ3cj6yqx38ocRdajiBfxR1AM,Q485726,geoId/19187,US,United States of America,IA,Iowa,19187,Webster County,US,USA,2,,,,,,,36637,18918,17719,4315,5003,5290,4167,3834,4908,4616,2612,1892,1789197,42.426111,-94.188611,718,76.508333,,,,,4.95,7.2,3.6,10.8,7.42,6.97,4.5,4.28,22.73,3.83,13.28,6.75,5.17,6.75,9.22,4.95,3.15,4.72,4.95,7.42,4.5,5.62,28.35,7.2,,6.97,4.95,5.4,6.3,39.37,6.08,5.85,7.2,4.05,,4.5,2.227778,-2.122222,5.15,0.0,0.672222,89.672684
US_IA_19187,2020-01-03,ChIJ3cj6yqx38ocRdajiBfxR1AM,Q485726,geoId/19187,US,United States of America,IA,Iowa,19187,Webster County,US,USA,2,,,,,,,36637,18918,17719,4315,5003,5290,4167,3834,4908,4616,2612,1892,1789197,42.426111,-94.188611,718,76.508333,,,,,4.39,5.92,,9.65,3.73,5.92,5.27,3.95,13.82,3.07,10.75,,4.83,5.05,5.71,5.27,4.83,5.05,5.49,3.29,,5.71,27.87,9.0,5.05,3.95,6.36,3.51,7.02,38.84,3.95,5.27,7.68,5.71,5.49,4.17,-0.055556,-1.922222,2.133333,0.0,-1.030864,93.52209
US_IA_19187,2020-01-04,ChIJ3cj6yqx38ocRdajiBfxR1AM,Q485726,geoId/19187,US,United States of America,IA,Iowa,19187,Webster County,US,USA,2,,,,,,,36637,18918,17719,4315,5003,5290,4167,3834,4908,4616,2612,1892,1789197,42.426111,-94.188611,718,76.508333,,,,,4.83,11.8,4.29,8.85,3.76,5.9,7.24,,17.44,4.83,9.66,,,5.9,4.56,5.37,,,4.02,5.9,,6.71,26.83,,5.1,8.05,,5.63,5.63,39.44,5.63,4.83,7.51,,5.9,,-3.038889,-6.322222,0.6,1.3335,-3.994444,93.278441
US_IA_19187,2020-01-05,ChIJ3cj6yqx38ocRdajiBfxR1AM,Q485726,geoId/19187,US,United States of America,IA,Iowa,19187,Webster County,US,USA,2,,,,,,,36637,18918,17719,4315,5003,5290,4167,3834,4908,4616,2612,1892,1789197,42.426111,-94.188611,718,76.508333,,,,,5.25,8.67,5.52,8.67,3.68,5.25,,5.25,18.92,4.2,12.35,,3.68,10.51,6.3,3.94,4.99,4.99,,4.99,4.47,7.62,22.59,4.2,5.52,4.2,,4.73,6.3,36.78,,3.68,6.57,4.99,6.3,,0.822222,-4.638889,4.527778,0.0,-2.294444,79.87537
US_IA_19187,2020-01-06,ChIJ3cj6yqx38ocRdajiBfxR1AM,Q485726,geoId/19187,US,United States of America,IA,Iowa,19187,Webster County,US,USA,2,,,,,,,36637,18918,17719,4315,5003,5290,4167,3834,4908,4616,2612,1892,1789197,42.426111,-94.188611,718,76.508333,,,,,5.17,7.76,5.82,10.77,9.91,5.6,4.09,3.45,15.51,4.96,9.91,3.66,,7.54,5.6,5.17,4.53,4.31,5.39,4.74,3.45,6.89,29.3,7.11,4.53,5.17,4.53,4.74,6.03,35.98,5.82,5.82,6.03,4.31,4.74,3.02,-1.577778,-5.816667,3.077778,0.0,-3.922222,84.414587
US_IA_19187,2020-01-07,ChIJ3cj6yqx38ocRdajiBfxR1AM,Q485726,geoId/19187,US,United States of America,IA,Iowa,19187,Webster County,US,USA,2,,,,,,,36637,18918,17719,4315,5003,5290,4167,3834,4908,4616,2612,1892,1789197,42.426111,-94.188611,718,76.508333,,,,,3.47,4.12,7.81,8.68,10.2,6.29,7.59,,16.05,3.25,11.06,,6.29,10.41,6.29,3.47,3.25,3.25,6.07,4.55,4.34,5.21,35.14,6.51,3.04,4.55,8.68,5.21,5.42,39.7,3.47,4.99,7.38,,6.29,5.21,-1.483333,-6.383333,2.688889,0.0,-3.411111,87.048318
US_IA_19187,2020-01-08,ChIJ3cj6yqx38ocRdajiBfxR1AM,Q485726,geoId/19187,US,United States of America,IA,Iowa,19187,Webster County,US,USA,2,,,,,,,36637,18918,17719,4315,5003,5290,4167,3834,4908,4616,2612,1892,1789197,42.426111,-94.188611,718,76.508333,,,,,4.94,8.38,4.72,8.59,6.66,5.37,6.01,6.66,16.11,3.65,8.59,3.44,,5.58,4.94,5.15,3.01,,7.3,3.65,,6.01,29.64,5.8,3.22,3.87,3.87,4.94,7.95,40.16,,10.31,8.59,,5.15,3.22,-7.955556,-12.561111,-0.966667,0.0,-12.866667,68.083163
US_IA_19187,2020-01-09,ChIJ3cj6yqx38ocRdajiBfxR1AM,Q485726,geoId/19187,US,United States of America,IA,Iowa,19187,Webster County,US,USA,2,,,,,,,36637,18918,17719,4315,5003,5290,4167,3834,4908,4616,2612,1892,1789197,42.426111,-94.188611,718,76.508333,,,,,5.32,9.75,,9.3,6.42,8.42,5.54,3.54,16.39,4.21,8.64,,4.43,5.54,6.2,5.76,3.77,4.43,5.98,3.54,4.65,7.09,31.01,4.87,4.21,8.64,4.21,3.1,3.77,37.43,5.76,9.53,4.43,,3.32,5.98,0.683333,-6.9,9.877778,0.0,-3.905556,71.778899
US_IA_19187,2020-01-10,ChIJ3cj6yqx38ocRdajiBfxR1AM,Q485726,geoId/19187,US,United States of America,IA,Iowa,19187,Webster County,US,USA,2,,,,,,,36637,18918,17719,4315,5003,5290,4167,3834,4908,4616,2612,1892,1789197,42.426111,-94.188611,718,76.508333,,,,,5.41,6.71,3.46,7.57,6.92,4.33,6.06,4.76,12.98,,7.36,3.9,4.98,8.66,9.09,,3.68,3.9,3.68,3.46,3.9,7.57,25.97,6.92,,4.54,3.9,4.11,8.01,32.46,4.11,8.66,5.63,3.46,4.76,,-3.944444,-8.122222,0.627778,0.108857,-5.633333,88.269686
