location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48489,2020-01-01,ChIJ4QOP9T9wb4YReDpoAt7twIg,Q114503,geoId/48489,US,United States of America,TX,Texas,48489,Willacy County,US,USA,2,,,,,,,21508,11910,9598,2830,3056,3986,3075,2447,2143,1917,1310,744,1828376,26.49,-97.6,2031,78.75,,,,,,,12.06,24.12,,48.24,16.394444,14.55,18.216667,0.6858,13.212963,82.639583
US_TX_48489,2020-01-02,ChIJ4QOP9T9wb4YReDpoAt7twIg,Q114503,geoId/48489,US,United States of America,TX,Texas,48489,Willacy County,US,USA,2,,,,,,,21508,11910,9598,2830,3056,3986,3075,2447,2143,1917,1310,744,1828376,26.49,-97.6,2031,78.75,,,,,,11.7,13.76,26.15,,52.99,16.927778,15.422222,19.905556,4.0132,15.0,87.765716
US_TX_48489,2020-01-03,ChIJ4QOP9T9wb4YReDpoAt7twIg,Q114503,geoId/48489,US,United States of America,TX,Texas,48489,Willacy County,US,USA,2,,,,,,,21508,11910,9598,2830,3056,3986,3075,2447,2143,1917,1310,744,1828376,26.49,-97.6,2031,78.75,,,,,,,10.8,20.16,,40.32,17.894444,14.533333,23.25,0.0,10.768519,63.026979
US_TX_48489,2020-01-04,ChIJ4QOP9T9wb4YReDpoAt7twIg,Q114503,geoId/48489,US,United States of America,TX,Texas,48489,Willacy County,US,USA,2,,,,,,,21508,11910,9598,2830,3056,3986,3075,2447,2143,1917,1310,744,1828376,26.49,-97.6,2031,78.75,,,,,,14.72,17.04,20.14,,37.95,15.344444,8.277778,22.088889,0.0,2.712963,42.431272
US_TX_48489,2020-01-05,ChIJ4QOP9T9wb4YReDpoAt7twIg,Q114503,geoId/48489,US,United States of America,TX,Texas,48489,Willacy County,US,USA,2,,,,,,,21508,11910,9598,2830,3056,3986,3075,2447,2143,1917,1310,744,1828376,26.49,-97.6,2031,78.75,,,,,,,14.68,38.91,,52.86,14.611111,6.894444,23.216667,0.0,6.87037,61.802182
US_TX_48489,2020-01-06,ChIJ4QOP9T9wb4YReDpoAt7twIg,Q114503,geoId/48489,US,United States of America,TX,Texas,48489,Willacy County,US,USA,2,,,,,,,21508,11910,9598,2830,3056,3986,3075,2447,2143,1917,1310,744,1828376,26.49,-97.6,2031,78.75,,,,,,12.32,19.16,23.27,,42.42,16.727778,10.505556,24.388889,0.0,10.527778,68.907331
US_TX_48489,2020-01-07,ChIJ4QOP9T9wb4YReDpoAt7twIg,Q114503,geoId/48489,US,United States of America,TX,Texas,48489,Willacy County,US,USA,2,,,,,,,21508,11910,9598,2830,3056,3986,3075,2447,2143,1917,1310,744,1828376,26.49,-97.6,2031,78.75,,,,,,12.98,15.03,20.49,,42.34,16.716667,12.538889,22.072222,0.0,11.259259,72.248338
US_TX_48489,2020-01-08,ChIJ4QOP9T9wb4YReDpoAt7twIg,Q114503,geoId/48489,US,United States of America,TX,Texas,48489,Willacy County,US,USA,2,,,,,,,21508,11910,9598,2830,3056,3986,3075,2447,2143,1917,1310,744,1828376,26.49,-97.6,2031,78.75,,,,,,14.44,12.55,39.54,,45.82,15.816667,9.75,22.644444,0.112889,9.916667,70.677298
US_TX_48489,2020-01-09,ChIJ4QOP9T9wb4YReDpoAt7twIg,Q114503,geoId/48489,US,United States of America,TX,Texas,48489,Willacy County,US,USA,2,,,,,,,21508,11910,9598,2830,3056,3986,3075,2447,2143,1917,1310,744,1828376,26.49,-97.6,2031,78.75,,,,,,16.73,11.35,39.44,,44.81,21.394444,18.95,26.755556,0.112889,17.240741,75.642193
US_TX_48489,2020-01-10,ChIJ4QOP9T9wb4YReDpoAt7twIg,Q114503,geoId/48489,US,United States of America,TX,Texas,48489,Willacy County,US,USA,2,,,,,,,21508,11910,9598,2830,3056,3986,3075,2447,2143,1917,1310,744,1828376,26.49,-97.6,2031,78.75,,,,,,,13.71,40.5,,49.84,22.6,20.533333,26.461111,0.0254,19.083333,78.268241
US_TX_48489,2020-01-11,ChIJ4QOP9T9wb4YReDpoAt7twIg,Q114503,geoId/48489,US,United States of America,TX,Texas,48489,Willacy County,US,USA,2,,,,,,,21508,11910,9598,2830,3056,3986,3075,2447,2143,1917,1310,744,1828376,26.49,-97.6,2031,78.75,,,,,,,,22.22,,47.74,21.011111,14.933333,24.361111,0.0,5.814815,37.21554
US_TX_48489,2020-01-12,ChIJ4QOP9T9wb4YReDpoAt7twIg,Q114503,geoId/48489,US,United States of America,TX,Texas,48489,Willacy County,US,USA,2,,,,,,,21508,11910,9598,2830,3056,3986,3075,2447,2143,1917,1310,744,1828376,26.49,-97.6,2031,78.75,,,,,,11.69,,24.15,,45.96,16.061111,9.883333,24.461111,0.0,8.694444,64.230292
US_TX_48489,2020-01-13,ChIJ4QOP9T9wb4YReDpoAt7twIg,Q114503,geoId/48489,US,United States of America,TX,Texas,48489,Willacy County,US,USA,2,,,,,,,21508,11910,9598,2830,3056,3986,3075,2447,2143,1917,1310,744,1828376,26.49,-97.6,2031,78.75,,,,,,,11.29,26.15,,48.73,21.288889,17.794444,26.755556,0.1905,18.351852,80.818652
US_TX_48489,2020-01-14,ChIJ4QOP9T9wb4YReDpoAt7twIg,Q114503,geoId/48489,US,United States of America,TX,Texas,48489,Willacy County,US,USA,2,,,,,,,21508,11910,9598,2830,3056,3986,3075,2447,2143,1917,1310,744,1828376,26.49,-97.6,2031,78.75,,,,,,,,25.26,,30.18,24.2,21.372222,28.733333,0.0,20.935185,78.38883
