location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19177,2020-01-01,ChIJB7QFZMms54cROrzWByuMxWM,Q182644,geoId/19177,US,United States of America,IA,Iowa,19177,Van Buren County,US,USA,2,,,,,,,7155,3664,3491,886,895,685,770,763,1033,1082,631,410,1789834,40.75,-91.951667,1271,79.1,,,64.47,0.5,-5.011111,10.533333,0.0,-3.188889,76.560717
US_IA_19177,2020-01-02,ChIJB7QFZMms54cROrzWByuMxWM,Q182644,geoId/19177,US,United States of America,IA,Iowa,19177,Van Buren County,US,USA,2,,,,,,,7155,3664,3491,886,895,685,770,763,1033,1082,631,410,1789834,40.75,-91.951667,1271,79.1,,,46.51,6.627778,2.255556,11.394444,0.0,1.461111,69.789643
US_IA_19177,2020-01-03,ChIJB7QFZMms54cROrzWByuMxWM,Q182644,geoId/19177,US,United States of America,IA,Iowa,19177,Van Buren County,US,USA,2,,,,,,,7155,3664,3491,886,895,685,770,763,1033,1082,631,410,1789834,40.75,-91.951667,1271,79.1,,,65.71,2.083333,-0.15,6.405556,0.0,0.488889,89.373844
US_IA_19177,2020-01-04,ChIJB7QFZMms54cROrzWByuMxWM,Q182644,geoId/19177,US,United States of America,IA,Iowa,19177,Van Buren County,US,USA,2,,,,,,,7155,3664,3491,886,895,685,770,763,1033,1082,631,410,1789834,40.75,-91.951667,1271,79.1,,,51.02,-0.098765,-2.932099,1.987654,0.0635,-1.734568,89.045903
US_IA_19177,2020-01-05,ChIJB7QFZMms54cROrzWByuMxWM,Q182644,geoId/19177,US,United States of America,IA,Iowa,19177,Van Buren County,US,USA,2,,,,,,,7155,3664,3491,886,895,685,770,763,1033,1082,631,410,1789834,40.75,-91.951667,1271,79.1,,,40.82,2.066667,-4.361111,8.9,0.0,-2.844444,70.386351
US_IA_19177,2020-01-06,ChIJB7QFZMms54cROrzWByuMxWM,Q182644,geoId/19177,US,United States of America,IA,Iowa,19177,Van Buren County,US,USA,2,,,,,,,7155,3664,3491,886,895,685,770,763,1033,1082,631,410,1789834,40.75,-91.951667,1271,79.1,,,63.75,0.022222,-5.238889,5.638889,0.0,-4.333333,72.74211
US_IA_19177,2020-01-07,ChIJB7QFZMms54cROrzWByuMxWM,Q182644,geoId/19177,US,United States of America,IA,Iowa,19177,Van Buren County,US,USA,2,,,,,,,7155,3664,3491,886,895,685,770,763,1033,1082,631,410,1789834,40.75,-91.951667,1271,79.1,,,,0.866667,-2.544444,6.133333,0.0,-4.211111,68.934003
US_IA_19177,2020-01-08,ChIJB7QFZMms54cROrzWByuMxWM,Q182644,geoId/19177,US,United States of America,IA,Iowa,19177,Van Buren County,US,USA,2,,,,,,,7155,3664,3491,886,895,685,770,763,1033,1082,631,410,1789834,40.75,-91.951667,1271,79.1,,,50.98,-3.577778,-8.716667,2.333333,0.0,-10.511111,58.731217
US_IA_19177,2020-01-09,ChIJB7QFZMms54cROrzWByuMxWM,Q182644,geoId/19177,US,United States of America,IA,Iowa,19177,Van Buren County,US,USA,2,,,,,,,7155,3664,3491,886,895,685,770,763,1033,1082,631,410,1789834,40.75,-91.951667,1271,79.1,,,71.31,5.577778,-3.477778,16.222222,0.0,-0.844444,63.405804
US_IA_19177,2020-01-10,ChIJB7QFZMms54cROrzWByuMxWM,Q182644,geoId/19177,US,United States of America,IA,Iowa,19177,Van Buren County,US,USA,2,,,,,,,7155,3664,3491,886,895,685,770,763,1033,1082,631,410,1789834,40.75,-91.951667,1271,79.1,,,53.82,2.75,-1.188889,11.855556,1.2192,0.644444,86.190067
