location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13291,2020-01-01,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,5.07,6.88,11.23,9.42,,,16.66,9.42,6.52,5.79,9.78,9.42,23.54,6.88,6.16,,41.65,8.69,,5.638889,0.227778,12.55,0.0,-4.05,50.240993
US_GA_13291,2020-01-02,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,7.58,9.89,14.51,7.92,7.26,,25.39,16.49,7.92,8.24,6.6,10.22,27.7,8.9,,9.56,46.5,6.27,7.26,5.466667,2.511111,9.105556,15.9512,1.211111,74.601606
US_GA_13291,2020-01-03,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,7.52,11.62,10.94,7.18,8.54,9.23,18.45,11.62,12.64,,5.47,9.23,25.97,10.25,7.18,7.86,40.67,5.47,,10.561111,7.05,14.872222,30.48,10.072222,96.860492
US_GA_13291,2020-01-04,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,5.82,8.53,12.8,6.59,7.37,6.2,21.33,14.35,8.53,,,12.8,22.1,7.37,6.59,6.59,38.78,11.24,6.2,11.816667,4.8,14.055556,18.8468,8.994444,82.998876
US_GA_13291,2020-01-05,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,7.65,12.08,21.34,10.06,6.04,7.65,24.15,11.27,10.06,8.45,6.84,12.08,32.21,,11.68,10.06,43.08,6.84,8.45,4.405556,-0.061111,11.15,0.725714,-2.872222,59.423089
US_GA_13291,2020-01-06,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,7.03,8.79,16.17,8.79,7.03,7.03,22.15,8.79,12.3,6.33,,10.9,35.86,6.68,,5.27,46.4,8.79,,6.294444,-0.588889,15.533333,0.0,-0.966667,60.089654
US_GA_13291,2020-01-07,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,5.13,6.15,12.65,8.55,7.52,8.89,19.49,10.26,13.67,6.5,6.15,9.23,28.72,7.86,8.55,7.52,46.49,6.84,7.52,8.561111,3.122222,13.188889,2.032,1.633333,62.080445
US_GA_13291,2020-01-08,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,5.9,7.98,10.41,7.29,7.98,7.98,21.16,10.76,13.88,6.59,5.2,13.53,29.49,4.86,7.63,11.1,51.0,8.33,7.98,6.305556,-0.983333,15.138889,0.0508,-4.066667,48.318005
US_GA_13291,2020-01-09,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,,6.8,12.91,7.82,10.2,5.78,24.47,14.61,14.27,,,13.59,38.4,6.46,,6.46,56.76,11.21,7.48,6.238889,-1.422222,15.772222,0.0,-1.777778,57.020683
US_GA_13291,2020-01-10,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,,8.86,11.34,7.79,6.38,9.92,18.42,11.69,12.05,,7.09,8.15,34.01,6.73,10.28,6.38,46.77,10.28,7.44,12.716667,8.388889,17.533333,0.0,4.788889,58.798678
US_GA_13291,2020-01-11,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,,7.85,8.64,,7.85,,14.53,10.6,8.64,7.07,5.89,11.39,21.99,7.07,5.89,,46.33,7.85,5.89,16.733333,12.655556,20.216667,1.524,14.633333,87.665013
US_GA_13291,2020-01-12,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,7.21,7.21,13.99,,10.18,11.45,16.96,6.36,12.72,7.63,,7.21,25.44,9.33,8.05,,48.75,10.18,7.63,13.933333,6.138889,19.483333,26.6192,10.011111,77.374549
US_GA_13291,2020-01-13,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,11.22,7.48,11.9,10.88,8.5,6.8,12.58,11.9,8.16,4.76,4.76,11.22,31.29,8.5,4.76,11.22,53.39,5.44,11.9,12.661111,9.216667,16.75,4.2672,10.966667,89.481531
US_GA_13291,2020-01-14,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,,6.04,10.3,11.02,8.17,9.95,13.15,7.46,17.77,,,12.44,34.82,9.24,6.4,9.24,55.08,6.4,9.59,14.85,13.233333,16.488889,13.5128,14.283333,96.470935
US_GA_13291,2020-01-15,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,,8.45,13.59,6.61,7.35,5.14,15.06,9.18,9.55,,5.88,14.7,26.08,9.55,6.61,8.08,52.17,7.35,6.25,14.883333,11.627778,19.611111,12.2428,13.661111,92.566448
US_GA_13291,2020-01-16,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,7.87,7.87,15.37,,10.12,9.37,13.12,10.87,16.12,8.62,,13.49,27.74,5.62,5.62,9.75,44.61,8.62,5.25,15.494444,10.988889,18.733333,7.874,9.516667,67.845845
US_GA_13291,2020-01-17,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,,9.9,13.2,8.07,7.7,11.0,16.5,10.63,13.56,8.07,6.23,11.37,31.53,9.17,11.0,,51.69,6.6,,6.683333,2.5,12.088889,0.7874,-4.655556,45.205034
US_GA_13291,2020-01-18,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,,,12.89,7.58,7.2,6.06,20.09,10.23,9.47,5.68,7.2,6.82,30.32,8.34,9.1,7.96,43.58,8.72,5.31,5.077778,2.966667,7.927778,6.4008,-2.277778,59.510591
US_GA_13291,2020-01-19,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,7.09,6.7,11.82,9.06,7.88,7.49,18.52,9.85,15.37,,,10.24,22.46,5.91,7.88,5.91,46.1,7.49,,6.288889,2.155556,9.933333,6.4516,0.888889,69.019636
US_GA_13291,2020-01-20,ChIJj-xKCpsWX4gR-fTZW8lU2oY,Q491547,geoId/13291,US,United States of America,GA,Georgia,13291,Union County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376,11322,12054,1857,2334,1968,1900,2251,3383,4478,3536,1669,532213,34.83,-83.99,852,77.675,,,,,,,6.86,17.9,14.86,9.14,8.38,18.28,9.9,9.52,,5.71,16.0,25.9,6.47,8.38,,48.75,11.81,6.47,-0.883333,-4.988889,3.783333,0.0254,-8.533333,56.450058
